ec08b697bac71fdb23e2bf6348d0fd69e29a59b32872b07bb94aa32de3b887b8,3724658132f26af19009d1bcf848755dbf44ef341b609a547bf605fcf406abc7,d96d0207921cdeca4869a305e70efd9b254a82df9af6ed853060cdadff68d5b2,152fbaff3ec7b2ddbedc138479e2b9beeef592b25ffa19ed82e9adc2c4007527,f1a32fa93c54ca4bc5f6a7481af3298b4c10e3af85d68c8a9836caa66090b27b,4d8c453f327cc32709080883bd3444ad4994dab9c82e4f588b42a2bd8c81f8a0,ab09c6ecf32b7c92dcf00cf94df5e09ab780bd489cc4371102eecf503bb1e579,cb5beecd5c6805f85ee5f17861c641fdb2bfbeebf62aee96f97c59dfb2936950,d366c75076d1a3700cc504474965fec106006cde3231fcb77b1db188029454a3
"0","0","5213062","108","102130108","ライラエル 1品目","","10213","1"
"1","0","5213062","109","102130109","ライラエル 2品目","","10213","1"
"2","0","5213064","110","102130110","ライラエル 3品目","","10213","1"
"3","0","5213066","111","102130111","ライラエル 4品目","","10213","1"
"4","0","5213068","112","102130112","ライラエル 5品目","","10213","1"
"5","0","5213070","113","102130113","ライラエル 6品目","","10213","1"
"6","0","5213072","114","102130114","ライラエル 7品目","","10213","1"
"0","0","5213076","208","102130208","ネフィ＝ネラ 1品目","","10213","2"
"1","0","5213076","209","102130209","ネフィ＝ネラ 2品目","","10213","2"
"2","0","5213078","210","102130210","ネフィ＝ネラ 3品目","","10213","2"
"3","0","5213080","211","102130211","ネフィ＝ネラ 4品目","","10213","2"
"4","0","5213082","212","102130212","ネフィ＝ネラ 5品目","","10213","2"
"5","0","5213084","213","102130213","ネフィ＝ネラ 6品目","","10213","2"
"6","0","5213086","214","102130214","ネフィ＝ネラ 7品目","","10213","2"
"0","0","5213090","308","102130308","ヴァイオレット 1品目","","10213","3"
"1","0","5213090","309","102130309","ヴァイオレット 2品目","","10213","3"
"2","0","5213092","310","102130310","ヴァイオレット 3品目","","10213","3"
"3","0","5213094","311","102130311","ヴァイオレット 4品目","","10213","3"
"4","0","5213096","312","102130312","ヴァイオレット 5品目","","10213","3"
"5","0","5213098","313","102130313","ヴァイオレット 6品目","","10213","3"
"6","0","5213100","314","102130314","ヴァイオレット 7品目","","10213","3"
