df00b92595e99a3a61287a784d3289188ce2793c2cffc575fe61bfaa72676fba,62cc6f5489bcf735d869a77c56f8ddabfb31b9d1ac9bb29a07244d5280b32fbe,2851582b0d905f63bcd9a0d73a544cc77236351c7e046207acc3d277d82156c0,8cd70839421f4dda374ea2936b380705918afacb24c050211473e9d5f7a555ba
"2019/02/15 5:00:00","1st Anniversary スペシャルログインボーナス","10000","2019/03/01 4:59:59"
"2019/04/27 5:00:00","GW スペシャルログインボーナス","10001","2019/05/07 4:59:59"
"2019/08/15 5:00:00","1.5Year Anniversary スペシャルログインボーナス","10002","2019/09/01 4:59:59"
"2020/02/15 5:00:00","2nd Anniversary スペシャルログインボーナス","10003","2020/03/01 4:59:59"
"2020/08/15 5:00:00","2.5 Year Anniversary スペシャルログインボーナス","10004","2020/09/01 4:59:59"
"2021/02/15 5:00:00","3rd Anniversary スペシャルログインボーナス","10005","2021/03/01 4:59:59"
"2021/08/15 5:00:00","3.5 Year Anniversary スペシャルログインボーナス","10006","2021/09/01 4:59:59"
"2022/02/15 5:00:00","4th Anniversary スペシャルログインボーナス","10007","2022/03/01 4:59:59"
"2022/08/15 5:00:00","4.5 Year Anniversary スペシャルログインボーナス","10008","2022/09/01 4:59:59"
"2023/02/15 5:00:00","5th Anniversary スペシャルログインボーナス","10009","2023/03/01 4:59:59"
"2023/08/15 5:00:00","5.5 Year Anniversary スペシャルログインボーナス","10010","2023/09/01 4:59:59"
"2024/02/15 5:00:00","6th Anniversary スペシャルログインボーナス","10011","2024/03/01 4:59:59"
"2024/08/15 5:00:00","6.5 Year Anniversary スペシャルログインボーナス","10012","2024/09/01 4:59:59"
"2025/02/15 5:00:00","7th Year Anniversary スペシャルログインボーナス","10013","2025/03/01 4:59:59"
"2025/08/15 5:00:00","7.5 Year Anniversary スペシャルログインボーナス","10014","2025/09/01 4:59:59"
"2026/02/15 5:00:00","8th Anniversary スペシャルログインボーナス","10015","2026/03/01 4:59:59"
