ec2e1fe69dcbd3c9e51ff4035943fe71766d9d82aa2f6f4558f47bae30ba3cc2,63911f49d18e3256edd55e00171afbf9489515b2fc5b73201fe7f81c81482686,977de6d90d46d690497c128fb89c5a554214715212571f74977b134dca58938f,cde1792a591067a1be04215306a1e84521956837d95850458f9c937a12318260,844518bcfcdc9d7c0cd0c3387a824d22fd2cca4bd2f5660fcbcaa3bd0d75ceea,f7aa4f51cccc58f50f580d394b5b0e5c331d12155e346332f73d8b5c4aa377c4,51c7bd2460e7fee0eaa2e7678428d895d2db6558c29e803b4667a1450ab864e9,9552a177aee75724590b0a62554c23d8d81316272cdde2fe5f2611c0590c65f3,5b77ace9045de9440818f4539230b2b9460c326edeffbaa20e114cea125d2673,8245427ff3378fc3b45d730b8f649a8e352638a5ac7ed48e1b4dc59fb7830796,69ba278cc783b993f8ad2d40da52385927908a38a14f8d581da7a27a1b95ac14,bf384befda6d9bd04126a647bf7c4e803ba2c2b36d6f0bfe466a8e9c9669b0e2,d187a953e2ba3c5c235bde134fac7ea929ceb5f046def8d0d29d84b6a5d12457,2da644eccd564540d6c43c74a03de8fc910a9755c05199a9fa4e48311583d623,21ef226d4d0a7c0a89b46dff164a12d2dc3d6da8695ddbd4eaed8bb82480e065,7553bf783c49f5bff90f50164d1a97f14b68b2b27487b140e3f749df4dbeb883,a27aa147d2b9d72a203d6e58162fa126e8ab673e40a0854dd56d46973861c298,5d45c2aa120c61c634024ffa8d99298ce33883578d5301b7e6c18baf98ac5b47,68d56f72b5fc7e286b550983e5aaee3ea73376047a5768d2ed5adeb52b50d0d8,c8e064a6d7b86c32988a64e5fe62307e864018427e6eaac661b6163bf1943a46
"12375","これ、何と言う？","1","12420","12390","","4","4","1","12398","『ミヤコ』の口癖であり、ユニオンバースト名にもなっているフレーズ","4","1001","1","プリンにしてやるの","12427","1001","4","4","してやるの"
"12521","これ、何と言う？","1","12489","12531","","5","5","1","12523","半年に一度開催される障害物競走。4人の走者から、1着のキャラを予想しよう！","5","1008","1","ランドソル杯","12477","0","5","5","ランドソル"
"12486","これ、何と言う？","1","12506","12531","","5","5","1","12488","『レイ（★6）』のユニオンバースト、その剣捌きはまるで嵐のように","5","1010","1","スラッシュテンペスト","12473","0","5","5","テンペスト"
"12461","これ、何と言う？","1","12464","12531","","5","5","1","12512","『マホ（★6）』のユニオンバースト。マホマホ王国ここにあり？","5","1011","2","メルヘンキングダム","12480","0","5","5","キングダム"
"12511","これ、何と言う？","1","12486","12540","","5","5","1","12450","『ハツネ（★6）』のユニオンバースト。夜空を照らす、まばゆい流星","5","1012","2","シューティング☆ミーティア","12451","0","5","5","ミーティア"
"12464","これ、何と言う？","1","12483","12522","","5","5","1","12540","『ナナカ（★6）』のユニオンバースト。唯一無二の魔法の輝き","5","1013","2","ナナカ・∞・グリッター","12479","0","5","5","グリッター"
"12463","これ、何と言う？","1","12511","12522","","5","5","1","12523","『カスミ』のユニオンバースト。悪しき者をとらえる魔法の檻","5","1014","1","クリミナルプリズン","12490","0","5","5","クリミナル"
"12469","これ、何と言う？","1","12463","12452","","5","5","1","12531","『イオ（★6）』のユニオンバースト。敵すら虜にする魅惑の旋風","5","1015","2","ハートラブサイクロン","12525","0","5","5","サイクロン"
"12358","これ、何と言う？","1","12366","12373","","4","4","1","12435","『ミミ（★6）』のユニオンバースト。ぴょんぴょん革命を巻き起こせ","4","1016","2","うさぎさんレボリューション","12373","0","4","4","うさぎさん"
"12472","これ、何と言う？","1","12505","12515","","5","5","1","12531","『ヨリ（★6）』のユニオンバースト。裁きの雷槍は空を切り裂く","5","1017","2","ジャッジメントジャベリン","12522","0","5","5","ジャベリン"
"12501","これ、何と言う？","1","12491","12455","エンドオブフェニックス","5","5","1","12473","『サレン（★6）』のユニオンバースト。終焉をもたらす不死鳥の羽ばたき","5","1018","2","エンドオブフェニックス","12463","0","5","5","フェニクス"
"12456","これ、何と言う？","1","12470","12522","","5","5","1","12473","『マヒル（★6）』のユニオンバースト。相棒と放つ絆の一撃","5","1019","2","エリザベスコンビネーション","12505","0","5","5","エリザベス"
"12503","これ、何と言う？","1","12493","12521","","5","5","1","12488","『キョウカ（★6）』のユニオンバースト。全てを飲み込む蒼き小宇宙","5","1020","2","コスモブループラネット","12483","0","5","5","プラネット"
"12473","これ、何と言う？","1","12522","12488","","5","5","1","12512","『ミフユ（★6）』のユニオンバースト。敵を穿つ鋭き水流","5","1021","2","ボルテクスストリーム","12540","0","5","5","ストリーム"
"22825","これ、何と言う？","1","35207","27004","","6","6","1","21091","『ムイミ』のユニオンバースト。「現出せよ、□□□□□！」","6","1022","1","天楼覇断剣","26029","0","6","6","天楼覇断剣"
"12450","これ、何と言う？","1","12449","12532","","5","5","1","12531","『クリスティーナ』のユニオンバースト。「宴の始まりだ！ナンバーズ□□□□□！」","5","1023","1","ナンバーズアヴァロン","12525","0","5","5","アヴァロン"
"12456","これ、何と言う？","2","12465","12473","","5","5","1","12503","登山において、予定を変更して下山するためのルートのこと","5","1067","2","エスケープルート","12540","0","5","5","エスケープ"
"12463","これ、何と言う？","2","12531","12521","","5","5","1","12531","登山において、雪や氷の上を歩く際に靴に装備する金属の爪","5","1068","3","クランポン","12509","0","5","5","クランポン"
"12495","これ、何と言う？","2","12461","12452","","5","5","1","12464","軽微な装備で、自然や景観を楽しみながら歩くアクティビティ","5","1070","1","ハイキング","12531","0","5","5","ハイキング"
"12500","これ、何と言う？","2","12495","12463","ピークハント","5","5","1","12488","登山のスタイルの一つで、山頂を目指して登る場合をこう呼ぶ","5","1071","2","ピークハント","12531","0","5","5","ピクハント"
"12496","これ、何と言う？","2","12501","12479","","5","5","1","12452","水泳で両腕を同時に前後に、両足を同時に上下に動かす泳ぎ方。動きがとある生き物に似ている","5","1075","1","バタフライ","12521","0","5","5","バタフライ"
"12459","これ、何と言う？","2","12522","12540","","5","5","1","12464","戦略性の高さから「氷上のチェス」とも呼ばれるウィンタースポーツ","5","1076","1","カーリング","12531","0","5","5","カーリング"
"12487","これ、何と言う？","2","12473","12459","","5","5","1","12531","「10種」の種目を行い、その合計点を競う陸上競技。「10」を意味する言葉が含まれる","5","1077","1","デカスロン","12525","0","5","5","デカスロン"
"12392","これ、何と言う？","2","12360","12418","","4","4","1","12370","柔道で、相手の下にもぐりこみ、後方にけり投げる技。その姿勢が、「とある漢字」に似ている","4","1078","1","ともえなげ","12394","0","4","4","ともえなげ"
"12473","これ、何と言う？","2","12521","12488","","5","5","1","12463","野球の判定の一つ。これが3回宣言されると三振となる","5","1079","1","ストライク","12452","0","5","5","ストライク"
"12458","これ、何と言う？","2","12469","12501","","5","5","1","12489","サッカーで相手陣内での待ち伏せを禁止するために設けられたルール","5","1080","1","オフサイド","12452","0","5","5","オフサイド"
"12450","これ、何と言う？","2","12454","12522","","5","5","1","12503","バスケットボールで空中でパスを受けてそのまま着地せずシュートするプレー","5","1081","1","アリウープ","12540","0","5","5","アリウープ"
"12454","これ、何と言う？","2","12491","12451","","5","5","1","12464","球技において、勝利を決定づける一打のこと","5","1082","1","ウィニングショット","12531","0","5","5","ウィニング"
"12469","これ、何と言う？","2","12473","12454","","5","5","1","12540","スポーツ選手や楽器の演奏者などで、「左利き」のこと","5","1083","1","サウスポー","12509","0","5","5","サウスポー"
