2d3e51c896054567d31daaf59089ab6b9824f4c0f59acf4782016603faf7726b,e4ccdc12665da4be20d44d09682d82f14a9275fcf08f752c3879f095d28a4dcb,564f74ed536af2d233f4a79d2f950c91b60a75ca295a74744e25326de6c47276,a456f26b471628afcdf3938a960f1b55cb9761bfcbff27c0bc63fdeaa3cb1563,d4246b498180fbc40ea3a556c3ea961ecb5505aadccd9e37388b7aec6fbe3fb9,9c9bbef8bdae6922f4b0898286209cee7371abf71b3f75be32137dcf02af8c05,c88684c4a79d6c8a40170bc4d2d58b9190c7cdeddc7d2d8a73b673a3a8e7d3b6,5a20ec5ddb225398bd9f5596de60b83cdddfffc21f17f58240ab62de4d5964ce,3a16ea447be196b1e502628550291b0fb67ef45ee4fed26ae3eec3d585d62f06
"10000","1001","0","0","1001","全難易度合計で10000pt獲得しよう","100101","1","100101"
"30000","1001","0","0","1001","全難易度合計で30000pt獲得しよう","100102","1","100102"
"50000","1001","0","0","1001","全難易度合計で50000pt獲得しよう","100103","1","100103"
"70000","1001","0","0","1001","全難易度合計で70000pt獲得しよう","100104","1","100104"
"90000","1001","0","1","1001","全難易度合計で90000pt獲得しよう","100105","1","100105"
"105000","1001","0","1","1001","全難易度合計で105000pt獲得しよう","100106","1","100106"
"120000","1001","0","1","1001","全難易度合計で120000pt獲得しよう","100107","1","100107"
"135000","1001","0","1","1001","全難易度合計で135000pt獲得しよう","100108","1","100108"
"0","1002","1","2","1001","難易度NORMAL1で1回戦おう","100109","1","100109"
"0","1003","1","2","1001","難易度NORMAL2で1回戦おう","100110","1","100110"
"0","1004","1","2","1001","難易度NORMAL3で1回戦おう","100111","1","100111"
"10000","1001","1","3","1001","難易度NORMALで10000pt獲得しよう","100112","1","100112"
"20000","1001","1","3","1001","難易度NORMALで20000pt獲得しよう","100113","1","100113"
"30000","1001","1","3","1001","難易度NORMALで30000pt獲得しよう","100114","1","100114"
"0","1002","2","4","1001","難易度HARD1で1回戦おう","100115","1","100115"
"0","1003","2","4","1001","難易度HARD2で1回戦おう","100116","1","100116"
"0","1004","2","4","1001","難易度HARD3で1回戦おう","100117","1","100117"
"15000","1001","2","5","1001","難易度HARDで15000pt獲得しよう","100118","1","100118"
"30000","1001","2","5","1001","難易度HARDで30000pt獲得しよう","100119","1","100119"
"45000","1001","2","5","1001","難易度HARDで45000pt獲得しよう","100120","1","100120"
"0","1002","3","6","1001","難易度EXTRA1で1回戦おう","100121","1","100121"
"0","1003","3","6","1001","難易度EXTRA2で1回戦おう","100122","1","100122"
"0","1004","3","6","1001","難易度EXTRA3で1回戦おう","100123","1","100123"
"20000","1001","3","7","1001","難易度EXTRAで20000pt獲得しよう","100124","1","100124"
"40000","1001","3","7","1001","難易度EXTRAで40000pt獲得しよう","100125","1","100125"
"60000","1001","3","7","1001","難易度EXTRAで60000pt獲得しよう","100126","1","100126"
"10000","1001","0","0","1002","全難易度合計で10000pt獲得しよう","100201","1","100201"
"30000","1001","0","0","1002","全難易度合計で30000pt獲得しよう","100202","1","100202"
"50000","1001","0","0","1002","全難易度合計で50000pt獲得しよう","100203","1","100203"
"70000","1001","0","0","1002","全難易度合計で70000pt獲得しよう","100204","1","100204"
"90000","1001","0","1","1002","全難易度合計で90000pt獲得しよう","100205","1","100205"
"105000","1001","0","1","1002","全難易度合計で105000pt獲得しよう","100206","1","100206"
"120000","1001","0","1","1002","全難易度合計で120000pt獲得しよう","100207","1","100207"
"135000","1001","0","1","1002","全難易度合計で135000pt獲得しよう","100208","1","100208"
"0","1002","1","2","1002","難易度NORMAL1で1回戦おう","100209","1","100209"
"0","1003","1","2","1002","難易度NORMAL2で1回戦おう","100210","1","100210"
"0","1004","1","2","1002","難易度NORMAL3で1回戦おう","100211","1","100211"
"10000","1001","1","3","1002","難易度NORMALで10000pt獲得しよう","100212","1","100212"
"20000","1001","1","3","1002","難易度NORMALで20000pt獲得しよう","100213","1","100213"
"30000","1001","1","3","1002","難易度NORMALで30000pt獲得しよう","100214","1","100214"
"0","1002","2","4","1002","難易度HARD1で1回戦おう","100215","1","100215"
"0","1003","2","4","1002","難易度HARD2で1回戦おう","100216","1","100216"
"0","1004","2","4","1002","難易度HARD3で1回戦おう","100217","1","100217"
"15000","1001","2","5","1002","難易度HARDで15000pt獲得しよう","100218","1","100218"
"30000","1001","2","5","1002","難易度HARDで30000pt獲得しよう","100219","1","100219"
"45000","1001","2","5","1002","難易度HARDで45000pt獲得しよう","100220","1","100220"
"0","1002","3","6","1002","難易度EXTRA1で1回戦おう","100221","1","100221"
"0","1003","3","6","1002","難易度EXTRA2で1回戦おう","100222","1","100222"
"0","1004","3","6","1002","難易度EXTRA3で1回戦おう","100223","1","100223"
"20000","1001","3","7","1002","難易度EXTRAで20000pt獲得しよう","100224","1","100224"
"40000","1001","3","7","1002","難易度EXTRAで40000pt獲得しよう","100225","1","100225"
"60000","1001","3","7","1002","難易度EXTRAで60000pt獲得しよう","100226","1","100226"
"10000","1001","0","0","1003","全難易度合計で10000pt獲得しよう","100301","1","100301"
"30000","1001","0","0","1003","全難易度合計で30000pt獲得しよう","100302","1","100302"
"50000","1001","0","0","1003","全難易度合計で50000pt獲得しよう","100303","1","100303"
"70000","1001","0","0","1003","全難易度合計で70000pt獲得しよう","100304","1","100304"
"90000","1001","0","1","1003","全難易度合計で90000pt獲得しよう","100305","1","100305"
"105000","1001","0","1","1003","全難易度合計で105000pt獲得しよう","100306","1","100306"
"120000","1001","0","1","1003","全難易度合計で120000pt獲得しよう","100307","1","100307"
"135000","1001","0","1","1003","全難易度合計で135000pt獲得しよう","100308","1","100308"
"0","1002","1","2","1003","難易度NORMAL1で1回戦おう","100309","1","100309"
"0","1003","1","2","1003","難易度NORMAL2で1回戦おう","100310","1","100310"
"0","1004","1","2","1003","難易度NORMAL3で1回戦おう","100311","1","100311"
"10000","1001","1","3","1003","難易度NORMALで10000pt獲得しよう","100312","1","100312"
"20000","1001","1","3","1003","難易度NORMALで20000pt獲得しよう","100313","1","100313"
"30000","1001","1","3","1003","難易度NORMALで30000pt獲得しよう","100314","1","100314"
"0","1002","2","4","1003","難易度HARD1で1回戦おう","100315","1","100315"
"0","1003","2","4","1003","難易度HARD2で1回戦おう","100316","1","100316"
"0","1004","2","4","1003","難易度HARD3で1回戦おう","100317","1","100317"
"15000","1001","2","5","1003","難易度HARDで15000pt獲得しよう","100318","1","100318"
"30000","1001","2","5","1003","難易度HARDで30000pt獲得しよう","100319","1","100319"
"45000","1001","2","5","1003","難易度HARDで45000pt獲得しよう","100320","1","100320"
"0","1002","3","6","1003","難易度EXTRA1で1回戦おう","100321","1","100321"
"0","1003","3","6","1003","難易度EXTRA2で1回戦おう","100322","1","100322"
"0","1004","3","6","1003","難易度EXTRA3で1回戦おう","100323","1","100323"
"20000","1001","3","7","1003","難易度EXTRAで20000pt獲得しよう","100324","1","100324"
"40000","1001","3","7","1003","難易度EXTRAで40000pt獲得しよう","100325","1","100325"
"60000","1001","3","7","1003","難易度EXTRAで60000pt獲得しよう","100326","1","100326"
"10000","1001","0","0","1004","全難易度合計で10000pt獲得しよう","100401","1","100401"
