aedd467b7c081c4d6b460a03d833cf37569fa76a70d92e14b7897abaa9fb230d,fa1981c57c07592f41ac1484645c8dca518965afb1036486eb17bd5f44fd13fa,3ea2d26ea455c20bd71626ec57e1985f05314fee347b9006adf703fa757427cd,407b9d51758d883ea0d8a72c039e2717abc53335bf18fa30cd03eb8a8619b99e,720315264ab6abba912297f8146d5ce39a3af09aaeb06584e111b8cc639e5d75,075b35910893d44830bc5b3d89d2d32ddc79c4c86f5f393eb919ef76ea5fb3e3,3b917d47e3a9a5f3237658a4f811c1bcd7c48f7ab4cc5a9fdfab412767efc621,1d5ea31f0886247811c2905994ac24736167381105c07bf76f53f03c67dcc62c,e8a8c125198fdff4eeb235b745522b27fb8547bee10b96b0d3ad0c19a26dda44,4889660eb26d01b73913ae7bb843424844436f2686a32156566877fb0ecace25,0fb36b0c51595c9c5f93cf985458460bb77209913eab1dc10c07c716077fb541
"0","10011","2","0","1001","10011105","pt","1","1","0","0"
"0","10015","2","1","1002","10015103","m","2","1","0","0"
"0","10021","2","0","1003","10021108","pt","3","1","0","5021700"
"0","10027","3","0","1004","5027007","pt","4","1","0","5027700"
"0","10040","2","0","1005","10040105","pt","5","1","0","5040700"
"5046006","10046","1","0","1006","5046006","pt","6","1","1","0"
"5072006","10072","3","0","1007","5072006","pt","7","1","3","0"
"5080000","10080","3","0","1008","5080007","pt","8","0","3","5080700"
"0","0","0","0","1009","0","pt","9","0","0","9004201"
"5096007","10096","1","0","1010","5096007","pt","10","1","3","5096700"
"5126000","10126","2","0","1012","10126107","pt","11","1","3","0"
"5142000","10142","3","0","1013","5142007","pt","12","1","1","5142700"
"5156000","10156","3","0","1014","5156007","pt","13","1","1","5156700"
