8460b2f0f6587b7808786d8bfba0b0696332cb52a8c4395ca1c71027b1b079fa,c95498f966927db923f42492e415f4057c5bb573544b749a1ef1b6c28a4757ff,3b897f7e8e1034f090ecfe5e01875f4e89b90a94ed85ebcaebee2a91cb8c1502,2010c987b8d7694640a4fe81c26981f1c79769a65eda056ab732e57cbdf602db,e6c44f66f34fc8f3c94f709af4fdb006741935bda2d64f054181af9377f526fa,50f7f0f8fd75d1eeeded08e599e087bfab261eabda4c21b99a2d785a5d7b3fdd,976cf6d3205e20997473c0270898214be33cf13ebc5b2d3f80084a631f825812,d589a8d3dc4ecd9533cbda887db28cb21fba138c8c9a27148a4715c524fd244c,e9945584cff320319dd3448735b1cacb23f13b2142ec45074f4df81fccb8faa4,c099c504e2c1e222fed32475a03cd4557aefca486b8be1ecf95f0b344d8e4f90,e5a5abcf62e37ff7ce21e1f448ba996afef28cbddc13f718b5316d6832bc1577
"2","5","113511","100","-750","-300","2.08","0","1007001","1007001001","svd_idle_normal"
"1","5","113411","100","750","-300","2.08","1","1007001","1007001002","svd_idle_normal"
"3","5","333","0","0","0","1","0","1007001","1007001003","svd_white_loop"
"333","6","1","1","1","0","0","0","1007001","1007001004",""
"113511","7","2","0","0","","","","1007001","1007001005",""
"113511","2","-750","-300","0.5","0","","","1007001","1007001006",""
"113411","6","1","1","1","0","0","0","1007001","1007001007",""
"1","31","11","-140","-40","0.8","0","","1007001","1007001008",""
"11","34","2","0","0","","","","1007001","1007001009",""
"113411","7","6","0","0","","","","1007001","1007001010",""
"113411","2","750","-300","0.5","0","","","1007001","1007001011",""
"4","31","14","-250","-40","1","0","","1007001","1007001012",""
"5","31","15","250","-40","1","0","","1007001","1007001013",""
"1","93","","","","","","","1007001","1007001014",""
"333","6","1","1","1","0.4","0.8","0","1007001","1007001015",""
"113511","3","svd_idle_see_pre","0","svd_idle_see","1","0.2","0","1007001","1007001016",""
"113411","2","640","-300","1.1","0","","","1007001","1007001017",""
"113511","2","-600","-300","1.1","0","","","1007001","1007001018",""
"1","93","","","","","","","1007001","1007001019",""
"11","32","1","","","","","","1007001","1007001020",""
"0","91","","","","","","","1007001","1007001021",""
"113511","94","240","260","0","80","","","1007001","1007001022",""
"11","32","0","","","","","","1007001","1007001023",""
"113511","3","svd_run","1","","","0.2","","1007001","1007001024",""
"113511","7","0","1.2","0","","","","1007001","1007001025",""
"113511","2","-250","-300","1.2","0","","","1007001","1007001026",""
"113411","3","svd_run","1","","","0.2","","1007001","1007001027",""
"113411","7","0","1.2","0","","","","1007001","1007001028",""
"113411","2","250","-300","1.2","0","","","1007001","1007001029",""
"113411","6","1","1","1","1","0.2","0","1007001","1007001030",""
"1.2","93","","","","","","","1007001","1007001031",""
"0","91","","","","","","","1007001","1007001032",""
"113511","3","svd_kime_eriko","0","","","0.2","","1007001","1007001033",""
"113411","3","svd_kime_shizuru","0","","","0.2","","1007001","1007001034",""
"1.4","93","","","","","","","1007001","1007001035",""
"14","32","1","","","","","","1007001","1007001036",""
"15","32","1","","","","","","1007001","1007001037",""
"0.6","93","","","","","","","1007001","1007001038",""
"113411","3","svd_idle_joy1","1","","","0.2","","1007001","1007001039",""
"113511","3","svd_talk_wish","1","","","0.2","","1007001","1007001040",""
"vo_svd","21","vo_svd_0121","0","0","","","","1007001","1007001041",""
"113511","11","あなた様のため…必ずや\n忘れられない最高の夏休みを\nお贈りいたしますわ…","6","0","0","0","0","1007001","1007001042","1"
"0","91","","","","","","","1007001","1007001043",""
"113511","3","svd_idle_wish","1","","","0.2","","1007001","1007001044",""
"113411","3","svd_talk_joy1","1","","","0.2","","1007001","1007001045",""
"vo_svd","21","vo_svd_0122","0","0","","","","1007001","1007001046",""
"113411","11","夏が来たら私たちのことを\n思い出しちゃうすっごい\nプロデュースをしちゃおうね！","8","0","0","0","0","1007001","1007001047","1"
"0","91","","","","","","","1007001","1007001048",""
"113411","3","svd_idle_joy1","1","","","0.2","","1007001","1007001049",""
"113511","3","svd_talk_thinking","1","","","0.2","","1007001","1007001050",""
"vo_svd","21","vo_svd_0123","0","0","","","","1007001","1007001051",""
"113511","11","はて…？　私は来年の夏も\n一緒に過ごすので思い出して\nいただく必要はないのですが…","6","0","0","0","0","1007001","1007001052","1"
"0","91","","","","","","","1007001","1007001053",""
"113511","3","svd_idle_thinking","1","","","0.2","","1007001","1007001054",""
