07d9d5aa03f75454651698b85ab0f0f361a74e2adaeb934aad3af46f1014b3f4,f2abab904f56a216f5642840b3b763fa1edc62166b6bab0e1f71ed687c02971e,cf544cad2003cd07e35f1589f03f6e0a9dd29b03ccb3707582a1461a8cec1036,fdbd2402b5e0cbdac951084f1b593776e98ff801dc531a1d33130ca2e9b38317,68c57b6f48480a1eb7596fff35d42990716203cfec4b908b5f2f01c1715591f4,2e13671a2f02708c16ca41b6bc0676c869afb10305082c866fbbf7ed3e612a6d,d6f5f160615f9b735f58facf1fcc1ca8dd6db1427a9ee298b116e9a066551cd6,7db0792f972d8aeab0ad31e162c13f18e004601053ede8996b7cc40df3a89aef,40fda239324c4122cb552503001615d41a4164f9a5b700ef5f52e4892debc2dc
"0","10000","1001","0","全難易度合計で10000pt獲得しよう","100101","1001","100101","1"
"0","30000","1001","0","全難易度合計で30000pt獲得しよう","100102","1001","100102","1"
"0","50000","1001","0","全難易度合計で50000pt獲得しよう","100103","1001","100103","1"
"0","70000","1001","0","全難易度合計で70000pt獲得しよう","100104","1001","100104","1"
"1","90000","1001","0","全難易度合計で90000pt獲得しよう","100105","1001","100105","1"
"1","105000","1001","0","全難易度合計で105000pt獲得しよう","100106","1001","100106","1"
"1","120000","1001","0","全難易度合計で120000pt獲得しよう","100107","1001","100107","1"
"1","135000","1001","0","全難易度合計で135000pt獲得しよう","100108","1001","100108","1"
"2","0","1002","1","難易度NORMAL1で1回戦おう","100109","1001","100109","1"
"2","0","1003","1","難易度NORMAL2で1回戦おう","100110","1001","100110","1"
"2","0","1004","1","難易度NORMAL3で1回戦おう","100111","1001","100111","1"
"3","10000","1001","1","難易度NORMALで10000pt獲得しよう","100112","1001","100112","1"
"3","20000","1001","1","難易度NORMALで20000pt獲得しよう","100113","1001","100113","1"
"3","30000","1001","1","難易度NORMALで30000pt獲得しよう","100114","1001","100114","1"
"4","0","1002","2","難易度HARD1で1回戦おう","100115","1001","100115","1"
"4","0","1003","2","難易度HARD2で1回戦おう","100116","1001","100116","1"
"4","0","1004","2","難易度HARD3で1回戦おう","100117","1001","100117","1"
"5","15000","1001","2","難易度HARDで15000pt獲得しよう","100118","1001","100118","1"
"5","30000","1001","2","難易度HARDで30000pt獲得しよう","100119","1001","100119","1"
"5","45000","1001","2","難易度HARDで45000pt獲得しよう","100120","1001","100120","1"
"6","0","1002","3","難易度EXTRA1で1回戦おう","100121","1001","100121","1"
"6","0","1003","3","難易度EXTRA2で1回戦おう","100122","1001","100122","1"
"6","0","1004","3","難易度EXTRA3で1回戦おう","100123","1001","100123","1"
"7","20000","1001","3","難易度EXTRAで20000pt獲得しよう","100124","1001","100124","1"
"7","40000","1001","3","難易度EXTRAで40000pt獲得しよう","100125","1001","100125","1"
"7","60000","1001","3","難易度EXTRAで60000pt獲得しよう","100126","1001","100126","1"
"0","10000","1001","0","全難易度合計で10000pt獲得しよう","100201","1002","100201","1"
"0","30000","1001","0","全難易度合計で30000pt獲得しよう","100202","1002","100202","1"
"0","50000","1001","0","全難易度合計で50000pt獲得しよう","100203","1002","100203","1"
"0","70000","1001","0","全難易度合計で70000pt獲得しよう","100204","1002","100204","1"
"1","90000","1001","0","全難易度合計で90000pt獲得しよう","100205","1002","100205","1"
"1","105000","1001","0","全難易度合計で105000pt獲得しよう","100206","1002","100206","1"
"1","120000","1001","0","全難易度合計で120000pt獲得しよう","100207","1002","100207","1"
"1","135000","1001","0","全難易度合計で135000pt獲得しよう","100208","1002","100208","1"
"2","0","1002","1","難易度NORMAL1で1回戦おう","100209","1002","100209","1"
"2","0","1003","1","難易度NORMAL2で1回戦おう","100210","1002","100210","1"
"2","0","1004","1","難易度NORMAL3で1回戦おう","100211","1002","100211","1"
"3","10000","1001","1","難易度NORMALで10000pt獲得しよう","100212","1002","100212","1"
"3","20000","1001","1","難易度NORMALで20000pt獲得しよう","100213","1002","100213","1"
"3","30000","1001","1","難易度NORMALで30000pt獲得しよう","100214","1002","100214","1"
"4","0","1002","2","難易度HARD1で1回戦おう","100215","1002","100215","1"
"4","0","1003","2","難易度HARD2で1回戦おう","100216","1002","100216","1"
"4","0","1004","2","難易度HARD3で1回戦おう","100217","1002","100217","1"
"5","15000","1001","2","難易度HARDで15000pt獲得しよう","100218","1002","100218","1"
"5","30000","1001","2","難易度HARDで30000pt獲得しよう","100219","1002","100219","1"
"5","45000","1001","2","難易度HARDで45000pt獲得しよう","100220","1002","100220","1"
"6","0","1002","3","難易度EXTRA1で1回戦おう","100221","1002","100221","1"
"6","0","1003","3","難易度EXTRA2で1回戦おう","100222","1002","100222","1"
"6","0","1004","3","難易度EXTRA3で1回戦おう","100223","1002","100223","1"
"7","20000","1001","3","難易度EXTRAで20000pt獲得しよう","100224","1002","100224","1"
"7","40000","1001","3","難易度EXTRAで40000pt獲得しよう","100225","1002","100225","1"
"7","60000","1001","3","難易度EXTRAで60000pt獲得しよう","100226","1002","100226","1"
"0","10000","1001","0","全難易度合計で10000pt獲得しよう","100301","1003","100301","1"
"0","30000","1001","0","全難易度合計で30000pt獲得しよう","100302","1003","100302","1"
"0","50000","1001","0","全難易度合計で50000pt獲得しよう","100303","1003","100303","1"
"0","70000","1001","0","全難易度合計で70000pt獲得しよう","100304","1003","100304","1"
"1","90000","1001","0","全難易度合計で90000pt獲得しよう","100305","1003","100305","1"
"1","105000","1001","0","全難易度合計で105000pt獲得しよう","100306","1003","100306","1"
"1","120000","1001","0","全難易度合計で120000pt獲得しよう","100307","1003","100307","1"
"1","135000","1001","0","全難易度合計で135000pt獲得しよう","100308","1003","100308","1"
"2","0","1002","1","難易度NORMAL1で1回戦おう","100309","1003","100309","1"
"2","0","1003","1","難易度NORMAL2で1回戦おう","100310","1003","100310","1"
"2","0","1004","1","難易度NORMAL3で1回戦おう","100311","1003","100311","1"
"3","10000","1001","1","難易度NORMALで10000pt獲得しよう","100312","1003","100312","1"
"3","20000","1001","1","難易度NORMALで20000pt獲得しよう","100313","1003","100313","1"
"3","30000","1001","1","難易度NORMALで30000pt獲得しよう","100314","1003","100314","1"
"4","0","1002","2","難易度HARD1で1回戦おう","100315","1003","100315","1"
"4","0","1003","2","難易度HARD2で1回戦おう","100316","1003","100316","1"
"4","0","1004","2","難易度HARD3で1回戦おう","100317","1003","100317","1"
"5","15000","1001","2","難易度HARDで15000pt獲得しよう","100318","1003","100318","1"
"5","30000","1001","2","難易度HARDで30000pt獲得しよう","100319","1003","100319","1"
"5","45000","1001","2","難易度HARDで45000pt獲得しよう","100320","1003","100320","1"
"6","0","1002","3","難易度EXTRA1で1回戦おう","100321","1003","100321","1"
"6","0","1003","3","難易度EXTRA2で1回戦おう","100322","1003","100322","1"
"6","0","1004","3","難易度EXTRA3で1回戦おう","100323","1003","100323","1"
"7","20000","1001","3","難易度EXTRAで20000pt獲得しよう","100324","1003","100324","1"
"7","40000","1001","3","難易度EXTRAで40000pt獲得しよう","100325","1003","100325","1"
"7","60000","1001","3","難易度EXTRAで60000pt獲得しよう","100326","1003","100326","1"
"0","10000","1001","0","全難易度合計で10000pt獲得しよう","100401","1004","100401","1"
"0","30000","1001","0","全難易度合計で30000pt獲得しよう","100402","1004","100402","1"
"0","50000","1001","0","全難易度合計で50000pt獲得しよう","100403","1004","100403","1"
"0","70000","1001","0","全難易度合計で70000pt獲得しよう","100404","1004","100404","1"
"1","90000","1001","0","全難易度合計で90000pt獲得しよう","100405","1004","100405","1"
"1","105000","1001","0","全難易度合計で105000pt獲得しよう","100406","1004","100406","1"
"1","120000","1001","0","全難易度合計で120000pt獲得しよう","100407","1004","100407","1"
"1","135000","1001","0","全難易度合計で135000pt獲得しよう","100408","1004","100408","1"
"2","0","1002","1","難易度NORMAL1で1回戦おう","100409","1004","100409","1"
"2","0","1003","1","難易度NORMAL2で1回戦おう","100410","1004","100410","1"
"2","0","1004","1","難易度NORMAL3で1回戦おう","100411","1004","100411","1"
"3","10000","1001","1","難易度NORMALで10000pt獲得しよう","100412","1004","100412","1"
"3","20000","1001","1","難易度NORMALで20000pt獲得しよう","100413","1004","100413","1"
"3","30000","1001","1","難易度NORMALで30000pt獲得しよう","100414","1004","100414","1"
"4","0","1002","2","難易度HARD1で1回戦おう","100415","1004","100415","1"
"4","0","1003","2","難易度HARD2で1回戦おう","100416","1004","100416","1"
"4","0","1004","2","難易度HARD3で1回戦おう","100417","1004","100417","1"
"5","15000","1001","2","難易度HARDで15000pt獲得しよう","100418","1004","100418","1"
"5","30000","1001","2","難易度HARDで30000pt獲得しよう","100419","1004","100419","1"
"5","45000","1001","2","難易度HARDで45000pt獲得しよう","100420","1004","100420","1"
"6","0","1002","3","難易度EXTRA1で1回戦おう","100421","1004","100421","1"
"6","0","1003","3","難易度EXTRA2で1回戦おう","100422","1004","100422","1"
"6","0","1004","3","難易度EXTRA3で1回戦おう","100423","1004","100423","1"
"7","20000","1001","3","難易度EXTRAで20000pt獲得しよう","100424","1004","100424","1"
"7","40000","1001","3","難易度EXTRAで40000pt獲得しよう","100425","1004","100425","1"
"7","60000","1001","3","難易度EXTRAで60000pt獲得しよう","100426","1004","100426","1"
"0","10000","1001","0","全難易度合計で10000pt獲得しよう","100501","1005","100501","1"
"0","30000","1001","0","全難易度合計で30000pt獲得しよう","100502","1005","100502","1"
"0","50000","1001","0","全難易度合計で50000pt獲得しよう","100503","1005","100503","1"
"0","70000","1001","0","全難易度合計で70000pt獲得しよう","100504","1005","100504","1"
"1","90000","1001","0","全難易度合計で90000pt獲得しよう","100505","1005","100505","1"
"1","105000","1001","0","全難易度合計で105000pt獲得しよう","100506","1005","100506","1"
"1","120000","1001","0","全難易度合計で120000pt獲得しよう","100507","1005","100507","1"
"1","135000","1001","0","全難易度合計で135000pt獲得しよう","100508","1005","100508","1"
"2","0","1002","1","難易度NORMAL1で1回戦おう","100509","1005","100509","1"
"2","0","1003","1","難易度NORMAL2で1回戦おう","100510","1005","100510","1"
