6f1ad0beb2aa9434327f1291faa528e1629bdb3f52effbbc31534508e0e10a1b,a9a307a151b1e75d3115ebdcddde43fa69749f341e8a673c813399d4815ac2fc,75a248fb8d4e13db845f432318fed353275f69ea373d0b18cd90cab548120f80,4bf07342da246ebe98a176f66bbf52e48da732bff43e3956d76f4ec18c95f7b4,db90e33b660c3e2c1d841f3894c00da86e047333d7515343d8c6a4ff17635855,14e9c632f676231d311c780405688493aa6cc67c39669d60e7ff80c2caa3388d
"勝利1","","100101","vo_btl_100101_win_001","vo_btl_100101","10010101"
"勝利2","","100101","vo_btl_100101_win_002","vo_btl_100101","10010102"
"勝利3","","100101","vo_btl_100101_win_003","vo_btl_100101","10010103"
"敗北1","","100101","vo_btl_100101_lose_001","vo_btl_100101","10010104"
"敗北2","","100101","vo_btl_100101_lose_002","vo_btl_100101","10010105"
"敗北3","","100101","vo_btl_100101_lose_003","vo_btl_100101","10010106"
"気絶1","","100101","vo_btl_100101_retire_001","vo_btl_100101","10010107"
"気絶2","","100101","vo_btl_100101_retire_002","vo_btl_100101","10010108"
"気絶3","","100101","vo_btl_100101_retire_003","vo_btl_100101","10010109"
"スキルカットイン1","","100101","vo_btl_100101_cutin_001","vo_btl_100101","10010110"
"スキルカットイン2","","100101","vo_btl_100101_cutin_002","vo_btl_100101","10010111"
"スキルカットイン3","","100101","vo_btl_100101_cutin_003","vo_btl_100101","10010112"
"ユニオンバースト1","","100101","vo_btl_100101_skill_000_001","vo_btl_100101","10010113"
"ユニオンバースト2","","100101","vo_btl_100101_skill_000_002","vo_btl_100101","10010114"
"ユニオンバースト3","","100101","vo_btl_100101_skill_000_003","vo_btl_100101","10010115"
"バトルスタート","","100101","vo_btl_100101_wavestart","vo_btl_100101","10010116"
"次のwaveへ","","100101","vo_btl_100101_nextwave","vo_btl_100101","10010117"
"最終waveへ","","100101","vo_btl_100101_lastwave","vo_btl_100101","10010118"
"バトルへのローディング","","100101","vo_cmn_100101_battlestart_001","vo_cmn_100101","10010119"
"バトル結果1","","100101","vo_cmn_100101_battleresult_001","vo_cmn_100101","10010120"
"バトル結果2","","100101","vo_cmn_100101_battleresult_002","vo_cmn_100101","10010121"
"マイページ1","","100101","vo_cmn_100101_mypage_001","vo_cmn_100101","10010122"
"マイページ2","","100101","vo_cmn_100101_mypage_002","vo_cmn_100101","10010123"
"マイページ3","","100101","vo_cmn_100101_mypage_003","vo_cmn_100101","10010124"
"マイページ4","","100101","vo_cmn_100101_mypage_004","vo_cmn_100101","10010125"
"マイページ5","","100101","vo_cmn_100101_mypage_005","vo_cmn_100101","10010126"
"ガチャ登場セリフ","","100101","vo_cmn_100101_gacha_001","vo_cmn_100101","10010127"
"自己紹介","","100101","vo_cmn_100101_profile_001","vo_cmn_100101","10010128"
"ギルドハウス1","","100101","vo_room_100101_auto_001","vo_room_100101","10010129"
"ギルドハウス2","","100101","vo_room_100101_auto_002","vo_room_100101","10010130"
"ギルドハウス3","","100101","vo_room_100101_auto_003","vo_room_100101","10010131"
"ギルドハウス4","","100101","vo_room_100101_auto_004","vo_room_100101","10010132"
"ギルドハウス5","","100101","vo_room_100101_auto_005","vo_room_100101","10010133"
"ギルドハウスタップ1","","100101","vo_room_100101_tap_001","vo_room_100101","10010134"
"ギルドハウスタップ2","","100101","vo_room_100101_tap_002","vo_room_100101","10010135"
"ギルドハウスタップ3","","100101","vo_room_100101_tap_003","vo_room_100101","10010136"
"ギルドハウスタップ4","","100101","vo_room_100101_tap_004","vo_room_100101","10010137"
"勝利1","","100102","vo_btl_100102_win_001","vo_btl_100102","10010201"
"勝利2","","100102","vo_btl_100102_win_002","vo_btl_100102","10010202"
"勝利3","","100102","vo_btl_100102_win_003","vo_btl_100102","10010203"
"敗北1","","100102","vo_btl_100102_lose_001","vo_btl_100102","10010204"
"敗北2","","100102","vo_btl_100102_lose_002","vo_btl_100102","10010205"
"敗北3","","100102","vo_btl_100102_lose_003","vo_btl_100102","10010206"
"気絶1","","100102","vo_btl_100102_retire_001","vo_btl_100102","10010207"
"気絶2","","100102","vo_btl_100102_retire_002","vo_btl_100102","10010208"
"気絶3","","100102","vo_btl_100102_retire_003","vo_btl_100102","10010209"
"スキルカットイン1","","100102","vo_btl_100102_cutin_001","vo_btl_100102","10010210"
"スキルカットイン2","","100102","vo_btl_100102_cutin_002","vo_btl_100102","10010211"
