2e3540724dd42da4d8f12c754e5937a901536c9487417e4e5c9b2020b1613536,6ed4c0772cc33f959bd9acc9eed1c1fc4ae812dfc23fe0179f2c6a09bd053768,78cf17335bdf093d5da53bbab1d36d1fe6d6c0dbb919a9faf1206b43cc3a277d,cc8e2ba5096f8b4f9ef3609f4a5ee48abc6976ff86f7ea8c3ebc05a11c2e87ed,a9c10dcf73a0c1711de69714f639da73340403bc62d31202dfd12f2a6bd3eb5b
"12","火属性ボーナス特大アップ","81001001","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","100100101"
"11","深域モンスター","81001001","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","100100102"
"17","ＴＰ上昇上限付与","81001001","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","100100103"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","81001001","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","100100104"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","81001001","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","100100105"
"9","ＨＰ吸収ダウン","81001001","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","100100106"
"12","火属性ボーナス特大アップ","81001002","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","100100201"
"11","深域モンスター","81001002","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","100100202"
"17","ＴＰ上昇上限付与","81001002","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","100100203"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","81001002","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","100100204"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","81001002","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","100100205"
"9","ＨＰ吸収ダウン","81001002","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","100100206"
"12","火属性ボーナス特大アップ","81001003","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","100100301"
"11","深域モンスター","81001003","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","100100302"
"17","ＴＰ上昇上限付与","81001003","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","100100303"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","81001003","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","100100304"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","81001003","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","100100305"
"9","ＨＰ吸収ダウン","81001003","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","100100306"
"12","火属性ボーナス特大アップ","81001004","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","100100401"
"11","深域モンスター","81001004","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","100100402"
"17","ＴＰ上昇上限付与","81001004","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","100100403"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","81001004","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","100100404"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","81001004","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","100100405"
"9","ＨＰ吸収ダウン","81001004","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","100100406"
"12","火属性ボーナス特大アップ","81001005","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","100100501"
"11","深域モンスター","81001005","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","100100502"
"17","ＴＰ上昇上限付与","81001005","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","100100503"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","81001005","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","100100504"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","81001005","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","100100505"
"9","ＨＰ吸収ダウン","81001005","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","100100506"
"12","火属性ボーナス特大アップ","81001006","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","100100601"
"11","深域モンスター","81001006","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","100100602"
"17","ＴＰ上昇上限付与","81001006","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","100100603"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","81001006","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","100100604"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","81001006","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","100100605"
"9","ＨＰ吸収ダウン","81001006","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","100100606"
"12","火属性ボーナス特大アップ","81001007","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","100100701"
"11","深域モンスター","81001007","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","100100702"
"17","ＴＰ上昇上限付与","81001007","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","100100703"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","81001007","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","100100704"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","81001007","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","100100705"
"9","ＨＰ吸収ダウン","81001007","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","100100706"
"12","火属性ボーナス特大アップ","81001008","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","100100801"
"11","深域モンスター","81001008","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","100100802"
"17","ＴＰ上昇上限付与","81001008","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","100100803"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","81001008","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","100100804"
