1f1168acb55f28c58185de8c9894277daac29253ce07e33f060a29991b866a2a,07fce9f3291234c5bd97754daee320d66e9f7bc2348385917099450a764ade4f,e4ddd2bc5f2ced8e35a994b2fccf4c846bbf316f1e4e7e0b440caccc820e4cf2,92786e088e48a330b93bf9ee722d646e25ceb56af1063be8745d8abd2195a16f,6587ba7a93dcde4ac55dd500a243c94e3d2b2e3bdc23325d14eb23a468418c01,77dbf1c591fcd6558f1a60ed59981fde293597da088ed4af0fa542ea12f5429a,48b0a378a59a770e464e01677017eeaed2bb17efe3135f72e33cee7facf3bb67,ef5e4c9eea386d642a9469e0f0cf285d6b4e0166049d6bc19b95f9d677a0704e,db71d675399cd9a0427510da350311b434ea8eea9c4f17c619cb0ea94deba3fd,1ccc83053974d63b0c10ff11ce8df9ddb2c86d47f049f97dc2eaf8d827cfb7f6,243d69acd517d23cdb753a0ac62583509f98bf1b9f0ab65f196108d897c93637
"25021","283001001","8","2","8","10","25013","2","31","91002","1"
"25021","283001002","8","2","8","10","25013","2","31","91002","2"
"25021","283001003","8","2","8","10","25013","2","32","91002","3"
"25021","283001004","8","2","8","10","25013","2","32","91002","4"
"25021","283001005","8","2","8","10","25013","2","33","91002","5"
"25021","283001006","8","2","9","10","25013","2","33","91002","6"
"25021","283001007","8","2","9","10","25013","2","34","91002","7"
"25021","283001008","8","2","9","10","25013","2","35","91002","8"
"25021","283001009","8","2","9","10","25013","2","35","91002","9"
"25021","283001010","8","2","10","30","25013","2","37","91002","10"
"25021","283001011","8","2","10","10","25013","2","41","91002","11"
"25021","283001012","8","2","11","10","25013","2","43","91002","12"
"25021","283001013","8","2","11","10","25013","2","46","91002","13"
"25021","283001014","8","2","12","10","25013","2","48","91002","14"
"25021","283001015","8","2","12","10","25013","2","50","91002","15"
"25021","283001016","8","2","13","10","25013","2","53","91002","16"
"25021","283001017","8","2","14","10","25013","2","55","91002","17"
"25021","283001018","8","2","14","10","25013","2","58","91002","18"
"25021","283001019","8","2","15","10","25013","2","60","91002","19"
"25021","283001020","8","2","15","30","25013","2","62","91002","20"
"25021","283001021","8","2","16","10","25013","2","68","91002","21"
"25021","283001022","8","2","16","10","25013","2","70","91002","22"
"25021","283001023","8","2","16","10","25013","2","72","91002","23"
"25021","283001024","8","2","17","10","25013","2","75","91002","24"
"25021","283001025","8","2","18","10","25013","2","77","91002","25"
"25021","283001026","8","2","18","10","25013","2","79","91002","26"
"25021","283001027","8","2","19","10","25013","2","82","91002","27"
"25021","283001028","8","2","19","10","25013","2","84","91002","28"
"25021","283001029","8","2","19","10","25013","2","86","91002","29"
"25021","283001030","8","2","20","30","25013","2","89","91002","30"
"25021","283001031","8","2","20","10","25013","2","94","91002","31"
"25021","283001032","8","2","21","10","25013","2","96","91002","32"
"25021","283001033","8","2","21","10","25013","2","99","91002","33"
"25021","283001034","8","2","22","10","25013","2","101","91002","34"
"25021","283001035","8","2","22","10","25013","2","103","91002","35"
"25021","283001036","8","2","23","10","25013","2","106","91002","36"
"25021","283001037","8","2","23","10","25013","2","108","91002","37"
"25021","283001038","8","2","24","10","25013","2","111","91002","38"
"25021","283001039","8","2","25","10","25013","2","113","91002","39"
"25021","283001040","8","2","25","30","25013","2","115","91002","40"
"25021","283001041","8","2","26","10","25013","2","121","91002","41"
"25021","283001042","8","2","27","10","25013","2","123","91002","42"
"25021","283001043","8","2","28","10","25013","2","125","91002","43"
"25021","283001044","8","2","28","10","25013","2","128","91002","44"
"25021","283001045","8","2","29","10","25013","2","130","91002","45"
"25021","283001046","8","2","30","10","25013","2","132","91002","46"
"25021","283001047","8","2","30","10","25013","2","135","91002","47"
"25021","283001048","8","2","31","10","25013","2","137","91002","48"
"25021","283001049","8","2","31","10","25013","2","139","91002","49"
"25021","283001050","8","2","31","30","25013","2","142","91002","50"
"25021","283001051","8","2","32","10","25013","2","144","91002","51"
"25021","283001052","8","2","32","10","25013","2","146","91002","52"
"25021","283001053","8","2","32","10","25013","2","149","91002","53"
"25021","283001054","8","2","33","10","25013","2","152","91002","54"
"25021","283001055","8","2","33","10","25013","2","155","91002","55"
"25021","283001056","8","2","33","10","25013","2","157","91002","56"
"25021","283001057","8","2","34","10","25013","2","160","91002","57"
"25021","283001058","8","2","34","10","25013","2","163","91002","58"
"25021","283001059","8","2","34","10","25013","2","166","91002","59"
"25021","283001060","8","2","35","30","25013","2","169","91002","60"
"25021","283001061","8","2","35","10","25013","2","171","91002","61"
"25021","283001062","8","2","35","10","25013","2","174","91002","62"
"25021","283001063","8","2","36","10","25013","2","177","91002","63"
"25021","283001064","8","2","36","10","25013","2","180","91002","64"
"25021","283001065","8","2","36","10","25013","2","182","91002","65"
"25021","283001066","8","2","37","10","25013","2","185","91002","66"
"25021","283001067","8","2","37","10","25013","2","187","91002","67"
"25021","283001068","8","2","37","10","25013","2","190","91002","68"
"25021","283001069","8","2","38","10","25013","2","193","91002","69"
"25021","283001070","8","2","38","30","25013","2","196","91002","70"
