3f8f5cb00085d0ce7fe01a482376898e464966cf4587085b67f3029cb7a56827,0b1d141d57a62206f462762762b2fcad0684927d69885bd5b42be8c0dec1284e,bc240504e90a47f22a32f7eb3222519cfe4fab1f9de44cc3638f78dd30dec845,4bb92bf92473b9f2bc5d35d06b3ae60810a08daaa6ce3a38d460cc6b23aa62e7,cec5c3e8284e8a3ceb2dfb4a292d863ca36750e6f2b7fb24c6f9bde89652bb01,1b26e3469c4013c652987da1d2de2cc54443004e619773061786321a8dd71006,90f303dfb768057c81402ec588271580926325d97c09c040f228cf5982a1756f,0d5be426d0efe59b51cf0866daeb9f73a21423278bd0859f45a5cd6a5b8dc481,40b84751341ae3a3f6259751bb59cd64cba9ca224349b10ef30fd4559f1728db,759443a3d51ae5cb3b6e8def29a35fca433d6a31577c525c7724c8225f23a42b,9f5b1ea4b47b57b35fbd8b23e57d31091eb3f619dd01f65fb1c5dab17a7c8057
"102611","ttk_idle_def","1","100","1","1010001","-120","850","1","1","5"
"2","","1","0","2","1010002","1","0","1","","31"
"1","","1","-120","1","1010003","1","-80","1","","31"
"","","1","","1","1010004","","","","","93"
"vo_minigame_1005_top_000","","1","0","vo_minigame_1005","1010005","","0","","","21"
"ttk_doya","","1","ttk_idle_doya","102611","1010006","1","0","0.3","0.3","3"
"任された仕事は\nきちんとやるよ","","1","","102611","1010007","","8","0","0","11"
"","","1","","0","1010008","","","","","91"
"102611","ttk_idle_def","2","100","1","1020001","-120","850","1","1","5"
"2","","2","0","2","1020002","1","0","1","","31"
"1","","2","-120","1","1020003","1","-80","1","","31"
"","","2","","1","1020004","","","","","93"
"vo_minigame_1005_top_001","","2","0","vo_minigame_1005","1020005","","0","","","21"
"ttk_idle_smile","","2","ttk_idle_def","102611","1020006","1","0","0.3","0.3","3"
"あたしの前に\n現れたこと\n後悔させてあげる","","2","","102611","1020007","","8","0","0","11"
"","","2","","0","1020008","","","","","91"
"102611","ttk_idle_def","3","100","1","1030001","-120","850","1","1","5"
"2","","3","0","2","1030002","1","0","1","","31"
"1","","3","-120","1","1030003","1","-80","1","","31"
"","","3","","1","1030004","","","","","93"
"vo_minigame_1005_top_002","","3","0","vo_minigame_1005","1030005","","0","","","21"
"ttk_joy","","3","ttk_idle_joy","102611","1030006","1","0","0.1","0.3","3"
"コツをつかめば\n結構楽しいかも\nいや、労働は労働か…","","3","","102611","1030007","","8","0","0","11"
"","","3","","2.2","1030008","","","","","93"
"ttk_talk_sad","","3","","102611","1030009","","1","0.3","0.3","3"
"","","3","","3","1030010","","","","","93"
"ttk_idle_def","","3","","102611","1030011","","1","0.3","0.3","3"
"","","3","","0","1030012","","","","","91"
"102611","ttk_idle_def","4","100","1","1040001","-120","850","1","1","5"
"2","","4","0","2","1040002","1","0","1","","31"
"1","","4","-120","1","1040003","1","-80","1","","31"
"","","4","","1","1040004","","","","","93"
"vo_minigame_1005_top_003","","4","0","vo_minigame_1005","1040005","","0","","","21"
"ttk_shock","","4","ttk_idle_shock","102611","1040006","1","0","0.3","0.3","3"
"ねずみのことなんか\n知りたくないよ\nはぁ…めんどくさい","","4","","102611","1040007","","8","0","0","11"
"","","4","","5","1040008","","","","","93"
"ttk_idle_def","","4","","102611","1040009","","1","0.3","0.3","3"
"","","4","","0.7","1040010","","","","","93"
"102611","ttk_idle_def","5","100","1","1050001","-120","850","1","1","5"
"2","","5","0","2","1050002","1","0","1","","31"
"1","","5","-120","1","1050003","1","-80","1","","31"
"","","5","","1","1050004","","","","","93"
"vo_minigame_1005_top_004","","5","0","vo_minigame_1005","1050005","","0","","","21"
"ttk_surprise","","5","","102611","1050006","","0","0.3","0.3","3"
"うわっ！？\nこっちこないでよ！\nはぁ…チマチマ\n追い払うのは大変だ…","","5","","102611","1050007","","8","0","0","11"
"","","5","","0.9","1050008","","","","","93"
"ttk_talk_anger","","5","","102611","1050009","","1","0.3","0.3","3"
"","","5","","0.8","1050010","","","","","93"
"ttk_sad","","5","ttk_talk_sad","102611","1050011","1","0","0.3","0.3","3"
"","","5","","5","1050012","","","","","93"
"ttk_idle_def","","5","","102611","1050013","","1","0.3","0.3","3"
"","","5","","0","1050014","","","","","91"
"102611","ttk_idle_def","6","100","1","1060001","-120","850","1","1","5"
"2","","6","0","2","1060002","1","0","1","","31"
"1","","6","-120","1","1060003","1","-80","1","","31"
"","","6","","1","1060004","","","","","93"
"vo_minigame_1005_top_005","","6","0","vo_minigame_1005","1060005","","0","","","21"
"ttk_idle_worry","","6","","102611","1060006","","1","0.3","0.3","3"
"こんなことに\n慣れたくないよ…\nでも牧場のためには\nやるしかないか","","6","","102611","1060007","","8","0","0","11"
"","","6","","7","1060008","","","","","93"
"ttk_amz","","6","ttk_idle_def","102611","1060009","1","0","0.3","0.3","3"
"","","6","","0","1060010","","","","","91"
