09c31d2431cfda8855feeb7794e1e5cb4e02665669f1b3647ccf48897383734c,4027e207b777ff45669a6d4977aa925a63306a573fd76b1a970182e6a715b771,29e0beb57298ffc9278569e93b77b99853c3b14c1c2f393a7978db2dab44b5f7,eaa4bf547dce0eda1e130c74a7a9497aecbd23f22f08f5fcac10847934cc49e6
"20","20","2","1"
"30","30","3","1"
"50","80","3","2"
"80","160","3","3"
"60","60","4","1"
"100","160","4","2"
"180","340","4","3"
"360","700","4","4"
"500","1200","4","5"
"100","100","5","1"
"160","260","5","2"
"280","540","5","3"
"480","1020","5","4"
"780","1800","5","5"
"100","100","6","1"
"160","260","6","2"
"280","540","6","3"
"480","1020","6","4"
"780","1800","6","5"
"100","100","7","1"
"160","260","7","2"
"280","540","7","3"
"480","1020","7","4"
"780","1800","7","5"
"100","100","8","1"
"160","260","8","2"
"280","540","8","3"
"480","1020","8","4"
"780","1800","8","5"
"100","100","9","1"
"160","260","9","2"
"280","540","9","3"
"480","1020","9","4"
"780","1800","9","5"
"100","100","10","1"
"160","260","10","2"
"280","540","10","3"
"480","1020","10","4"
"780","1800","10","5"
