3f7492f3fc456bbc6c3d431226e86b89518e94d731f7ca02a45390ab2c9d979a,68c5880ea34ce8b7b1d4438e4a510171a5c0fb2e167b068d462e9e1827f477eb,7a2a438eca455bc711edcedaefcd13a3d1aa96d97bc1557dcde4f358d210826a,94b5ec6e11a16e6cd017b2e123933390e11637a97b69a091a17ccaa0f5bacf97,2eec319bab636eb897f821d4b32bfb64a1cc3eec394fa40ed206ae69e48c5218,05b956ba9f5f61135f5f3a96dbaddb572bbe975bd5d3f1899f196be6ada3ef14,8ca86c1e8545ff99e1fb73cdab691e46213a32307d946f1c780df2e180d1fa83,fcf7f0e646b77a8fb7ed44313246ce48faf2e59e21d88eaeab517b442a6f3194
"11011","0","タンクロールの\nランダムサイン×2\n＋アルファルピ×200","11011","192801","タンクを\n仲間にしたい！","21_role_tank","0"
"11012","0","ヒーラーロールの\nランダムサイン×2\n＋アルファルピ×200","11012","192801","ヒーラーを\n仲間にしたい！","22_role_healer","0"
"11021","0","ブースターロールの\nランダムサイン×2\n＋アルファルピ×200","11021","192801","ブースターを\n仲間にしたい！","23_role_booster","0"
"11022","0","バッファーロールの\nランダムサイン×2\n＋アルファルピ×200","11022","192801","バッファーを\n仲間にしたい！","24_role_buffer","0"
"11031","0","デバッファーロールの\nランダムサイン×2\n＋アルファルピ×200","11031","192901","デバッファーを\n仲間にしたい！","25_role_debuffer","0"
"11032","0","ジャマーロールの\nランダムサイン×2\n＋アルファルピ×200","11032","192901","ジャマーを\n仲間にしたい！","26_role_jammer","0"
"11041","0","アタッカーロールの\nランダムサイン×2\n＋アルファルピ×200","11041","192901","アタッカーを\n仲間にしたい！","27_role_attacker","0"
"11042","0","ブレイカーロールの\nランダムサイン×2\n＋アルファルピ×200","11042","192901","ブレイカーを\n仲間にしたい！","28_role_breaker","0"
"11051","0","バトルマス(NORMAL)の\n敵に挑戦する\n＋アルファルピ×200","11051","100501","腕試しッス！","41_matsuri_guts","0"
"11052","0","バトルマス(EXTREME)の\n敵に挑戦する\n＋アルファルピ×300","11052","107101","強敵との戦いは心躍る！","42_chris_cool","0"
"11071","1","50％で★2迷宮遺物×1\n50％で★3迷宮遺物×1","11071","102501","用心して近づきましょう","71_suzume_sad","2000"
"11072","1","50％でランダムなロールの\nセレクトサイン×1\n50％でオールセレクトサイン×1","11072","102301","ぷうきち\nフルスイ～ング☆","72_ayane_handsup","2000"
"11073","0","50％でアルファルピ×1500\n50％でアルファルピ×2000","11073","102101","触っても\n大丈夫かな……？","73_kurumi_wish","0"
"11081","0","50％で★1迷宮遺物×1\n50％でランダムなロールの\nランダムサイン×2","11081","103201","右に決まっていますわ！","82_akino_pointing","0"
"11082","0","アルファルピ×1000","11082","102801","左じゃないかしら？","81_saren_pointing","0"
"11091","0","バトルマス(NORMAL)の\n敵に挑戦する\n＋アルファルピ×300","11091","100501","腕試しッス！","41_matsuri_guts","0"
"11092","0","バトルマス(EXTREME)の\n敵に挑戦する\n＋アルファルピ×450","11092","107101","強敵との戦いは心躍る！","42_chris_cool","0"
"11101","0","勝つとアルファルピ×3000\n負けるとアルファルピ×1000","11101","100101","グー！！！","31_hiyori_gu","0"
"11102","0","勝つとアルファルピ×3000\n負けるとアルファルピ×1000","11102","100301","チョキにしよう","32_rei_choki","0"
"11103","0","勝つとアルファルピ×3000\n負けるとアルファルピ×1000","11103","100201","パーにしようかな","33_yui_pa","0"
"11111","0","アルファルピ×2000","11111","193001","弟くん\nこっちこっち♪","101_chest_shizuru","0"
