ebd25209e6fec2a2dc9bd4e8829d026c6eb79d0dfc7a6402772ebb1beade6658,87c0c1ad9f051ef763e5dcdd8b04549eb7c4fd3817a9fb4c46df72f1c2cc51c5,bcbb295e23a6e8c52d96dd2013ec8bbb58ba8c7613fa22ad9a6bbf557b50283c,689492134cd2ae6593258901d681fded22c0e166963aaa789990b1c6d5cd7a28,51e4e807bcc99edde9234b890d59aa0af480a824d38f53c2229b2164aea955a9,5e174789da46f4eef918cf75518af985c2b5c72b9104f20d5d37011f1ee19c39,866c266e7aca8676c98710df78a20ea6b627d97203852ca28d31037d2c0ab97b,af5f8447acfe64d4e63bf83de34c62bc44b92058f1abdaf942adae771134f976,9578b7e4cf8ff756a18b0a26ff513025652d852ac7132c7d16de7ec5205fee04,6c74dd03606e35b2469202f0d9c291db001e93c35ddab2b35c8c6a2017a24e4e
"2018/01/01 15:00:00","0","0","0","0","0","0","2019/02/15 14:59:59","0","10001"
"2019/02/15 15:00:00","0","0","1","1001","1001","1","2019/02/28 11:59:59","1001","10002"
"2019/02/28 12:00:00","0","0","1","1001","0","1","2020/02/15 14:59:59","0","10003"
"2020/02/15 15:00:00","1002","0","1","1001","1002","1","2020/02/29 11:59:59","1002","10004"
"2020/02/15 15:00:00","1002","2015009","2","1002","1002","2","2020/02/29 11:59:59","1002","10005"
"2020/02/29 12:00:00","0","0","1","1001","0","1","2020/08/15 14:59:59","0","10006"
"2020/02/29 12:00:00","0","2015009","2","1002","0","2","2020/08/15 14:59:59","0","10007"
"2020/08/15 15:00:00","1003","0","1","1001","0","1","2020/08/31 11:59:59","0","10008"
"2020/08/15 15:00:00","1003","2015009","2","1002","0","2","2020/08/31 11:59:59","0","10009"
"2020/08/31 12:00:00","0","0","1","1001","0","1","2021/02/15 14:59:59","0","10010"
"2020/08/31 12:00:00","0","2015009","2","1002","0","2","2021/02/15 14:59:59","0","10011"
"2021/02/15 15:00:00","1004","0","1","1001","1003","1","2021/02/28 11:59:59","1003","10012"
