4b1fd5c1a4e041d370dd9e07a2ff6ac7b6989cee836483c28819cca230ee3a17,296a18d16612fbbbe09c5cb28e7ce9878805404022ecadae81de94b711fe84a8,3338317589bca67fd83d64f5e65d852c2a78a9f486347e6967ef2e1fbb8da3d1,07d382b95740e764ae11bd1ce584fd749b287849bd8f2b5f649bc137a105466b,4c87407ea8d4fb8f451bbe188f457bfe517a2ac9bbf9e1153746bb7005980bcb,78595e17a85450709bfe77cf19ff104625e3f9476e45aa90bfb07bb0eee352d1,6320a37c8d7f8d74d0f1e1ea3637b103f555089053b8ea8c50c386f99c896de4,6565684bd845faa24b455d9160b3d262867329f5ef5991e28c500a8505534226,46ba944b5e24e98df637579e8b6b9d97dfe212c81aff928869add10f4c7d9adb,3ce299e0872f34966268807585c479b350100013b7c2d4cf98fb78845c2e6ae4,d9eb762d1158c0938135b2e982a6bb0079678bb8dbde405ef2342a7a2700ab90,450917026b1ae534e2f894c53abda57e55be4444dfdafcc020728271a629730d,c6fc3418668e728899e797bc18571d07342f186c0f48615bf9101678e8f7ef5e,997aac44d64ac35fd74ce278876e0cf1f863974514a0b6ed025b21b29f031476,3c1b4d940f8c0289642ae9286c8df59924a264509aace4cc63c5a3674a85b74e,2a693c70219b3d16f17d7d470368d6e502df744c9319562efbdcfe16d9b5608f,4ae3316ff0d464c535daf002be4808ec5f6d64e80e4fd7b6a97e17516f466b7b,ddb90b1f679e2ebad2f360ef6b7844bc2e88d6633818294ac16a89cca95f9fd4,dde2364df2e34ff76b2d71e85e374c149be291e4517e75c1d283ab602b5e4dec,ee2f3fbd6d28e599e9f99200a35a5539d369c295337121c08170eb3688784d1b,7fc852e58bcf11b6f715201573cfeaee589a0da643f493385229083445b24c5b
"100100101","物理ダメージ+{0}","1","0","0","2.4","1","30","3","30","-1","1","1","0","0","1","敵単体に{0}の物理ダメージ","0","0","0","1"
"100100102","","3","0","0","500","3","0","3","50","-1","1","1","0","0","99","","0","0","0","1"
"100100103","物理ダメージ+{0}","1","0","0","1.08","1","13.5","3","13.5","600","1","1","0","0","99","範囲内の敵に{0}の物理ダメージ","0","0","0","1"
"100100201","物理ダメージ+{0}","1","0","0","1.6","1","20","3","20","-1","1","1","0","0","1","敵単体に{0}の物理ダメージ","0","0","0","1"
"100100301","物理攻撃力アップ+{0}","10","1","1","30","10","30","7","1","0","1","1","180","0","1","自分の物理攻撃力を{0}アップ","0","0","0","2"
"100100302","物理ダメージ+{0}","1","0","0","1.8","1","22.5","3","22.5","-1","1","1","0","0","1","敵単体に{0}の物理ダメージ","0","0","0","1"
"100100303","","28","0","0","0","701","2","3","1","2160","1","3","0","100100304","99","","0","0","0","1"
"100100304","物理ダメージ+{0}","1","0","0","1.8","1","22.5","3","22.5","600","1","1","0","0","99","敵の数が２キャラ以上の場合、範囲内の敵に{0}の物理ダメージ","0","0","0","1"
"100101101","物理ダメージ+{0}","1","0","0","6","1","75","3","75","-1","1","1","0","0","1","敵単体に{0}の物理ダメージ","0","0","0","1"
"100101102","物理ダメージ+{0}","1","0","0","3.6","1","45","3","45","600","1","1","0","0","99","範囲内の敵に{0}の物理ダメージ","0","0","0","1"
"100101201","物理ダメージ+{0}","1","0","0","2.4","1","30","3","30","-1","1","1","0","0","1","敵単体に{0}の物理ダメージ","0","0","0","1"
"100101202","物理ダメージ+{0}","1","0","0","0.72","1","9","3","9","600","1","1","0","0","99","範囲内の敵に{0}の物理ダメージ","0","0","0","1"
"100102201","物理ダメージ+{0}","1","0","0","3.6","1","45","3","45","-1","1","1","0","0","1","敵単体に{0}の物理ダメージ","0","0","0","1"
"100102202","物理ダメージ+{0}","1","0","0","2.4","1","30","3","30","600","1","1","0","0","99","範囲内の敵に{0}の物理ダメージ","0","0","0","1"
"100102203","","28","0","0","0","701","2","3","1","2160","1","3","0","100102204","99","攻撃する度にダメージ1500増加","0","0","0","1"
"100102204","","8","0","0","18","2","0","7","3","-1","1","3","0","0","1","敵の数が２キャラ以上の場合、以下の効果が発動する","0","0","0","2"
"100102205","","16","0","0","0","1","0","7","1000","-1","1","3","0","0","1","自分の行動速度200％アップ","0","0","0","2"
"100102206","","28","0","0","0","1211","0","7","0","0","1","1","0","100102207","1","自分のＴＰを1000回復","0","0","0","2"
"100102207","","102","0","0","0","0","1500","7","1","-1","1","3","100","0","1","","0","0","0","2"
"100102208","","45","0","0","0","1","0","7","1","0","1","1","0","0","1","","0","0","0","2"
"100150101","物理攻撃力アップ+{0}","90","0","0","15","2","15","0","1","0","1","0","1","0","0","自分の物理攻撃力を{0}アップ","0","0","0","0"
"100151101","物理攻撃力アップ+{0}","90","0","0","15","2","240","0","1","0","1","0","1","0","0","自分の物理攻撃力を{0}アップ","0","0","0","0"
"100200101","ＨＰ回復量+{0}","4","0","0","6","2","6","3","1","2160","1","3","0.45","0","99","味方全体のＨＰを{0}回復","0","0","0","2"
"100200201","魔法ダメージ+{0}","1","0","0","1.2","2","15","3","15","-1","1","1","0","0","1","敵単体に{0}の魔法ダメージ","0","0","0","1"
"100200301","物理防御力アップ+{0}","10","1","1","0.3","20","0.3","3","1","2160","1","3","18","0","99","味方全体の物理・魔法防御力を{0}アップ","0","0","0","2"
"100200302","魔法防御力アップ+{0}","10","1","1","0.3","40","0.3","3","1","2160","1","3","18","0","99","","0","0","0","2"
"100200303","無効ダメージ量+{0}","6","0","0","18","1","32","3","32","2160","1","3","0","0","99","{0}ダメージ分の物理無効バリアを展開する","0","0","0","2"
"100200304","","28","0","100200305","0","1900","2","7","1","2160","1","3","0","0","1","","0","0","0","2"
"100200305","","16","0","0","0","1","0","3","100","2160","1","3","0","0","99","自分にバリアが展開されている場合、味方全体のＴＰを{0}回復","0","0","0","2"
"100201101","ＨＰ回復量+{0}","4","0","0","8","2","8","3","1","2160","1","3","0.6","0","99","味方全体のＨＰを{0}回復","0","0","0","2"
"100201102","物理防御力アップ+{0}","10","1","1","1.2","20","1.2","3","1","2160","1","3","18","0","99","味方全体の物理・魔法防御力を{0}アップ","0","0","0","2"
"100201103","魔法防御力アップ+{0}","10","1","1","1.2","40","1.2","3","1","2160","1","3","18","0","99","","0","0","0","2"
"100201104","","10","1","1","0","120","12","3","1","2160","1","3","18","0","99","味方全体の魔法クリダメを{0}％アップ","0","0","0","2"
"100201105","吸収ダメージ量+{0}","6","0","0","18","3","45","3","45","2160","1","3","0","0","99","{0}ダメージ分の物理吸収バリアを展開する","0","0","0","2"
"100201106","","8","0","0","18","2","0","3","2","2160","1","3","0","0","99","味方全体の行動速度100％アップ","0","0","0","2"
"100201107","","28","0","100201108","0","1900","2","7","1","2160","1","3","0","0","1","自分にバリアが展開されている場合、以下の効果が発動する","0","0","0","2"
"100201108","無効ダメージ量+{0}","6","0","0","18","2","45","3","45","2160","1","3","0","0","99","{0}ダメージ分の魔法無効バリアを展開する","0","0","0","2"
"100201109","無効ダメージ量+{0}","6","0","0","18","5","45","3","45","2160","1","3","0","0","99","{0}ダメージ分の物理魔法無効バリアを展開する","0","0","0","2"
"100201201","魔法ダメージ+{0}","1","0","0","1.6","2","20","3","20","-1","1","1","0","0","1","敵単体に{0}の魔法ダメージ","0","0","0","1"
"100201202","物理攻撃力ダウン+{0}","10","1","1","7.5","11","7.5","3","1","-1","1","1","12","0","1","敵単体の物理攻撃力を{0}ダウン","0","0","0","1"
"100202201","魔法ダメージ+{0}","1","0","0","3.6","2","45","3","45","-1","1","1","0","0","1","敵単体に{0}の魔法ダメージ","0","0","0","1"
"100202202","物理攻撃力ダウン+{0}","10","1","1","20","11","20","3","1","-1","1","1","18","0","1","敵単体の物理・魔法攻撃力を{0}ダウン","0","0","0","1"
"100202203","魔法攻撃力ダウン+{0}","10","1","1","20","31","20","3","1","-1","1","1","18","0","1","","0","0","0","1"
"100202204","魔法防御力ダウン+{0}","10","1","1","0.5","41","0.5","3","1","-1","1","1","18","0","1","敵単体の魔法防御力を{0}ダウン","0","0","0","1"
"100202205","","28","0","100202206","0","1900","2","7","1","2160","1","3","0","0","1","","0","0","0","2"
"100202206","","16","0","0","0","1","0","7","500","2160","1","3","0","0","1","自分にバリアが展開されている場合、自分のＴＰを{0}回復","0","0","0","2"
"100250101","魔法攻撃力アップ+{0}","90","0","0","15","4","15","0","1","0","1","0","1","0","0","自分の魔法攻撃力を{0}アップ","0","0","0","0"
