f5f6841bd41619e35d350f1723202d642c4f8f81bc78cf5337da9bc1d12d2eff,26d45bb85888ae218d34a26d20596e2606e4c51063757fa50df7479de2e8e15f,22bb4960a26f2fc30c8d98edbbd46ec4dfb1cdf4b5a18f8072b59f0db1cf3995,df2f14d814de32792aca1ca194ed70e9f65741691bc5ec6a1c1db48e26f7d192,f07806f925df39683ab24aed1a9d1e47b02385a2fef6229c16d83a4412b1bba9,923c54dfffaf81e20998717e93bae10fb652b1fb30e666d1d832895ae919bb72
"20025","0","1101","1","1","0"
"20025","0","1102","1","1","0"
"20025","1","1103","1","0","5042002"
"20025","0","1104","1","1","0"
"20025","1","1105","1","0","5042003"
"20025","0","1106","1","1","0"
"20025","2","1107","1","0","5042005"
"20025","1","1201","2","0","5042007"
"20025","2","1202","2","0","5042007"
"20025","0","1203","2","1","0"
"20025","0","1204","2","1","0"
"20025","0","1301","1","0","0"
