e3bf3151618b2e0d0af14a2bf69af3de84ceaa294e4962248a93713ef781cfa6,e0a83fdcc66ca40422d98ab3c91ed4473819b38263b23e9d5ed22a64301460bb,f54ed456eb7e15eb949d4cfa10b48f13376e4625c04b6f2d879f0ba9625879df,87007d13d494b8837958f96a0458949f6e972aaa74affdc2a5141b3eaec63092
"1","2","20","20"
"1","3","30","30"
"2","3","50","80"
"3","3","80","160"
"1","4","60","60"
"2","4","100","160"
"3","4","180","340"
"4","4","360","700"
"5","4","500","1200"
"1","5","100","100"
"2","5","160","260"
"3","5","280","540"
"4","5","480","1020"
"5","5","780","1800"
"1","6","100","100"
"2","6","160","260"
"3","6","280","540"
"4","6","480","1020"
"5","6","780","1800"
"1","7","100","100"
"2","7","160","260"
"3","7","280","540"
"4","7","480","1020"
"5","7","780","1800"
"1","8","100","100"
"2","8","160","260"
"3","8","280","540"
"4","8","480","1020"
"5","8","780","1800"
"1","9","100","100"
"2","9","160","260"
"3","9","280","540"
"4","9","480","1020"
"5","9","780","1800"
"1","10","100","100"
"2","10","160","260"
"3","10","280","540"
"4","10","480","1020"
"5","10","780","1800"
