abaf98183b814bc4db51207a377c220da76909e53aac8c49b24b903eeebe2959,40949921667972400c4cf049cf8d1e451852b1ecc87d236b665c55fcdc2b1b84,e6fd771f2717f83e7b8ecc21c771c749ba44f16940b8546bd13ae528ba7d3962,c5897328b117cbba18b1355c3f5fb8956842f526927273de156e8ab642b9e79a,7f9f4fab497386cd1422c38484c7926b68ee12e22cbb29ea2a4c9f23f5aa9baa,4801734133d343d3376f7dc3995eed46d61b43cb6689b65006579dedfd1b4f34,0a0424b57adf33a344e620a42102c9c9548f51f6f09b6802b6d041313ff184d4,fe23e90d10964b065273f0354c3d7b16cba53f577819c337723eeeaaf079af55,417ecb16e86c8eb223ecdb145304f2c8174718250493e6ad8aae51a84b17dab2,ab64a0c9f9c52a9c265862186690565af1e44b1a5fcbf01d1875847798df4e1d,527cae88913d588f4192348de71dfde6e89be464b73a9b837b54e5f92757fad4,53791386270907f10a0109d129327d959903f95e403512cc65c1b2d79bac141a
"1","0","0","1010001","vo_10020900","0","vo_10020900_0001","1","0","0","2","0"
"2","0.818181818181818","0","1010002","0","0","0","1","180","0","1","1"
"3","0","0.818181818181818","1010003","0","1","0","1","0","0","4","1"
"4","0.634285714285714","0","1010004","0","0","0","1","148","0","1","2"
"5","0","1.03428571428571","1010005","0","1","0","1","0","0","4","2"
"6","1.33714285714286","0","1010006","0","0","0","1","460","148","1","2"
"7","0","2.13714285714286","1010007","0","1","0","1","0","0","4","2"
"8","0","0","1010008","vo_10020900","0","vo_10020900_0002","1","0","0","2","0"
"9","1.12948051948052","0","1010009","0","0","0","1","223","0","1","3"
"10","0","2.12948051948052","1010010","0","1","0","1","0","0","4","3"
"11","0","0","1010011","vo_10020900","0","vo_10020900_0003","1","0","0","2","0"
"12","0.545454545454545","0","1010012","0","0","0","1","343","223","1","3"
"13","0","1.04545454545455","1010013","0","1","0","1","0","0","4","3"
"14","1.71545454545455","0","1010014","0","0","0","1","700","343","1","3"
"15","0","2.71545454545455","1010015","0","1","0","1","0","0","4","3"
"16","0","0","1010016","vo_10020900","0","vo_10020900_0004","1","0","0","2","0"
"17","1.67857142857143","0","1010017","0","0","0","1","275","0","1","4"
"18","0","2.17857142857143","1010018","0","1","0","1","0","0","4","4"
"19","0","0","1010019","vo_10020900","0","vo_10020900_0005","1","0","0","2","0"
"20","1.28311688311688","0","1010020","0","0","0","1","465","275","1","4"
"21","0","1.98311688311688","1010021","0","1","0","1","0","0","4","4"
"22","1.2987012987013","0","1010022","0","0","0","1","715","465","1","4"
"23","0","1.9987012987013","1010023","0","1","0","1","0","0","4","4"
"24","2.07792207792208","0","1010024","0","0","0","1","400","0","1","5"
"25","0","3.07792207792208","1010025","0","1","0","1","0","0","4","5"
"26","0","0","1010026","vo_10020900","0","vo_10020900_0006","1","0","0","2","0"
"27","1.06363636363636","0","1010027","0","0","0","1","182","0","1","6"
"28","0","1.56363636363636","1010028","0","1","0","1","0","0","4","6"
"29","2.96","0","1010029","0","0","0","1","700","182","1","6"
"30","0","3.96","1010030","0","1","0","1","0","0","4","6"
"31","0","0","1010031","vo_10020900","0","vo_10020900_0007","1","0","0","2","0"
"32","0.386363636363636","0","1010032","0","0","0","1","85","0","1","7"
"33","0","0.886363636363636","1010033","0","1","0","1","0","0","4","7"
"34","3.54090909090909","0","1010034","0","0","0","1","750","85","1","7"
"35","0","4.54090909090909","1010035","0","1","0","1","0","0","4","7"
"36","0","0","1010036","vo_10020900","0","vo_10020900_0008","1","0","0","2","0"
"37","0.431818181818182","0","1010037","0","0","0","1","95","0","1","8"
"38","0","1.03181818181818","1010038","0","1","0","1","0","0","4","8"
"39","0","0","1010039","vo_10020900","0","vo_10020900_0009","1","0","0","2","0"
"40","0.709090909090909","0","1010040","0","0","0","1","235","95","1","8"
"41","0","1.30909090909091","1010041","0","1","0","1","0","0","4","8"
"42","0","0","1010042","vo_10020900","0","vo_10020900_0010","1","0","0","2","0"
"43","3.07662337662338","0","1010043","0","0","0","1","750","235","1","8"
"44","0","4.07662337662338","1010044","0","1","0","1","0","0","4","8"
"45","0","0","1010045","vo_10020900","0","vo_10020900_0011","1","0","0","2","0"
"46","1.43506493506493","0","1010046","0","0","0","1","170","0","1","9"
"47","0","2.43506493506493","1010047","0","1","0","1","0","0","4","9"
"48","0","0","1010048","vo_10020900","0","vo_10020900_0012","1","0","0","2","0"
"49","2.75","0","1010049","0","0","0","1","720","170","1","9"
"50","0","3.95","1010050","0","1","0","1","0","0","4","9"
"51","0","0","1010051","vo_10020900","0","vo_10020900_0013","1","0","0","2","0"
"52","1.67792207792208","0","1010052","0","0","0","1","585","170","1","10"
"53","0","2.27792207792208","1010053","0","1","0","1","0","0","4","10"
"54","0.9","0","1010054","0","0","0","1","750","585","1","10"
