3b612fad53f962bbb4e46dcb47b0b7f45454fc4207b01ac605484ab104c404bf,f2bc8ef4c55594b1027f9210d1daa5109d02483ccdcc21a3c65699123a18b16f,acced31af1d0dc96c1f7b7ed4e2f3743f646de7d036e399d9c9fe31b02a16858,9371f9b1e6a4252ab219fefe925bfcd84c337f601090ed494122c5c67c834023,dfc1f5d04c1ca29981b7b8ff48d4a82bf1e9a96f6b161f753e1dbe8393caad37,b14e5af477710095763c75147d5376deecc8ff259f2042f22fb4020b178f7736,76baa57d1af68be7ebc442663addb5c85532e579509435208d5e77c9e1ba56a0,75ef5633a7c94ad7b17f452688294994f21ee3da43db4f8691bd6f94ec79b2b3,9d887b7262d70128693c5d91b2f3fa0283a2bf154b4bd214c31c4bd82a381825,51e7a944e0d36fc875ff38c0d5bcf3ba42dabf1731bbc46270986ae52ea95600,0ce701d8e614d64d012edbf45f9bd97c32182252fd9726f70729dffa344da2b9,18fe93b0064e5d69668ebcbf69880478f7013f11700ca0d62840d5cc3ae6e36c,56bd5159b14a6ad3a1e00242eb82fab32aca0a419791512ea4c3972da822bebe,af2155d61a1fa52cca9d5d9438399e942c62054865cfac31914fa14498c795dd
"126401","1","2023/06/30 12:00:00","2023/09/22 14:59:59","1","2","1.47","0","いらっしゃいませっ♪\nキャラバンコインを使って\n買い物ができますよっ！","-470","クローチェ","1","10001","2002"
"126401","2","2023/06/30 12:00:00","2023/09/22 14:59:59","1","1","2.15","0","素敵な品が揃ってるので\nたーっくさん買っていって\nくださいねっ♪","-470","クローチェ","2","10002","2002"
"126501","1","2023/06/30 12:00:00","2023/09/22 14:59:59","1","2","0","0","ショップへようこそ\nキャラバンコインはこちら\nで買い物に使えますよ","-470","ライラエル","2","10003","2002"
"126501","2","2023/06/30 12:00:00","2023/09/22 14:59:59","1","1","0","0","こちらのショップで\n買い物をして、素敵な\n旅を楽しんでくださいね","-470","ライラエル","1","10004","2002"
"127702","1","2023/09/15 15:00:00","2023/12/22 14:59:59","2","2","0","0","いらっしゃいませ\nキャラバンコインを使って\nお買い物ができますよ","-470","リンド","2","10005","2002"
"127702","2","2023/09/15 15:00:00","2023/12/22 14:59:59","2","2","0","0","ショップの掃除は完璧です\n姫さま直営のお店として\n当然のことですから","-470","リンド","2","10006","2002"
"127802","1","2023/09/15 15:00:00","2023/12/22 14:59:59","2","1","0","0","ショップへようこそ\nキャラバンコインと品物を\n交換できるんで、よければ","-470","ヴルム","1","10007","2002"
"127802","2","2023/09/15 15:00:00","2023/12/22 14:59:59","2","1","6.5","0","なんで店番なんか…\nま、やりますけど\n好きな品物をどうぞ","-470","ヴルム","2","10008","2002"
"129602","1","2023/12/15 15:00:00","2024/03/22 14:59:59","3","1","0","0","──いらっしゃいませ\n買い物しても、いいですよ\nキャラバンコインがあれば","-470","アネモネ","2","10009","2002"
"129602","2","2023/12/15 15:00:00","2024/03/22 14:59:59","3","1","0","0","──もっと笑顔がほしい？\nいくらコインを積まれても\n売れない物はありますから","-470","アネモネ","2","10010","2002"
"129701","1","2023/12/15 15:00:00","2024/03/22 14:59:59","3","1","0","0","ようこそおいでなんし\nキャラバンコインをこちら\nで交換して進ぜんしょう","-470","ネフィ=ネラ","1","10011","2002"
"129701","2","2023/12/15 15:00:00","2024/03/22 14:59:59","3","1","6.2","0","ところで、お前さまは\nいくらで贖えるのか喃？\n──フフ、冗談でありんす","-470","ネフィ=ネラ","2","10012","2002"
"130301","1","2024/03/15 15:00:00","2024/06/22 14:59:59","4","5","3.1","0","い、いらっしゃいませっ！\n…くっ…このあたくし様が\n店番なんて…屈辱ですわっ","-470","カノン","3","10013","2002"
"130301","2","2024/03/15 15:00:00","2024/06/22 14:59:59","4","2","6.15","0","あら、あたくしをご所望？\nお生憎様、そんな小銭では\n…買えちゃうんですの！？","-470","カノン","3","10014","2002"
"130401","1","2024/03/15 15:00:00","2024/06/22 14:59:59","4","2","0","0","いらっしゃいませ～♪\nきゃらばんこいん？を\n交換できるんだってー","-470","ナーナ","2","10015","2002"
"130401","2","2024/03/15 15:00:00","2024/06/22 14:59:59","4","1","3.35","0","甘いのくれたら、\nお礼にナーナの拾った\n松ぼっくりあげちゃうよ！","-470","ナーナ","2","10016","2002"
"130502","1","2024/06/15 15:00:00","2024/09/22 14:59:59","5","1","0","0","ショップへようこそ\nこの鳳凰が、皆さんに\n祝福を差し上げましょう","-470","ホウオウ","1","10017","2002"
"130502","2","2024/06/15 15:00:00","2024/09/22 14:59:59","5","1","3.18","0","ほーちゃんと呼ぶ権利は\n売っていませんよ？\n騎士さんへの、特別です！","-470","ホウオウ","2","10018","2002"
"130503","3","2024/06/15 15:00:00","2024/09/22 14:59:59","5","4","0","0","うﾞぇぇえんっ！まﾞだごの\n格好になっぢゃいまじだ！\n寄付をお願いじまず～っ！","-470","ホウオウ","4","10019","2002"
"123301","1","2024/06/15 15:00:00","2024/09/22 14:59:59","5","2","4.9","0","おっすー♪\nなんでも交換してけー\nカリザきゅん以外で","-470","ネア","1","10020","2002"
"123301","2","2024/06/15 15:00:00","2024/09/22 14:59:59","5","2","4.8","0","ところで、騎士きゅんは\nおいくら万ルピ？\nジョーダンぬ・き・で♡","-470","ネア","1","10021","2002"
"133301","1","2024/09/15 15:00:00","2024/12/22 14:59:59","6","1","4.922","0","ケッ、なんでオレ様が店番\nなんざ…って来んなキイロ\nオレは売りモンじゃねー！","-470","カリザ","3","10022","2002"
"133301","2","2024/09/15 15:00:00","2024/12/22 14:59:59","6","5","9.638","0","い、言わなきゃダメか？\n「…いらっしゃいませ…」\nクソッ、笑うんじゃねー！","-470","カリザ","3","10023","2002"
"133401","1","2024/09/15 15:00:00","2024/12/22 14:59:59","6","2","2.88","0","ショップへようこそ～\nネラさまの腹心…的な私が\n店番させていただきま～す","-470","ミーア","1","10024","2002"
"133401","2","2024/09/15 15:00:00","2024/12/22 14:59:59","6","1","4.818","0","私の抜け殻とか、\n需要ありますかね～…\nって冗談ですよ、冗談！","-470","ミーア","5","10025","2002"
"133002","1","2024/12/15 15:00:00","2025/03/22 14:59:59","7","1","1.78","0","へい、らっしゃい\nさ、騎士氏。冥土の土産は\nなにがいいですか？","-470","グレイス","2","10026","2002"
"133002","2","2024/12/15 15:00:00","2025/03/22 14:59:59","7","7","6.15","0","商品をお買い上げ毎に\nグレイスちゃんポイントを\n差し上げます。嘘ですが","-470","グレイス","1","10027","2002"
"133102","1","2024/12/15 15:00:00","2025/03/22 14:59:59","7","2","4.28","0","ようこそいらっしゃいませ\n…接客とは、このような\n振舞で宜しいでしょうか？","-470","ヴァイオレット","6","10028","2002"
