9d6640351a3b4f94ec6614d894236d9045c9f0cad45f61195fe49ef328852d63,427c944c9128ff3a01d2cd08b6608e68357915abe133e1e4fcfe4bb0d726fbf2,e18cd484e280a6f99ae448214c94bc1c83cb9f5e659b62e2e4d4eca3cd9b932b,68e972af9d8983cda51eb2f402791f496bc13c981a8a8ba7ab2cbe90cfdcb6ea,352b0400d264295ea2fc5218f4ac859b53a282ed1fb695a16ee04cf96fd83ab6
"200","1","30","8500","1"
"5","2","30","1500","1"
"220","3","60","8500","2"
"5","4","60","1500","2"
"200","5","60","8500","3"
"200","6","15","1500","3"
"200","7","60","8500","4"
"200","8","10","1500","4"
"150","9","40","8500","5"
"5","10","40","1500","5"
"150","11","60","8500","6"
"200","12","10","1500","6"
"150","13","40","8500","7"
"5","14","40","1500","7"
"150","15","50","8500","8"
"200","16","15","1500","8"
"150","17","45","8500","9"
"200","18","10","1500","9"
"145","19","40","8500","10"
"5","20","10","1500","10"
"300","21","40","8500","11"
"5","22","10","1500","11"
"200","23","65","8500","12"
"200","24","10","1500","12"
"150","25","40","8500","13"
"5","26","10","1500","13"
"100","27","40","8500","14"
"5","28","10","1500","14"
"200","29","50","8500","15"
"5","30","10","1500","15"
"250","31","60","8500","16"
"200","32","30","1500","16"
"120","33","45","8500","17"
"300","34","90","1500","17"
"120","35","90","8500","18"
"200","36","30","1500","18"
"190","37","50","8500","19"
"350","38","60","1500","19"
"95","39","90","8500","20"
"95","40","90","1500","20"
"200","41","20","8500","21"
"5","42","5","1500","21"
"450","43","30","8500","22"
"5","44","5","1500","22"
"200","45","20","8500","23"
"5","46","5","1500","23"
"130","47","30","8500","1001"
"5","48","5","1500","1001"
"140","49","30","8500","1002"
"5","50","5","1500","1002"
"150","51","40","8500","1003"
"5","52","5","1500","1003"
"155","53","45","8500","1004"
"200","54","5","1500","1004"
"155","55","60","8500","1005"
"200","56","10","1500","1005"
"150","57","60","8500","1006"
"200","58","15","1500","1006"
"150","59","60","8500","1007"
"200","60","15","1500","1007"
"160","61","50","8500","1008"
"200","62","15","1500","1008"
"140","63","70","8500","1009"
"200","64","30","1500","1009"
"180","65","35","8500","1010"
"200","66","120","1500","1010"
"140","67","65","8500","1011"
"200","68","30","1500","1011"
"200","69","35","8500","1012"
"5","70","5","1500","1012"
"150","71","70","8500","1013"
"200","72","15","1500","1013"
"150","73","60","8500","1014"
"200","74","15","1500","1014"
"150","75","60","8500","1015"
"200","76","15","1500","1015"
"150","77","60","8500","1016"
"200","78","15","1500","1016"
"150","79","60","8500","1017"
"200","80","15","1500","1017"
"120","81","50","8500","1018"
"200","82","60","1500","1018"
"102","83","67","8500","1019"
"200","84","60","1500","1019"
"120","85","35","8500","1020"
"250","86","60","1500","1020"
"200","87","30","7000","10001"
"5","88","30","3000","10001"
"220","89","60","7000","10002"
"5","90","60","3000","10002"
"200","91","60","7000","10003"
"200","92","15","3000","10003"
"200","93","60","7000","10004"
"200","94","10","3000","10004"
"150","95","40","7000","10005"
"5","96","40","3000","10005"
"150","97","60","7000","10006"
"200","98","10","3000","10006"
"150","99","40","7000","10007"
"5","100","40","3000","10007"
"150","101","50","7000","10008"
"200","102","15","3000","10008"
"150","103","45","7000","10009"
"200","104","10","3000","10009"
"145","105","40","7000","10010"
"5","106","10","3000","10010"
"300","107","40","7000","10011"
"5","108","10","3000","10011"
"200","109","65","7000","10012"
"200","110","10","3000","10012"
"150","111","40","7000","10013"
"5","112","10","3000","10013"
"100","113","40","7000","10014"
"5","114","10","3000","10014"
"200","115","50","7000","10015"
"5","116","10","3000","10015"
"250","117","60","7000","10016"
"200","118","30","3000","10016"
"120","119","45","7000","10017"
"300","120","90","3000","10017"
"120","121","90","7000","10018"
"200","122","30","3000","10018"
"190","123","50","7000","10019"
"350","124","60","3000","10019"
"95","125","90","7000","10020"
"95","126","90","3000","10020"
"200","127","60","7000","10021"
"200","128","60","3000","10021"
"200","129","60","7000","10022"
"200","130","60","3000","10022"
"200","131","60","7000","10023"
"200","132","60","3000","10023"
"130","133","30","7000","11001"
"5","134","5","3000","11001"
"140","135","30","7000","11002"
"5","136","5","3000","11002"
"150","137","40","7000","11003"
"5","138","5","3000","11003"
"155","139","45","7000","11004"
"200","140","5","3000","11004"
"155","141","60","7000","11005"
"200","142","10","3000","11005"
"150","143","60","7000","11006"
"200","144","15","3000","11006"
"150","145","60","7000","11007"
"200","146","15","3000","11007"
"160","147","50","7000","11008"
"200","148","15","3000","11008"
"140","149","70","7000","11009"
"200","150","30","3000","11009"
"180","151","35","7000","11010"
"200","152","120","3000","11010"
"140","153","65","7000","11011"
"200","154","30","3000","11011"
"200","155","35","7000","11012"
"5","156","5","3000","11012"
"150","157","70","7000","11013"
"200","158","15","3000","11013"
"150","159","60","7000","11014"
"200","160","15","3000","11014"
"150","161","60","7000","11015"
"200","162","15","3000","11015"
"150","163","60","7000","11016"
"200","164","15","3000","11016"
"150","165","60","7000","11017"
"200","166","15","3000","11017"
"120","167","50","7000","11018"
"200","168","60","3000","11018"
"102","169","67","7000","11019"
"200","170","60","3000","11019"
"120","171","35","7000","11020"
"250","172","60","3000","11020"
"200","173","30","5000","20001"
"5","174","30","5000","20001"
"220","175","60","5000","20002"
"5","176","60","5000","20002"
"200","177","60","5000","20003"
"200","178","15","5000","20003"
"200","179","60","5000","20004"
"200","180","10","5000","20004"
"150","181","40","5000","20005"
"5","182","40","5000","20005"
"150","183","60","5000","20006"
"200","184","10","5000","20006"
"150","185","40","5000","20007"
"5","186","40","5000","20007"
"150","187","50","5000","20008"
"200","188","15","5000","20008"
"150","189","45","5000","20009"
"200","190","10","5000","20009"
"145","191","40","5000","20010"
"5","192","10","5000","20010"
"300","193","40","5000","20011"
"5","194","10","5000","20011"
"200","195","65","5000","20012"
"200","196","10","5000","20012"
"150","197","40","5000","20013"
"5","198","10","5000","20013"
"100","199","40","5000","20014"
"5","200","10","5000","20014"
"200","201","50","5000","20015"
"5","202","10","5000","20015"
"250","203","60","5000","20016"
"200","204","30","5000","20016"
"120","205","45","5000","20017"
"300","206","90","5000","20017"
"120","207","90","5000","20018"
"200","208","30","5000","20018"
"190","209","50","5000","20019"
"350","210","60","5000","20019"
"95","211","90","5000","20020"
"95","212","90","5000","20020"
"200","213","60","5000","20021"
"200","214","60","5000","20021"
"200","215","60","5000","20022"
"200","216","60","5000","20022"
"200","217","60","5000","20023"
"200","218","60","5000","20023"
"130","219","30","5000","21001"
"5","220","5","5000","21001"
"140","221","30","5000","21002"
"5","222","5","5000","21002"
"150","223","40","5000","21003"
"5","224","5","5000","21003"
"155","225","45","5000","21004"
"200","226","5","5000","21004"
"155","227","60","5000","21005"
"200","228","10","5000","21005"
"150","229","60","5000","21006"
"200","230","15","5000","21006"
"150","231","60","5000","21007"
"200","232","15","5000","21007"
"160","233","50","5000","21008"
"200","234","15","5000","21008"
"140","235","70","5000","21009"
"200","236","30","5000","21009"
"180","237","35","5000","21010"
"200","238","120","5000","21010"
"140","239","65","5000","21011"
"200","240","30","5000","21011"
"200","241","35","5000","21012"
"5","242","5","5000","21012"
"150","243","70","5000","21013"
"200","244","15","5000","21013"
"150","245","60","5000","21014"
"200","246","15","5000","21014"
"150","247","60","5000","21015"
"200","248","15","5000","21015"
"150","249","60","5000","21016"
"200","250","15","5000","21016"
"150","251","60","5000","21017"
"200","252","15","5000","21017"
"120","253","50","5000","21018"
"200","254","60","5000","21018"
"102","255","67","5000","21019"
"200","256","60","5000","21019"
"120","257","35","5000","21020"
"250","258","60","5000","21020"
