26be6a2d97259e74b535b40368fdb37457cc50fbd21a4e57d4f2eb97021de926,f3dc3fa2081257a04a40eddbfe673d21d38b6a9b1b9aa8c1c789f2deef9a91ee,e6b6bfdf541269dea1dbd81a1990df67d610b880644e47c6c6ecd4a820667777,f0d746c1b3da141499cf04d56886690965f1f87e322776aab78860a2c8364644,4a77801fcca0c7969016a9bf7be2c715228faa933d54918ec697f89011f6ff08,b7823ea17424f54129bb514e3d10ca0824d0b8e44823a8767bdfe2bad1971045
"0","10201","2","102010201","2","5201009"
"0","10201","3","102010202","2","5201010"
"0","10201","502510","102010301","3","0"
"0","10202","501220","102020201","2","0"
"0","10202","501201","102020301","3","0"
"0","10203","500801","102030201","2","0"
"0","10203","500031","102030301","3","0"
"0","10204","502360","102040201","2","0"
"0","10204","500030","102040301","3","0"
"0","10205","502170","102050201","2","0"
"0","10205","502080","102050301","3","0"
