71814c1d47102b018e5ce3c7b8de7004a602acce6187f85227aa4d9a7caf2991,93e5f584065e883fca295244d7bfb8d4b672df4b89e2bc388f5673cb568221bb,29c181ba3d2ba13f44dd3a11df6f4899546d4a8a3790558b2ddbc0ed714e6396,90a1ae6bd99d68a6e66379d288ccbbd73947f4a824c480103b5061a06f05fd64
"0","戦闘不能になったキャラが0人以下で勝利","1001","100101"
"1","戦闘不能になったキャラが1人以下で勝利","1001","100102"
"2","戦闘不能になったキャラが2人以下で勝利","1001","100103"
"74001","バトルの残り時間が1:15以上で勝利","1002","100201"
"69001","バトルの残り時間が1:10以上で勝利","1002","100202"
"59001","バトルの残り時間が1:00以上で勝利","1002","100203"
"49001","バトルの残り時間が0:50以上で勝利","1002","100204"
"44001","バトルの残り時間が0:45以上で勝利","1002","100205"
"39001","バトルの残り時間が0:40以上で勝利","1002","100206"
"29001","バトルの残り時間が0:30以上で勝利","1002","100207"
"1000","味方のTotal HPが100%以上で勝利","1003","100301"
"900","味方のTotal HPが90%以上で勝利","1003","100302"
"800","味方のTotal HPが80%以上で勝利","1003","100303"
"700","味方のTotal HPが70%以上で勝利","1003","100304"
"600","味方のTotal HPが60%以上で勝利","1003","100305"
"500","味方のTotal HPが50%以上で勝利","1003","100306"
"990","味方のTotal HPが99%以上で勝利","1003","100307"
