b1b83fb870a991cdecde4e498c97e1d05ec10e68aa30f40842bdbcafd44b50e6,695aef4d9fb8a9a0ad33027bc726af38e5ffa5a43bab9d150d462f56f4a986a4,4f459f7609c8330c8cdc8ee515f0ff4c4eaa0930d90d7ca4fc57b63861d075f0,c87250c91c06d65f0c0b572297b666f621010cb55753b670542415dd1e0a11d8,fc14ef8f5aad193f0045d7e524d8998754629fc6aed653cb3dad8143755f8f1e,6ab8136f61751b639582bed97d23e3a9c6128653774e75cf6ba6244a5e420eed,1bb6a71e9532e170dd7f532e468abf75fe830f21c1a49975a3851f8bb1cda14b,dd078a5aae367ee18a44abd273201e0e3ada509a5daa356cbdcf7e5829758d32,212131e0887c24770f1824e87a3c58827b760a4682a869087d57945debdb153b
"7008","500000","1010","1","1002","全プレイヤーでバンディ・シスターズを合計500,000回倒そう","32000101","32000101","1"
"7008","750000","1010","1","1002","全プレイヤーでバンディ・シスターズを合計750,000回倒そう","32000102","32000102","2"
"7008","1000000","1010","1","1002","全プレイヤーでバンディ・シスターズを合計1,000,000回倒そう","32000103","32000103","3"
"7008","500000","1010","1","1003","全プレイヤーでフレイヤを合計500,000回倒そう","32000104","32000104","4"
"7008","750000","1010","1","1003","全プレイヤーでフレイヤを合計750,000回倒そう","32000105","32000105","5"
"7008","1000000","1010","1","1003","全プレイヤーでフレイヤを合計1,000,000回倒そう","32000106","32000106","6"
"7008","1000000","1010","0","1004","全プレイヤーでアラクネを合計1,000,000回倒そう","32000107","32000107","7"
"7008","1500000","1010","0","1004","全プレイヤーでアラクネを合計1,500,000回倒そう","32000108","32000108","8"
"7008","2000000","1010","0","1004","全プレイヤーでアラクネを合計2,000,000回倒そう","32000109","32000109","9"
"7007","1","1009","1","1001","宝石蜘蛛の群れに1回挑戦しよう","32000110","32000110","10"
"7007","1","1009","1","1002","バンディ・シスターズを1回倒そう","32000111","32000111","11"
"7007","1","1009","1","1003","フレイヤを1回倒そう","32000112","32000112","12"
"7007","1","1009","0","1004","アラクネを1回倒そう","32000113","32000113","13"
