c058b76d91b64f4f99616145f00e7ceb4b3824c90cc3f6ceb4126310f7c1699c,5ca8636976813bc0484c9fbaa408675635137c0dc8f68b2ebdf4f9bd87efb9db,3c5183b49534f2fdec81830724dde74e3416962eba930713d1b2d5e6dab672b9,a0455e7aad51bcd538948b1c825ec57e87e5d157a8eda862302b68e5a7628a9a,fb55f0cdcb14d259d35a843cd922059e615366ec01aa12d7a57f96363477dca3,a9e18684761803e719db10afa40d6e52b336cd8d55213b69e98b74d836fc0736,110342d3532b57b2273a07450dc0b00349f4b17f7b1ed11fc6516b410baa43f0,cfca4f1b03bb9821e7bf11d8e747b15990efce0339c652661847d5dbe09336b0,823d1dd39cfe415d6ef01c365ef791de85bae2812b605502c75b58d95e227c8a,127a2ac66424baa2b8e12ea2d444527174123b9e922ba137b31c43220c3b2b6a,f64b8d18c03cda5b71e43a4ba640b08a6f26b13d8677260e85669fad28d5e9af,dd33ce0ed4481a0bf9e18e14723a19196c828ef0efb4c1c58a93589183ce6ed3,8f301805f3a21cc68490d4c3b0b6da250fbce8686ca4f1099493ce280529c2d5,2de7b8d44ae4b63e32ee7e70daa1bde9a35b7333903be7f47e1b92c9c30ea616,4438f89cb9ed8f09e0ca7dc0a73e99679ccbc38757148be3967c6279446e50de,0cb1ecdcabab049b75d410d68ee0be8a3f5dea57608ac3fc16b2af380d61cb4b
"40","0","8","22002","0","0","90006","1","0","91002","0","2","40","0","2","1001101"
"60","0","8","22002","0","0","90006","2","0","91002","0","2","50","0","2","1001102"
"80","0","8","22002","0","0","90006","3","0","91002","0","2","60","0","2","1001103"
"100","0","8","22002","0","0","90006","4","0","91002","0","2","80","0","2","1001104"
"200","0","8","22003","0","0","90006","2","0","91002","0","2","150","0","2","1001105"
"20","0","2","0","0","0","22002","0","0","90006","0","2","1","0","0","1001106"
"20","0","2","0","0","0","22002","0","0","90006","0","2","1","0","0","1001107"
"20","0","2","0","0","0","22002","0","0","90006","0","2","1","0","0","1001108"
"20","0","2","0","0","0","22002","0","0","90006","0","2","1","0","0","1001109"
"20","0","2","0","0","0","22003","0","0","90006","0","2","1","0","0","1001110"
"40","0","8","22002","0","0","90006","1","0","91002","0","2","40","0","2","1002101"
"60","0","8","22002","0","0","90006","2","0","91002","0","2","50","0","2","1002102"
"80","0","8","22002","0","0","90006","3","0","91002","0","2","60","0","2","1002103"
"100","0","8","22002","0","0","90006","4","0","91002","0","2","80","0","2","1002104"
"200","0","8","22003","0","0","90006","2","0","91002","0","2","150","0","2","1002105"
"40","0","2","0","0","0","22002","0","0","90006","0","2","1","0","0","1002106"
"40","0","2","0","0","0","22002","0","0","90006","0","2","1","0","0","1002107"
"40","0","2","0","0","0","22002","0","0","90006","0","2","1","0","0","1002108"
"40","0","2","0","0","0","22002","0","0","90006","0","2","1","0","0","1002109"
"40","0","2","0","0","0","22003","0","0","90006","0","2","1","0","0","1002110"
"40","0","8","22002","0","0","90006","1","0","91002","0","2","40","0","2","1003101"
"60","0","8","22002","0","0","90006","2","0","91002","0","2","50","0","2","1003102"
"80","0","8","22002","0","0","90006","3","0","91002","0","2","60","0","2","1003103"
"100","0","8","22002","0","0","90006","4","0","91002","0","2","80","0","2","1003104"
"200","0","8","22003","0","0","90006","2","0","91002","0","2","150","0","2","1003105"
"40","0","2","0","0","0","22002","0","0","90006","0","2","1","0","0","1003106"
"40","0","2","0","0","0","22002","0","0","90006","0","2","1","0","0","1003107"
"40","0","2","0","0","0","22002","0","0","90006","0","2","1","0","0","1003108"
"40","0","2","0","0","0","22002","0","0","90006","0","2","1","0","0","1003109"
"40","0","2","0","0","0","22003","0","0","90006","0","2","1","0","0","1003110"
"40","0","8","22002","0","0","90006","1","0","91002","0","2","40","0","2","1004101"
"60","0","8","22002","0","0","90006","2","0","91002","0","2","50","0","2","1004102"
"80","0","8","22002","0","0","90006","3","0","91002","0","2","60","0","2","1004103"
"100","0","8","22002","0","0","90006","4","0","91002","0","2","80","0","2","1004104"
"200","0","8","22003","0","0","90006","2","0","91002","0","2","150","0","2","1004105"
"40","0","2","0","0","0","22002","0","0","90006","0","2","1","0","0","1004106"
"40","0","2","0","0","0","22002","0","0","90006","0","2","1","0","0","1004107"
"40","0","2","0","0","0","22002","0","0","90006","0","2","1","0","0","1004108"
"40","0","2","0","0","0","22002","0","0","90006","0","2","1","0","0","1004109"
"40","0","2","0","0","0","22003","0","0","90006","0","2","1","0","0","1004110"
