a4078d84f51427115ff6971223e46319d47a908186914bf1ac61ab50ad8f313a,6f6a17719bd56364eb23d62ff14d028fef3d3a96cbf5d1eff3e38f9f309f4f61,e64bd67cb5520d2432b534b4152a0a5c1464502ef16b71ee920466c6a5dde464,4ec7875da480ef4279e204edda395a83df291cf2bfc6e13e8d43c289119c9fde,acebda0865734696164b8f574fde9482b5460aabf9a7d3da642ae4731ae586b9
"add_shadow","ジータのシャドウが追加される。","74001102","シャドウ1体追加","1"
"add_shadow","ジータ、サレン（サマー）、アメスのシャドウが追加される。","74001103","シャドウ3体追加","2"
"star6_shadow","ノゾミのシャドウが★6になる。","74001104","シャドウ★6化","3"
"add_shadow","ジータ、サレン（サマー）、アメスのシャドウが追加される。","74001104","シャドウ3体追加","4"
"star6_shadow","ノゾミ、ジータ、キョウカのシャドウが★6にな\nる。","74001105","シャドウ★6化","5"
"add_shadow","ジータ、サレン（サマー）、アメスのシャドウが追加される。","74001105","シャドウ3体追加","6"
"add_shadow","ユカリのシャドウが追加される。","74001202","シャドウ1体追加","7"
"add_shadow","ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。","74001203","シャドウ3体追加","8"
"star6_shadow","ユカリとユイのシャドウが★6になる。","74001204","シャドウ★6化","9"
"add_shadow","ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。","74001204","シャドウ3体追加","10"
"star6_shadow","ミヤコ、ユカリ、マホ、ユイのシャドウが★6になる。","74001205","シャドウ★6化","11"
"add_shadow","ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。","74001205","シャドウ3体追加","12"
"boss_magic_cut","バトル開始時、ボスモンスターが魔法ダメージ20％カット状態になる。","74001301","ボス魔法ダメージカット","13"
"boss_magic_cut","バトル開始時、ボスモンスターが魔法ダメージ50％カット状態になる。","74001302","ボス魔法ダメージカット","14"
"add_shadow","シズル（サマー）のシャドウが追加される。","74001302","シャドウ1体追加","15"
"energy_recover","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","74001303","開始時TP回復","16"
