412527c436e8a924e3d2cdd721eafdfd5cfc4341994a2a9897a16bf929f9cc1b,5fc040bdca0c7b4360f1744c5c0a68b775ccf684ec530321545492e1e298b27e,fec514204321fcf6a0bd0aac79a6a06208fe967618d1763646632ffb9f25c4d7,4b6025a1871bea94168795a1b8511c8153e3f81ba4d81611adf06dd0cc8d7df9,a436c8342055006caf2009fe281ce015b5a173c5df459f19e9b4d8cf93f39599,29bd7b25f5251477b2f4edea9d1597ec42c893a031ba71b38bc054a26beead72,f7ff8d72061406bc45525d47ed5e7b1d526ce3727a51866ce906a7a6e3d3ea67,266995a8302530fd7f3eb2f4602c50724f01add7ab9eb9d4b0ca82501cf7c74c,b705c761bd2680df85a08f4844c9be42774297ee1d9225b0a4280babe12435bf,9d84000a52a799d75a9bc0c7846154733b35144c01c67aa5c46bf9e140e5479e,963bfe322ef3b8d5e17aa400039440ad5244dd7ee018358361fdf463234fa328,2b226c30127d56c0f6b09209a3f52b3975205d9aa294fefc720624bfeec56726
"3","0","1000","31000101","31000101","2022/12/16 12:00:00","10","7003","1","1回バトルしよう","0","2022/12/23 11:59:59"
"3","0","1000","31000102","31000102","2022/12/16 12:00:00","10","7003","5","5回バトルしよう","0","2022/12/23 11:59:59"
"3","0","1000","31000103","31000103","2022/12/16 12:00:00","10","7003","10","10回バトルしよう","0","2022/12/23 11:59:59"
"3","0","1000","31000104","31000104","2022/12/16 12:00:00","10","7003","15","15回バトルしよう","0","2022/12/23 11:59:59"
"3","0","1000","31000105","31000105","2022/12/16 12:00:00","10","7003","20","20回バトルしよう","0","2022/12/23 11:59:59"
"3","0","1000","31000106","31000106","2022/12/16 12:00:00","10","7003","25","25回バトルしよう","0","2022/12/23 11:59:59"
"3","0","1000","31000107","31000107","2022/12/16 12:00:00","10","7003","30","30回バトルしよう","0","2022/12/23 11:59:59"
"3","0","1000","31000108","31000108","2022/12/16 12:00:00","10","7003","35","35回バトルしよう","0","2022/12/23 11:59:59"
"3","0","1000","31000109","31000109","2022/12/16 12:00:00","10","7003","40","40回バトルしよう","0","2022/12/23 11:59:59"
"3","3001","1001","31001101","31001101","2022/12/16 12:00:00","10","7004","5000000","黒の王ジャバウォックに累積500万ダメージ与えよう","0","2022/12/23 11:59:59"
"3","3001","1001","31001102","31001102","2022/12/16 12:00:00","10","7004","7500000","黒の王ジャバウォックに累積750万ダメージ与えよう","0","2022/12/23 11:59:59"
"3","3001","1001","31001103","31001103","2022/12/16 12:00:00","10","7004","10000000","黒の王ジャバウォックに累積1000万ダメージ与えよう","0","2022/12/23 11:59:59"
"3","3001","1001","31001111","31001111","2022/12/16 12:00:00","11","7005","1","黒の王ジャバウォックに1度のバトルで250万ダメージ与えよう","2500000","2022/12/23 11:59:59"
"3","3001","1001","31001112","31001112","2022/12/16 12:00:00","11","7005","1","黒の王ジャバウォックに1度のバトルで500万ダメージ与えよう","5000000","2022/12/23 11:59:59"
"3","3002","1001","31001201","31001201","2022/12/16 12:00:00","20","7004","5000000","暴走のイノセントボウに累積500万ダメージ与えよう","0","2022/12/23 11:59:59"
"3","3002","1001","31001202","31001202","2022/12/16 12:00:00","20","7004","7500000","暴走のイノセントボウに累積750万ダメージ与えよう","0","2022/12/23 11:59:59"
"3","3002","1001","31001203","31001203","2022/12/16 12:00:00","20","7004","10000000","暴走のイノセントボウに累積1000万ダメージ与えよう","0","2022/12/23 11:59:59"
"3","3002","1001","31001211","31001211","2022/12/16 12:00:00","21","7005","1","暴走のイノセントボウに1度のバトルで250万ダメージ与えよう","2500000","2022/12/23 11:59:59"
"3","3002","1001","31001212","31001212","2022/12/16 12:00:00","21","7005","1","暴走のイノセントボウに1度のバトルで500万ダメージ与えよう","5000000","2022/12/23 11:59:59"
"3","3003","1001","31001301","31001301","2022/12/16 12:00:00","30","7004","5000000","ファントムバロンに累積500万ダメージ与えよう","0","2022/12/23 11:59:59"
"3","3003","1001","31001302","31001302","2022/12/16 12:00:00","30","7004","7500000","ファントムバロンに累積750万ダメージ与えよう","0","2022/12/23 11:59:59"
"3","3003","1001","31001303","31001303","2022/12/16 12:00:00","30","7004","10000000","ファントムバロンに累積1000万ダメージ与えよう","0","2022/12/23 11:59:59"
"3","3003","1001","31001311","31001311","2022/12/16 12:00:00","31","7005","1","ファントムバロンに1度のバトルで250万ダメージ与えよう","2500000","2022/12/23 11:59:59"
"3","3003","1001","31001312","31001312","2022/12/16 12:00:00","31","7005","1","ファントムバロンに1度のバトルで500万ダメージ与えよう","5000000","2022/12/23 11:59:59"
"3","3004","1001","31001401","31001401","2022/12/16 12:00:00","40","7004","5000000","テンタパスに累積500万ダメージ与えよう","0","2022/12/23 11:59:59"
"3","3004","1001","31001402","31001402","2022/12/16 12:00:00","40","7004","7500000","テンタパスに累積750万ダメージ与えよう","0","2022/12/23 11:59:59"
"3","3004","1001","31001403","31001403","2022/12/16 12:00:00","40","7004","10000000","テンタパスに累積1000万ダメージ与えよう","0","2022/12/23 11:59:59"
"3","3004","1001","31001411","31001411","2022/12/16 12:00:00","41","7005","1","テンタパスに1度のバトルで250万ダメージ与えよう","2500000","2022/12/23 11:59:59"
"3","3004","1001","31001412","31001412","2022/12/16 12:00:00","41","7005","1","テンタパスに1度のバトルで500万ダメージ与えよう","5000000","2022/12/23 11:59:59"
"3","3005","1002","31002101","31002101","2022/12/16 12:00:00","10","7004","5000000","ゴウシンに累積500万ダメージ与えよう","0","2022/12/23 11:59:59"
"3","3005","1002","31002102","31002102","2022/12/16 12:00:00","10","7004","7500000","ゴウシンに累積750万ダメージ与えよう","0","2022/12/23 11:59:59"
"3","3005","1002","31002103","31002103","2022/12/16 12:00:00","10","7004","10000000","ゴウシンに累積1000万ダメージ与えよう","0","2022/12/23 11:59:59"
"3","3005","1002","31002104","31002104","2022/12/16 12:00:00","10","7004","110000000","ゴウシンに累積1億1000万ダメージ与えよう","0","2022/12/23 11:59:59"
"3","3005","1002","31002111","31002111","2022/12/16 12:00:00","11","7005","1","ゴウシンに1度のバトルで250万ダメージ与えよう","2500000","2022/12/23 11:59:59"
"3","3005","1002","31002112","31002112","2022/12/16 12:00:00","11","7005","1","ゴウシンに1度のバトルで500万ダメージ与えよう","5000000","2022/12/23 11:59:59"
