dc27516c70b11a2898885a81a499883c64f8810f094a103a3627f17b23988ee8,62b0ffc3a9e8fb65824d511af37ca405985d91358ca2309df7d22030010ea0a8,78eb297eac90ce55195c2eb62394ba1587d221197f1b7f6fbdc708d6bfa76ec1,d15c78465dd706c3972d1da73a5ea643a1b5944c7fbe8b04a8105d84fa627b06,3a9a4e90b6488a7efe4d351a9f05bdbb95096eb7aa026ccc23396983bd67bfc8,a038a723e94761723d69c9f71d426eb3556a0c5954ab82b722f2e74a773caffa,be56023e5dc0e2889db8a1ecdacf14d7f1a9def78c70e7aa6dcd508794fc4416,b077564b7e4e7d16f126e07a4b7943165f324447596962ae5d76223a33010eb1,89b52ecb616b884f86e58c1b8c1ed1b297d870cac42003095bb499648f674151,7529aff4392bb51ebab0418c50a0c99f723a0fda0a8ef4305a63b11e48dd642c,4fabc165d34bac50fdd7d525d473bfa979fb5d57de597df1f48ef4600c47fbc1
"0","1","-421","nyx_idle_normal","110931","110","1","11010001","1.35","-209.3","101"
"0","1","121.8","nyx_idle_normal","104831","110","1","11010002","1.35","-182.5","101"
"0","1","227.7","nyx_idle_normal","104631","110","1","11010003","1.35","-182.5","101"
"1","1","340.3","nyx_talk_normal","103231","110","1","11010004","1.35","-182.5","101"
"1","1","449.6","nyx_idle_normal","103431","110","1","11010005","1.35","-182.5","101"
"0","2","-421","NoItem","2","120","5","11010006","1.35","-209.3","101"
"","1","0","","1","0","31","11010007","1","1","101"
"","15","0","","3","-300","31","11010008","0","1","101"
"","15","0","","4","-300","31","11010009","0","1.5","101"
"","bgm_M347","","","bgm_M347","","25","11010010","","","101"
"","2","","","","","93","11010011","","","101"
"","2","nyx_101_chieru_loop","","nyx_101_chieru_01","0","3","11010012","0.2","1","101"
"","110931","nyx_101_chieru_loop","","nyx_101_chieru_01","0","3","11010013","0.2","1","101"
"","110931","","","ちぇる～ん♪\n最初はとにかく\nインパクト！","10","11","11010014","","","101"
"","0.4","","","","","93","11010015","","","101"
"","3","","","0","","32","11010016","","","101"
"","3","","","1","","32","11010017","","","101"
"","11010014","","","","","91","11010018","","","101"
"","110931","","","強めの初ちぇるで\n審査員のハートを\n鷲掴み子ちゃんです","10","11","11010019","","","101"
"","1","","","","","93","11010020","","","101"
"","103231","","","nyx_idle_joy1","1","3","11010021","0.2","","101"
"","104631","","","nyx_cmn_05","1","3","11010022","0.2","","101"
"","11010019","","","","","91","11010023","","","101"
"","2","nyx_101_chieru_loop","","nyx_101_chieru_01","0","3","11010024","0.2","1","101"
"","110931","nyx_101_chieru_loop","","nyx_101_chieru_01","0","3","11010025","0.2","1","101"
"","110931","","","ちぇるーん♪\nいや、まだ行ける…\nちぇっ☆るゥ～ん！","7","11","11010026","","","101"
"","0.4","","","","","93","11010027","","","101"
"","3","","","0","","32","11010028","","","101"
"","3","","","1","","32","11010029","","","101"
"","0.6","","","","","93","11010030","","","101"
"","103431","","","nyx_talk_bitter","1","3","11010031","0.2","","101"
"","104631","","","nyx_cmn_04","1","3","11010032","0.2","","101"
"","2","","","","","93","11010033","","","101"
"","2","nyx_101_chieru_loop","","nyx_101_chieru_02","0","3","11010034","0.2","1","101"
"","110931","nyx_101_chieru_loop","","nyx_101_chieru_02","0","3","11010035","0.2","1","101"
"","0.4","","","","","93","11010036","","","101"
"","3","","","0","","32","11010037","","","101"
"","4","","","1","","32","11010038","","","101"
"","11010026","","","","","91","11010039","","","101"
"","103431","","","nyx_idle_bitter","1","3","11010040","0.2","","101"
"","104831","","","nyx_talk_sad","1","3","11010041","0.2","","101"
"","104831","","","ね、ねぇ…\n廊下の方から\n何か聞こえない？","10","11","11010042","","","101"
"","0","","","","","91","11010043","","","101"
"","110931","","","1","","4","11010044","","","101"
"","2","","","1","","4","11010045","","","101"
"","2","nyx_101_chieru_loop","","nyx_101_chieru_02","0","3","11010046","0.2","1","101"
"","110931","nyx_101_chieru_loop","","nyx_101_chieru_02","0","3","11010047","0.2","1","101"
"","104831","","","nyx_idle_sad","1","3","11010048","0.2","","101"
"","104631","","","nyx_talk_sad","1","3","11010049","0.2","","101"
"","104631","","","なんかちぇるちぇる\n聞こえるにゃ…\nこわいにゃ…","10","11","11010050","","","101"
"","0","","","","","91","11010051","","","101"
"","104631","","","nyx_idle_sad","1","3","11010052","0.2","","101"
"","103431","","","nyx_talk_sad","1","3","11010053","0.2","","101"
"","103431","","","学校の七不思議的な\nやつかしら…\nか、帰りたい…","10","11","11010054","","","101"
"","0","","","","","91","11010055","","","101"
"","103431","","","nyx_idle_sad","1","3","11010056","0.2","","101"
"","103231","","","nyx_talk_joy2","1","3","11010057","0.2","","101"
"","103231","","","面白いですわね！\n何が出てくるか\nワクワクしますわ！","10","11","11010058","","","101"
"","0","","","","","91","11010059","","","101"
"","0.4","","","","","93","11010060","","","101"
"","110931","","","0","","4","11010061","","","101"
"","2","","","0","","4","11010062","","","101"
"","110931","nyx_101_chieru_loop","","nyx_101_chieru_01","0","3","11010063","0.2","1","101"
