da61fb8ec89a623d5ec49a49bc6a2428e54eed9198c5347b3d11dc11249ecce6,d82704123bb86e74084d165a1212bf94d6a3c9d00095db9a919171524d77ff68,5be78d8fcfa3604aaa41f49f21c9a5cf96a51150aa6fdf75eb04ea295a9c7cc1,e25a4b43b91ab8a4abb2867a7203ead1e85102a67579fad66f07c70d0ead4563,093b36a0151e3edd3e656ac30bc2ccca15c054d8d59b1c91037fd6c861973ba0,3b4886bb2e8c78f6eee596ceebc4a9203233faff3d206d55907011e1d27cdec1,13a24f06899fb241e4b6303ee1984d56ec038aca02923e9da268fb05e52f6dc6,a2d4536456dfa588b6076dec2ebefe3bf515d3af0544e70602353e4541100ca6,747a39a1bb4af8d8a0fbfccae5109158ec7f9e8e101c2d27918e4c85bf33a966,1926e7e197c9da2a667fa8d7c83a4680b97bcec3d3ec57eb99d8ea173355f928,b7a9a3afc3c689133a6ac80aa0ad84dc256764fe59722ffbfa5f4e685ab9ef61,e7cd43ffa0b965f5827ca1820e0f9951ce04d44af21efe6f8eb4b8e1b365e6d6,5a329f44e70ad8795695c098feae6c19201a6f8359f30d6a568a791d3f553018,51db68dacc80b60f9118090fef5d82801561ad71adebdcb78527867f59488b23,451532b53979eabd8ea800e13f291f94313e94cb46e6a14b6330c1e9ccc2c0f0,16c79b1ee76632cfea4fea700b7447ceec5c36d558832af2ff12f78d36564a79
"1","0","5201301","5201004","81020102","bgm_MC223","bgm_MC223","10201101","90","0","103613","610201101","前編ボスバトル（SCENARIO）","90","113001","10201"
"1","2025/02/06 12:00:00","5201311","5201009","81020103","bgm_MC224","bgm_MC224","10201151","90","0","81020101","610201151","後編ボスバトル（SCENARIO）","90","113001","10201"
"2","0","0","0","103613","bgm_MC223","bgm_MC223","10201201","90","10201101","103613","0","前編ボスバトル（SPECIAL）","255","114001","10201"
"2","2025/02/06 12:00:00","0","0","81020104","bgm_MC224","bgm_MC224","10201251","90","10201151","81020101","0","後編ボスバトル（SPECIAL）","255","114001","10201"
"3","0","0","0","103613","bgm_MC223","bgm_MC223","10201501","90","10201201","103613","0","前編ボスバトル（SPECIAL＋）","331","115001","10201"
"3","2025/02/06 12:00:00","0","0","81020104","bgm_MC224","bgm_MC224","10201551","90","10201251","81020101","0","後編ボスバトル（SPECIAL＋）","331","115001","10201"
"1","0","5202301","5202006","81020201","bgm_MC228","bgm_MC228","10202101","90","0","102370","610202101","ボスバトル（SCENARIO）","90","113001","10202"
"2","0","0","0","102370","bgm_MC228","bgm_MC228","10202201","90","10202101","102370","0","ボスバトル（SPECIAL）","255","114001","10202"
"3","0","0","0","102370","bgm_MC228","bgm_MC228","10202501","90","10202201","102370","0","ボスバトル（SPECIAL＋）","334","115001","10202"
"1","0","5203301","5203006","81020301","bgm_MC236","bgm_MC236","10203101","90","0","81020301","610203101","ボスバトル（SCENARIO）","90","113001","10203"
"2","0","0","0","81020301","bgm_MC236","bgm_MC236","10203201","90","10203101","81020301","0","ボスバトル（SPECIAL）","255","114001","10203"
"3","0","0","0","81020301","bgm_MC236","bgm_MC236","10203501","90","10203201","81020301","0","ボスバトル（SPECIAL＋）","337","115001","10203"
"1","0","5204301","5204006","100092","bgm_MC253","bgm_MC253","10204101","90","0","100092","610204101","ボスバトル（SCENARIO）","90","113001","10204"
"2","0","0","0","100092","bgm_MC253","bgm_MC253","10204201","90","10204101","100092","0","ボスバトル（SPECIAL）","255","114001","10204"
"3","0","0","0","100092","bgm_MC253","bgm_MC253","10204501","90","10204201","100092","0","ボスバトル（SPECIAL＋）","340","115001","10204"
"1","0","5205301","5205006","100199","bgm_MC257","bgm_MC257","10205101","90","0","100199","610205101","ボスバトル（SCENARIO）","90","113001","10205"
"2","0","0","0","100199","bgm_MC257","bgm_MC257","10205201","90","10205101","100199","0","ボスバトル（SPECIAL）","255","114001","10205"
"3","0","0","0","100199","bgm_MC257","bgm_MC257","10205501","90","10205201","100199","0","ボスバトル（SPECIAL＋）","343","115001","10205"
"1","0","5206301","5206006","81020601","bgm_MC264_NoIntro","bgm_MC264","10206101","90","0","81020601","610206101","ボスバトル（SCENARIO）","90","113001","10206"
"2","0","0","0","81020601","bgm_MC264_NoIntro","bgm_MC264","10206201","90","10206101","81020601","0","ボスバトル（SPECIAL）","255","114001","10206"
"3","0","0","0","81020601","bgm_MC264_NoIntro","bgm_MC264","10206501","90","10206201","81020601","0","ボスバトル（SPECIAL＋）","346","115001","10206"
"1","0","5207301","5207006","81020701","bgm_MC270","bgm_MC270","10207101","90","0","81020701","610207101","ボスバトル（SCENARIO）","90","113001","10207"
"2","0","0","0","81020701","bgm_MC270","bgm_MC270","10207201","90","10207101","81020701","0","ボスバトル（SPECIAL）","255","114001","10207"
"3","0","0","0","81020701","bgm_MC270","bgm_MC270","10207501","90","10207201","81020701","0","ボスバトル（SPECIAL＋）","349","115001","10207"
"1","0","5208301","5208006","81020801","bgm_MC283","bgm_MC283","10208101","90","0","81020801","610208101","ボスバトル（SCENARIO）","90","113001","10208"
"2","0","0","0","81020801","bgm_MC283","bgm_MC283","10208201","90","10208101","81020801","0","ボスバトル（SPECIAL）","255","114001","10208"
"3","0","0","0","81020801","bgm_MC283","bgm_MC283","10208501","90","10208201","81020801","0","ボスバトル（SPECIAL＋）","352","115001","10208"
"1","0","5209301","5209006","103603","bgm_MC203","bgm_MC203","10209101","90","0","103603","610209101","ボスバトル（SCENARIO）","90","113001","10209"
"2","0","0","0","103603","bgm_MC203","bgm_MC203","10209201","90","10209101","103603","0","ボスバトル（SPECIAL）","255","114001","10209"
"3","0","0","0","103603","bgm_MC203","bgm_MC203","10209501","90","10209201","103603","0","ボスバトル（SPECIAL＋）","355","115001","10209"
