51d7b54bce00d86e661236614df28a2deff8b33d11175b6922531f21440e3508,e06156247510cd78e95c154381eca9524df55af55193f2909d6e5bdd7a4b43e6,1ebeb654666d147915165e71d52fd47eeb5432cdcc294d585bb9d7e42eed8e6b,f5f4e881f439f19881a1d0728a3bc8b2ac2295395c21125e1bf3151206ef0159,5c736acdc038aafac50b330381d77ce498045251fd7dd76346e4d61ca6cdeacd,f77d20fbe77b534ae89907fc41d2ff58060a8abbfd54721d38f64c1d62aaa29f,ed7e4cd1744ab5516777882e533ebf7cb2f24543347eabd78f451648c9a426e3,2da95bf40eb38c4a61dbdde8d510454a1c5e6f12d330f11250a17e5c96603c29,b18ae15f6760955bac85273cf82658088163239abb8a8f99722a9df2ea37ed10
"100111","0","50","0","0","20000","30000","0","5000"
"100112","0","50","0","0","20000","30000","0","5000"
"100113","0","50","0","0","20000","30000","0","5000"
"100121","0","125","0","0","30000","45000","0","12500"
"100122","0","125","0","0","30000","45000","0","12500"
"100123","0","125","0","0","30000","45000","0","12500"
"100131","0","200","0","0","40000","60000","0","20000"
"100132","0","200","0","0","40000","60000","0","20000"
"100133","0","200","0","0","40000","60000","0","20000"
"100211","0","50","0","0","20000","30000","0","5000"
"100212","0","50","0","0","20000","30000","0","5000"
"100213","0","50","0","0","20000","30000","0","5000"
"100221","0","125","0","0","30000","45000","0","12500"
"100222","0","125","0","0","30000","45000","0","12500"
"100223","0","125","0","0","30000","45000","0","12500"
"100231","0","200","0","0","40000","60000","0","20000"
"100232","0","200","0","0","40000","60000","0","20000"
"100233","0","200","0","0","40000","60000","0","20000"
"100311","0","50","0","0","20000","30000","0","5000"
"100312","0","50","0","0","20000","30000","0","5000"
"100313","0","50","0","0","20000","30000","0","5000"
"100321","0","125","0","0","30000","45000","0","12500"
"100322","0","125","0","0","30000","45000","0","12500"
"100323","0","125","0","0","30000","45000","0","12500"
"100331","0","200","0","0","40000","60000","0","20000"
"100332","0","200","0","0","40000","60000","0","20000"
"100333","0","200","0","0","40000","60000","0","20000"
"100411","0","50","0","0","20000","30000","0","5000"
"100412","0","50","0","0","20000","30000","0","5000"
"100413","0","50","0","0","20000","30000","0","5000"
"100421","0","125","0","0","30000","45000","0","12500"
"100422","0","125","0","0","30000","45000","0","12500"
"100423","0","125","0","0","30000","45000","0","12500"
"100431","0","200","0","0","40000","60000","0","20000"
"100432","0","200","0","0","40000","60000","0","20000"
"100433","0","200","0","0","40000","60000","0","20000"
"100511","0","50","0","0","20000","30000","0","5000"
"100512","0","50","0","0","20000","30000","0","5000"
"100513","0","50","0","0","20000","30000","0","5000"
"100521","0","125","0","0","30000","45000","0","12500"
"100522","0","125","0","0","30000","45000","0","12500"
"100523","0","125","0","0","30000","45000","0","12500"
"100531","0","200","0","0","40000","60000","0","20000"
"100532","0","200","0","0","40000","60000","0","20000"
"100533","0","200","0","0","40000","60000","0","20000"
"100611","0","50","0","0","20000","30000","0","5000"
"100612","0","50","0","0","20000","30000","0","5000"
"100613","0","50","0","0","20000","30000","0","5000"
"100621","0","125","0","0","30000","45000","0","12500"
"100622","0","125","0","0","30000","45000","0","12500"
"100623","0","125","0","0","30000","45000","0","12500"
"100631","0","200","0","0","40000","60000","0","20000"
"100632","0","200","0","0","40000","60000","0","20000"
"100633","0","200","0","0","40000","60000","0","20000"
"100711","0","50","0","0","20000","30000","0","5000"
"100712","0","50","0","0","20000","30000","0","5000"
"100713","0","50","0","0","20000","30000","0","5000"
"100721","0","125","0","0","30000","45000","0","12500"
"100722","0","125","0","0","30000","45000","0","12500"
"100723","0","125","0","0","30000","45000","0","12500"
"100731","0","200","0","0","40000","60000","0","20000"
"100732","0","200","0","0","40000","60000","0","20000"
"100733","0","200","0","0","40000","60000","0","20000"
"100811","0","50","0","0","20000","30000","0","5000"
"100812","0","50","0","0","20000","30000","0","5000"
"100813","0","50","0","0","20000","30000","0","5000"
"100821","0","125","0","0","30000","45000","0","12500"
"100822","0","125","0","0","30000","45000","0","12500"
"100823","0","125","0","0","30000","45000","0","12500"
"100831","0","200","0","0","40000","60000","0","20000"
"100832","0","200","0","0","40000","60000","0","20000"
"100833","0","200","0","0","40000","60000","0","20000"
"100911","0","50","0","0","20000","30000","0","5000"
"100912","0","50","0","0","20000","30000","0","5000"
"100913","0","50","0","0","20000","30000","0","5000"
"100921","0","125","0","0","30000","45000","0","12500"
"100922","0","125","0","0","30000","45000","0","12500"
"100923","0","125","0","0","30000","45000","0","12500"
"100931","0","200","0","0","40000","60000","0","20000"
"100932","0","200","0","0","40000","60000","0","20000"
"100933","0","200","0","0","40000","60000","0","20000"
