df314a4b67c8bf9c1862c0e9c57cddf6b9387221899d7bfedc70a76e86fee839,c6f90f1140144d4b76179a35b02b608f3f46d72dfcfde8c0c1cae9b980b18967,f4dd274e8f3f14c069d1448aa5182c7470898dc81ef5d016f9c9cf95026d7d43,69377b682dd3512c2fbe51fefed9635f905e81deee4fd275f03b7430c7979e80,480938bf60a904e92335ae7bc57bb69037f68a51cb05cb6fa952ddfc410d5365,d3d3c4b25a8de948339fafa689267cabf24eada615d29116d5832b9410c43283,783aebb19e1288767a3bd61e17f689f53bfec9177a8a0cbd49e041cbab943b43,a464d0a8939e5d277e1141aa45867fc19ef95ecfb5a9f64595c9e09fe6852c05,b73d44a653e363aad6af837e9e02b787c3242d3bc11b5b77342eef062d097edc,426593ab48a8879d4c6838da9b6e0fdb35187e472e5ae6deffc62fe84bb0b538,9d245033e5c0d82c36272196a8d52d0131358f0f92fec209d8bcd0899dc70dde,890184800375705fd8412c1d95c3fcbae87614e07931918b9f4deb8a63b4aafb
"全対象のキャラから1人選んで仲間にできる。","0","0","0","全対象のセレクトサイン","0","0","0","1","1","11000000","99999999"
"プリンセスフェスのキャラから1人選んで仲間にできる。","0","999","0","プリンセスフェスのセレクトサイン","0","0","0","1","1","11000999","3600"
"アタッカーロールのキャラから1人選んで仲間にできる。","0","0","0","アタッカーロールのセレクトサイン","0","1","0","1","1","11001000","2800"
"ブレイカーロールのキャラから1人選んで仲間にできる。","0","0","0","ブレイカーロールのセレクトサイン","0","2","0","1","1","11002000","2800"
"バッファーロールのキャラから1人選んで仲間にできる。","0","0","0","バッファーロールのセレクトサイン","0","3","0","1","1","11003000","2800"
"デバッファーロールのキャラから1人選んで仲間にできる。","0","0","0","デバッファーロールのセレクトサイン","0","4","0","1","1","11004000","2800"
"ブースターロールのキャラから1人選んで仲間にできる。","0","0","0","ブースターロールのセレクトサイン","0","5","0","1","1","11005000","2800"
"ヒーラーロールのキャラから1人選んで仲間にできる。","0","0","0","ヒーラーロールのセレクトサイン","0","6","0","1","1","11006000","2800"
"タンクロールのキャラから1人選んで仲間にできる。","0","0","0","タンクロールのセレクトサイン","0","7","0","1","1","11007000","2800"
"ジャマーロールのキャラから1人選んで仲間にできる。","0","0","0","ジャマーロールのセレクトサイン","0","8","0","1","1","11008000","2800"
"【美食殿】のキャラから3人選んで仲間にできる。","1","0","1","【美食殿】のセレクトサイン","0","0","0","3","1","13000001","99999999"
"【トゥインクルウィッシュ】のキャラから3人選んで仲間にできる。","2","0","1","【トゥインクルウィッシュ】のセレクトサイン","0","0","0","3","1","13000002","99999999"
"【ラビリンス】のキャラから3人選んで仲間にできる。","3","0","1","【ラビリンス】のセレクトサイン","0","0","0","3","1","13000003","99999999"
"【カルミナ】のキャラから3人選んで仲間にできる。","4","0","1","【カルミナ】のセレクトサイン","0","0","0","3","1","13000004","99999999"
"【リトルリリカル】のキャラから3人選んで仲間にできる。","5","0","1","【リトルリリカル】のセレクトサイン","0","0","0","3","1","13000005","99999999"
"【フォレスティエ】のキャラから3人選んで仲間にできる。","6","0","1","【フォレスティエ】のセレクトサイン","0","0","0","3","1","13000006","99999999"
"【悪魔偽王国軍（ディアボロス）】のキャラから3人選んで仲間にできる。","7","0","1","【悪魔偽王国軍（ディアボロス）】のセレクトサイン","0","0","0","3","1","13000007","99999999"
"【王宮騎士団（NIGHTMARE）】のキャラから3人選んで仲間にできる。","8","0","1","【王宮騎士団（NIGHTMARE）】のセレクトサイン","0","0","0","3","1","13000008","99999999"
"【サレンディア救護院】のキャラから3人選んで仲間にできる。","9","0","1","【サレンディア救護院】のセレクトサイン","0","0","0","3","1","13000009","99999999"
"【自警団（カォン）】のキャラから3人選んで仲間にできる。","10","0","1","【自警団（カォン）】のセレクトサイン","0","0","0","3","1","13000010","99999999"
"【牧場（エリザベスパーク）】のキャラから3人選んで仲間にできる。","11","0","1","【牧場（エリザベスパーク）】のセレクトサイン","0","0","0","3","1","13000011","99999999"
"【メルクリウス財団】のキャラから3人選んで仲間にできる。","12","0","1","【メルクリウス財団】のセレクトサイン","0","0","0","3","1","13000012","99999999"
"【トワイライトキャラバン】のキャラから3人選んで仲間にできる。","13","0","1","【トワイライトキャラバン】のセレクトサイン","0","0","0","3","1","13000013","99999999"
"【ルーセント学院】のキャラから3人選んで仲間にできる。","14","0","1","【ルーセント学院】のセレクトサイン","0","0","0","3","1","13000014","99999999"
"","0","0","0","バトル報酬ランダムサイン","0","0","0","1","2","21000000","99999999"
"全対象のキャラからランダムに1人仲間にできる。","0","0","0","全対象のランダムサイン","0","0","0","1","3","31000000","99999999"
