b26fc7084b87eb406937fe2a286e55d92ffc855c7fec6728b689c2d55a5fec59,3dc8c480eff71b2c7f3fbf8f8b9e0bc7ad8be131d0974d24b6d71145d7dae664,ea44c050b9c7b5e6bae5d83328f522de547e8bc6cacd5838ecda974f5995c0d2,1b43078c5c6527eea0da8ad1c1ead8500a55898e457262a36e1ddc50e2812c5b,4402f41de9755f0bfef0de050d8545b0d00a9a07c5eeafcf542aae6fc711534b
"8500","30","200","1","1"
"1500","30","5","1","2"
"8500","60","220","2","3"
"1500","60","5","2","4"
"8500","60","200","3","5"
"1500","15","200","3","6"
"8500","60","200","4","7"
"1500","10","200","4","8"
"8500","40","150","5","9"
"1500","40","5","5","10"
"8500","60","150","6","11"
"1500","10","200","6","12"
"8500","40","150","7","13"
"1500","40","5","7","14"
"8500","50","150","8","15"
"1500","15","200","8","16"
"8500","45","150","9","17"
"1500","10","200","9","18"
"8500","40","145","10","19"
"1500","10","5","10","20"
"8500","40","300","11","21"
"1500","10","5","11","22"
"8500","65","200","12","23"
"1500","10","200","12","24"
"8500","40","150","13","25"
"1500","10","5","13","26"
"8500","40","100","14","27"
"1500","10","5","14","28"
"8500","50","200","15","29"
"1500","10","5","15","30"
"8500","60","250","16","31"
"1500","30","200","16","32"
"8500","45","120","17","33"
"1500","90","300","17","34"
"8500","90","120","18","35"
"1500","30","200","18","36"
"8500","50","190","19","37"
"1500","60","350","19","38"
"8500","90","95","20","39"
"1500","90","95","20","40"
"8500","20","200","21","41"
"1500","5","5","21","42"
"8500","30","450","22","43"
"1500","5","5","22","44"
"8500","20","200","23","45"
"1500","5","5","23","46"
"8500","30","130","1001","47"
"1500","5","5","1001","48"
"8500","30","140","1002","49"
"1500","5","5","1002","50"
"8500","40","150","1003","51"
"1500","5","5","1003","52"
"8500","45","155","1004","53"
"1500","5","200","1004","54"
"8500","60","155","1005","55"
"1500","10","200","1005","56"
"8500","60","150","1006","57"
"1500","15","200","1006","58"
"8500","60","150","1007","59"
"1500","15","200","1007","60"
"8500","50","160","1008","61"
"1500","15","200","1008","62"
"8500","70","140","1009","63"
"1500","30","200","1009","64"
"8500","35","180","1010","65"
"1500","120","200","1010","66"
"8500","65","140","1011","67"
"1500","30","200","1011","68"
"8500","35","200","1012","69"
"1500","5","5","1012","70"
"8500","70","150","1013","71"
"1500","15","200","1013","72"
"8500","60","150","1014","73"
"1500","15","200","1014","74"
"8500","60","150","1015","75"
"1500","15","200","1015","76"
"8500","60","150","1016","77"
"1500","15","200","1016","78"
"8500","60","150","1017","79"
"1500","15","200","1017","80"
"8500","50","120","1018","81"
"1500","60","200","1018","82"
"8500","67","102","1019","83"
"1500","60","200","1019","84"
"8500","35","120","1020","85"
"1500","60","250","1020","86"
"7000","30","200","10001","87"
"3000","30","5","10001","88"
"7000","60","220","10002","89"
"3000","60","5","10002","90"
"7000","60","200","10003","91"
"3000","15","200","10003","92"
"7000","60","200","10004","93"
"3000","10","200","10004","94"
"7000","40","150","10005","95"
"3000","40","5","10005","96"
"7000","60","150","10006","97"
"3000","10","200","10006","98"
"7000","40","150","10007","99"
"3000","40","5","10007","100"
"7000","50","150","10008","101"
"3000","15","200","10008","102"
"7000","45","150","10009","103"
"3000","10","200","10009","104"
"7000","40","145","10010","105"
"3000","10","5","10010","106"
"7000","40","300","10011","107"
"3000","10","5","10011","108"
"7000","65","200","10012","109"
"3000","10","200","10012","110"
"7000","40","150","10013","111"
"3000","10","5","10013","112"
"7000","40","100","10014","113"
"3000","10","5","10014","114"
"7000","50","200","10015","115"
"3000","10","5","10015","116"
"7000","60","250","10016","117"
"3000","30","200","10016","118"
"7000","45","120","10017","119"
"3000","90","300","10017","120"
"7000","90","120","10018","121"
"3000","30","200","10018","122"
"7000","50","190","10019","123"
"3000","60","350","10019","124"
"7000","90","95","10020","125"
"3000","90","95","10020","126"
"7000","60","200","10021","127"
"3000","60","200","10021","128"
"7000","60","200","10022","129"
"3000","60","200","10022","130"
"7000","60","200","10023","131"
"3000","60","200","10023","132"
"7000","30","130","11001","133"
"3000","5","5","11001","134"
"7000","30","140","11002","135"
"3000","5","5","11002","136"
"7000","40","150","11003","137"
"3000","5","5","11003","138"
"7000","45","155","11004","139"
"3000","5","200","11004","140"
"7000","60","155","11005","141"
"3000","10","200","11005","142"
"7000","60","150","11006","143"
"3000","15","200","11006","144"
"7000","60","150","11007","145"
"3000","15","200","11007","146"
"7000","50","160","11008","147"
"3000","15","200","11008","148"
"7000","70","140","11009","149"
"3000","30","200","11009","150"
"7000","35","180","11010","151"
"3000","120","200","11010","152"
"7000","65","140","11011","153"
"3000","30","200","11011","154"
"7000","35","200","11012","155"
"3000","5","5","11012","156"
"7000","70","150","11013","157"
"3000","15","200","11013","158"
"7000","60","150","11014","159"
"3000","15","200","11014","160"
"7000","60","150","11015","161"
"3000","15","200","11015","162"
"7000","60","150","11016","163"
"3000","15","200","11016","164"
"7000","60","150","11017","165"
"3000","15","200","11017","166"
"7000","50","120","11018","167"
"3000","60","200","11018","168"
"7000","67","102","11019","169"
"3000","60","200","11019","170"
"7000","35","120","11020","171"
"3000","60","250","11020","172"
"5000","30","200","20001","173"
"5000","30","5","20001","174"
"5000","60","220","20002","175"
"5000","60","5","20002","176"
"5000","60","200","20003","177"
"5000","15","200","20003","178"
"5000","60","200","20004","179"
"5000","10","200","20004","180"
"5000","40","150","20005","181"
"5000","40","5","20005","182"
"5000","60","150","20006","183"
"5000","10","200","20006","184"
"5000","40","150","20007","185"
"5000","40","5","20007","186"
"5000","50","150","20008","187"
"5000","15","200","20008","188"
"5000","45","150","20009","189"
"5000","10","200","20009","190"
"5000","40","145","20010","191"
