e2d17b05c589c4ee9030c0f7637339e6063af7b137711807b27c9d18a8b0b875,405ae016a33c2fb6c414d2fca7fb7aad45e88b78672ced81912375c0d333078a,2d5a822f183e802bdd61847aa3c4f46f6019829dbc30b7673e994818844c4abb,15ec4809e25dd6ed10d64d60f769408550e6023795667435c93668f8b06a3f33,78eac8fc092a2a8b66fd02040fba5658cbd7fa021ee82b6a8037b112caed78bb
"1","0","2700","1","1"
"2","0","3600","1","2"
"3","0","5400","1","3"
"4","1","3600","1","1"
"5","1","5400","1","2"
"6","1","7200","1","3"
"7","0","1800","2","1"
"8","0","2700","2","2"
"9","0","3600","2","3"
"10","1","2700","2","1"
"11","1","4050","2","2"
"12","1","5400","2","3"
"13","0","1800","3","1"
"14","0","2700","3","2"
"15","0","3600","3","3"
"16","1","2700","3","1"
"17","1","4050","3","2"
"18","1","5400","3","3"
"19","0","1800","4","1"
"20","0","2700","4","2"
"21","0","3600","4","3"
"22","1","2700","4","1"
"23","1","4050","4","2"
"24","1","5400","4","3"
