861dedb4c33a869f91a98cf2077adff3f9a336e8f957187184b0e44963fb4a6b,71a2d553cffad7116fceb77ac6a88bc8d521b9f6a061bab812a328e24d76f150,8726931c321f0b706c89f7d6e495ed9fcbed8c6f60e2713a4b3c4853c545c6ff,c6cab9960efd8945a3efa617501f9ae5ec344107ad5572d6f56c6cf41529f867,9298197bc7d0416766d40379313a2783cda662279039d1396284a4de87d4a81d,69cf7ba5e85e3cc79a109c89aab454f2500af67ad249b7495702aa86177772c3,765ae1c63919646fad38a24e7a99f44ef4939e3861ee22eafe0698317d2b31e0,7547bce296e9cb0240fee1e688270075b50518831969fe785fc54d0582aa642a,ec7d2a905aecf168c0d691d4b9bbde0e0723b72f4ecaad93d2d4140d461fa9f4,ee5380a4bb4da6ebb7506864e534128c1ce5e60bfa719af7b50ea31304d99b01,b9f4482a580406d75d6dcb22216cd9314b7b601ee2696691a50d8dc4a1ae3970
"-150","101001","101","115","0","1","111831","nop_idle_joy1","1.5","-100","1"
"-150","101002","101","114","1","1","120731","nop_idle_normal_joy","1.5","100","1"
"-127","101003","101","111","0","1","120831","nop_idle_arm_crossed","1.5","-215","1"
"-127","101004","101","110","1","1","111931","nop_idle_normal","1.5","215","1"
"-150","101005","101","113","0","1","120931","nop_idle_thinking","1.5","-330","1"
"-150","101006","101","112","1","1","112031","nop_idle_normal","1.5","330","1"
"-150","102001","102","115","0","1","108731","nop_idle_joy1","1.5","-100","1"
"-150","102002","102","114","1","1","108831","nop_idle_joy_normal","1.5","100","1"
"-127","102003","102","111","0","1","108931","nop_idle_normal","1.5","-215","1"
"-135","103001","103","113","0","1","102011","nop_idle_joy1","1.5","-100","1"
"-150","103002","103","115","0","1","100411","nop_idle_normal","1.5","-215","1"
"-143","103003","103","114","1","1","103631","nop_idle_wish","1.5","100","1"
"-150","104001","104","115","0","1","101231","nop_idle_normal","1.5","-100","1"
"-150","104002","104","114","1","1","104011","nop_idle_normal","1.5","100","1"
"-127","104003","104","111","0","1","101511","nop_idle_normal","1.5","-215","1"
"-135","105001","105","113","0","1","103111","nop_idle_normal","1.5","-100","1"
"-135","105002","105","111","1","1","102211","nop_idle_sad","1.5","100","1"
"-150","105003","105","115","0","1","100711","nop_05_miyako_idle_normal","1.5","-215","1"
"-150","105004","105","112","1","1","100611","nop_idle_joy1","1.5","215","1"
"-135","105005","105","114","1","5","2051","nop_skull_idle","1.5","-25","1"
"-150","106001","106","115","0","1","104731","nop_idle_arm_crossed","1.5","-215","1"
"-150","106002","106","114","1","1","107131","nop_idle_arm_crossed","1.5","215","1"
"-135","106003","106","111","0","1","103731","nop_idle_normal","1.5","-100","1"
"-135","106004","106","110","1","1","100511","nop_idle_joy1","1.5","100","1"
"-150","107001","107","115","0","1","102831","nop_idle_normal","1.5","-100","1"
"-150","107002","107","114","1","1","102111","nop_idle_normal","1.5","100","1"
"-127","107003","107","111","0","1","102511","nop_idle_normal","1.5","-215","1"
"-127","107004","107","110","1","1","102311","nop_idle_normal","1.5","215","1"
"-150","108001","108","115","0","1","101011","nop_idle_joy_normal","1.5","-100","1"
"-150","108002","108","114","1","1","104331","nop_idle_arm_crossed","1.5","100","1"
"-127","108003","108","111","0","1","101711","nop_idle_joy1","1.5","-215","1"
"-127","108004","108","110","1","1","101431","nop_idle_normal","1.5","215","1"
"-150","109001","109","115","0","1","103311","nop_idle_joy1","1.5","-100","1"
"-127","109002","109","111","0","1","105211","nop_idle_joy_normal","1.5","-215","1"
"-150","109003","109","114","1","1","102611","nop_idle_sad2","1.5","100","1"
"-127","109004","109","110","1","1","103811","nop_idle_normal","1.5","215","1"
"-150","110001","110","115","0","1","103231","nop_idle_joy1","1.5","-100","1"
"-127","110002","110","110","1","1","103411","nop_10_yukari_02","1.5","215","1"
"-127","110003","110","111","1","5","11","nop_10_yukari_02","1.5","215","1"
"-150","110004","110","114","1","1","104811","nop_idle_doya","1.5","100","1"
"-127","110005","110","111","0","1","104611","nop_idle_joy_normal","1.5","-215","1"
"-150","111001","111","115","0","1","100911","nop_11_anna_idle_arm_crossed","1.5","-100","1"
"-150","111002","111","114","1","1","101311","nop_idle_joy_normal","1.5","100","1"
"-127","111003","111","111","0","1","102711","nop_11_eriko_idle_wish","1.5","-215","1"
"-127","111004","111","110","1","1","105111","nop_idle_normal","1.5","215","1"
"-143","112001","112","115","1","1","101831","nop_idle_joy1","1.5","100","1"
"-135","112002","112","110","0","1","101611","nop_idle_joy_normal","1.5","-100","1"
"-150","112003","112","114","0","1","105011","nop_idle_joy_normal","1.5","-215","1"
"-150","113001","113","113","1","1","105331","nop_idle_normal_joy","1.5","100","1"
"-150","113002","113","114","0","1","104511","nop_13_kuka_idle_memory2","1.5","-100","1"
"-127","113003","113","110","0","1","103031","nop_idle_joy1","1.5","-215","1"
"-150","113004","113","111","0","1","100811","nop_idle_thinking","1.5","-330","1"
"-150","113005","113","115","1","1","105511","nop_idle_sad","1.5","240","1"
"-150","114001","114","115","1","1","106831","nop_idle_normal","1.5","100","1"
"-150","114002","114","114","0","1","101131","nop_idle_normal","1.5","-100","1"
"-127","114003","114","110","0","1","104931","nop_idle_normal","1.5","-215","1"
"-143","115001","115","115","1","1","102931","nop_idle_joy1","1.5","100","1"
"-135","115002","115","110","0","1","104211","nop_idle_wish","1.5","-100","1"
"-150","115003","115","114","0","1","105411","nop_idle_normal","1.5","-215","1"
"-150","116001","116","115","1","1","106731","nop_idle_normal","1.5","100","1"
"-150","116002","116","114","0","1","106631","nop_idle_joy1","1.5","-100","1"
"-127","116003","116","110","0","1","106531","nop_16_kaya_idle_normal2","1.5","-215","1"
"-150","116004","116","116","1","5","2","nop_rago_idle","1.5","180","1"
"-150","117001","117","115","1","1","111031","nop_idle_normal","1.5","100","1"
"-150","117002","117","114","0","1","110931","nop_idle_joy2","1.5","-100","1"
"-127","117003","117","110","0","1","110831","nop_17_chloe_idle_normal2","1.5","-215","1"
"-150","117004","117","115","0","5","1","NoItem_idle","1.5","-100","1"
"-150","118001","118","115","1","1","114711","nop_18_muimi_idle_joy_normal","1.5","-100","1"
"-150","118002","118","114","0","1","118511","nop_18_karin_idle_normal","1.5","100","1"
"-127","118003","118","111","0","1","115031","nop_idle_normal","1.5","-215","1"
"-127","118004","118","110","1","1","118031","nop_idle_joy1","1.5","215","1"
"0","201001","201","100","0","1","111831","nop_idle_joy1","1.2","-60","1"
