9ecc127041a508f83249ca0c72aa7bf4e2f79d9c3a59413797aed6951527c8dc,c6716b3cd5be4aa15c6924a1daad37550c27054c161c28840e16ebb0aee18901,5752d03558c17fa3a9a53a4337c7a44694caea4cf291cfeb2873ed60dd4f40ab,8221c9f098d23d887ec762af2b478634e47e234095be5162255098dac6581c1d,722f7916ece2733ac44c6be013ab33f493f91e94857f1e85590222e2dda28e09,7009b0c653fcc7fc52b4959eea44f50df0e30af7b96e30da817c133ac52923f1,57a29cc63fced3886b52b184852c05e6be483f1fb0a845e1f31650cab13fbb65,f69c2462f84a0beef53996b5501a3bc62544510df63be20804f4efaeb37224f9
"1","1","96001","21952","1","2","1","20000"
"1","1","96001","21904","1","2","2","10000"
"1","1","96001","41000","1","2","3","10000"
"5","1","96001","31803","5","2","4","2000"
"5","1","96001","31215","5","2","5","1500"
"5","1","96001","31210","5","2","6","1500"
"5","1","96001","31211","5","2","7","1500"
"10","1","96001","90005","5","2","8","1250"
"20","1","96001","140001","10","4","9","500"
"10","1","96001","25001","5","2","10","500"
"5","1","96001","150003","5","4","11","100"
"5","1","96001","150004","5","4","12","130"
"5","1","96001","150005","5","4","13","150"
"5","1","96001","150006","5","4","14","180"
"5","1","96001","150007","5","4","15","200"
"5","1","96001","150008","5","4","16","230"
"5","1","96001","20004","100","2","17","500"
"5","1","96001","22003","100","2","18","200"
"0","1","96001","20004","100","2","19","1000"
"0","1","96001","22003","100","2","20","400"
"1","2","96002","21952","1","2","21","20000"
"1","2","96002","21904","1","2","22","10000"
"1","2","96002","41000","1","2","23","10000"
"5","2","96002","31233","5","2","24","1500"
"5","2","96002","31229","5","2","25","1500"
"5","2","96002","31225","5","2","26","1500"
"10","2","96002","90005","5","2","27","1250"
"20","2","96002","140001","10","4","28","500"
"10","2","96002","25001","5","2","29","500"
"5","2","96002","150003","5","4","30","100"
"5","2","96002","150004","5","4","31","130"
"5","2","96002","150005","5","4","32","150"
"5","2","96002","150006","5","4","33","180"
"5","2","96002","150007","5","4","34","200"
"5","2","96002","150008","5","4","35","230"
"5","2","96002","20004","100","2","36","500"
"5","2","96002","22003","100","2","37","200"
"0","2","96002","20004","100","2","38","1000"
"0","2","96002","22003","100","2","39","400"
"1","3","96003","21952","1","2","40","20000"
"1","3","96003","21905","1","2","41","10000"
"1","3","96003","41000","1","2","42","10000"
"5","3","96003","31805","5","2","43","2000"
"5","3","96003","31240","5","2","44","1500"
"5","3","96003","31238","5","2","45","1500"
"5","3","96003","31236","5","2","46","1500"
"5","3","96003","90005","10","2","47","2500"
"5","3","96003","140001","50","4","48","2500"
"5","3","96003","25001","5","2","49","500"
"5","3","96003","150003","30","4","50","500"
"5","3","96003","150004","30","4","51","650"
"5","3","96003","150005","30","4","52","750"
"5","3","96003","150006","30","4","53","900"
"5","3","96003","150007","30","4","54","1000"
"5","3","96003","150008","30","4","55","1150"
"5","3","96003","20004","500","2","56","2500"
"5","3","96003","22003","500","2","57","1000"
"0","3","96003","20004","100","2","58","1000"
"0","3","96003","22003","100","2","59","400"
"1","4","96004","21952","1","2","60","20000"
"1","4","96004","21905","1","2","61","10000"
"2","4","96004","41000","1","2","62","10000"
"5","4","96004","31807","5","2","63","2000"
"5","4","96004","31245","5","2","64","1500"
"5","4","96004","31248","5","2","65","1500"
"5","4","96004","31250","5","2","66","1500"
"5","4","96004","31091","5","2","67","1500"
"5","4","96004","90005","10","2","68","2500"
"10","4","96004","140001","50","4","69","2500"
"10","4","96004","25001","10","2","70","1000"
"5","4","96004","150003","30","4","71","500"
"5","4","96004","150004","30","4","72","650"
"5","4","96004","150005","30","4","73","750"
"5","4","96004","150006","30","4","74","900"
"5","4","96004","150007","30","4","75","1000"
"5","4","96004","150008","30","4","76","1150"
"5","4","96004","150009","30","4","77","1300"
"5","4","96004","20004","500","2","78","2500"
"5","4","96004","22003","500","2","79","1000"
"0","4","96004","20004","100","2","80","1000"
"0","4","96004","22003","100","2","81","400"
"1","5","96005","25101","1","2","82","20000"
"1","5","96005","21952","1","2","83","20000"
"1","5","96005","21905","1","2","84","10000"
"2","5","96005","41000","1","2","85","10000"
"5","5","96005","31200","5","2","86","1500"
"5","5","96005","31253","5","2","87","1500"
"5","5","96005","31255","5","2","88","1500"
"5","5","96005","31256","5","2","89","1500"
"5","5","96005","90005","10","2","90","2500"
"10","5","96005","140001","50","4","91","2500"
"10","5","96005","25001","10","2","92","1000"
"5","5","96005","150003","30","4","93","500"
"5","5","96005","150004","30","4","94","650"
"5","5","96005","150005","30","4","95","750"
"5","5","96005","150006","30","4","96","900"
"5","5","96005","150007","30","4","97","1000"
"5","5","96005","150008","30","4","98","1150"
"5","5","96005","150009","30","4","99","1300"
"5","5","96005","20004","500","2","100","2500"
"5","5","96005","22003","500","2","101","1000"
"0","5","96005","20004","100","2","102","1000"
"0","5","96005","22003","100","2","103","400"
