89de5c33dffb5091b7c5c2c9ac372df9cab87e1023b9601dc287c3272f6c7b1b,cff786ddc648396d1ef2e2f9edec4c2332d8dcffb642de5d4f338ce2303b4456,0b9fe42338de861f170f52b494dcd54c64155fbe54708e283b8cbc54612a16d7,dea5c44a93d6ad1f017bc2f2cc9d2caed46d8894e30a2e2d5bdab26f9c057241,88634e0669998625f2d0795aa73705ec2ba5b687e0ef55697821241abb5659bb,bee25f94018c411e1e16eca08422976da6690786c1a0acab563223f7cb3640b9,5d94041feaf6f8bbc4546af32606e6fd9e72dbdbff12257d6668a294a1846de5,6cc547a148e121c9501ca0d9ea800388b210df3b76fef62bb3120005c62bad5d,45cd2ffa8f8dc73995bd46bc9013396c10497d3b5d08159a56770d9774aa0194,1dfe61704c99f1380d4e8bec64471853b85e9ffba118b63f3e4ef56cb861dffb,9b3eb0eb76c35807821c4fc134804f038478ffaf6a312f8c33fa39fee48b3082,11d3d998e3d6d68bc3425a13294e6995cffab5813716d3881695aa8a9925c814
"1","2","104","11041","0","1","101","0","0","0","4","0"
"2","3","14","10141","0","2","201","0","0","0","2","1"
"3","2","103","11031","0","3","301","0","0","0","2","2"
"4","1","102","11021","0","4","401","0","0","0","1","3"
"5","2","104","11041","0","5","501","0","0","0","4","4"
"6","3","1","10011","0","6","601","0","0","0","1","5"
"7","4","101","11011","0","7","701","0","0","0","3","6"
"8","3","100","11001","0","8","801","0","0","0","1","7"
"9","2","104","11041","0","9","901","0","0","0","4","8"
"10","3","1","10011","0","10","1001","0","0","0","2","9"
"11","4","51","10511","0","11","1101","0","0","0","1","10"
"12","3","52","10521","0","12","1201","0","0","0","2","11"
"13","2","104","11041","0","13","1301","0","0","0","4","12"
"14","1","103","11031","0","14","1401","0","0","0","1","13"
"15","2","102","11021","0","15","1501","0","0","0","1","14"
"16","3","1","10011","0","16","1601","0","0","0","1","15"
"17","2","104","11041","0","17","1701","0","0","0","4","16"
"18","3","50","10501","0","18","1801","0","0","0","2","17"
"19","4","101","11011","0","19","1901","0","0","0","3","18"
"20","3","100","11001","0","20","2001","0","0","0","2","19"
"21","2","104","11041","0","21","2101","0","0","0","4","20"
"22","1","1","10011","0","22","2201","0","0","0","3","21"
"23","3","100","11001","0","23","2301","0","0","0","2","22"
"24","2","101","11011","0","24","2401","0","0","0","2","23"
"25","3","104","11041","0","25","2501","0","0","0","4","24"
"26","4","50","10501","0","26","2601","0","0","0","3","25"
"27","3","52","10521","0","27","2701","0","0","0","3","26"
"28","1","50","10501","0","28","2801","0","0","0","1","27"
"29","2","104","11041","0","29","2901","0","0","0","4","28"
"30","1","51","10511","0","30","3001","0","0","0","3","29"
