5b82b1639adcede8c030d7854a6655675a4f2986d1217f0ee069612df0c4d785,f4a272843e821b885e3063369f88d317d3b2b027e9023c536ce5638827f7d2be,282d7e3433fa592519f0ae31bd1872f9a6271d718a0ada64dbf7839eed9dd071,428b65b1aabdb3c32812e170fae264cc1b1f03f058cdcd22effb6a1db6701f0b,922c3e41bb2723dad87b2187dacd7f0fdba7e4bdfd20d7c3f7927a67e9963896,1fe2bcfedd6b4109474d252c7aba8a6b36a38a3fbbccd4a00eb69c84bba699b3,385c4598bbc91c60950184d1f9cc0d2ee164c786c35620cef429c7dfcc037bb4,d29707ebbdb0a05e1b381b9a293b5b52b52e5ee7805dab55096d540e16259ed3,6635048a8c116f9f064f1dc92493961fc971868fbd0ba352ab4cc0a3b4a4612f,d4cb7df823a465c6431826c0912de67ffc55031ca8e1ccc5c5c47d6ac27435f3,28772e10e98f5a8239f736d52f8060c7c863bf6b5caa8eaca4854ba86b080fb8
"1","284001001","8","91002","10","2","25021","8","2","25014","31"
"2","284001002","8","91002","10","2","25021","8","2","25014","31"
"3","284001003","8","91002","10","2","25021","8","2","25014","32"
"4","284001004","8","91002","10","2","25021","8","2","25014","32"
"5","284001005","8","91002","10","2","25021","8","2","25014","33"
"6","284001006","8","91002","10","2","25021","9","2","25014","33"
"7","284001007","8","91002","10","2","25021","9","2","25014","34"
"8","284001008","8","91002","10","2","25021","9","2","25014","35"
"9","284001009","8","91002","10","2","25021","9","2","25014","35"
"10","284001010","8","91002","30","2","25021","10","2","25014","37"
"11","284001011","8","91002","10","2","25021","10","2","25014","41"
"12","284001012","8","91002","10","2","25021","11","2","25014","43"
"13","284001013","8","91002","10","2","25021","11","2","25014","46"
"14","284001014","8","91002","10","2","25021","12","2","25014","48"
"15","284001015","8","91002","10","2","25021","12","2","25014","50"
"16","284001016","8","91002","10","2","25021","13","2","25014","53"
"17","284001017","8","91002","10","2","25021","14","2","25014","55"
"18","284001018","8","91002","10","2","25021","14","2","25014","58"
"19","284001019","8","91002","10","2","25021","15","2","25014","60"
"20","284001020","8","91002","30","2","25021","15","2","25014","62"
"21","284001021","8","91002","10","2","25021","16","2","25014","68"
"22","284001022","8","91002","10","2","25021","16","2","25014","70"
"23","284001023","8","91002","10","2","25021","16","2","25014","72"
"24","284001024","8","91002","10","2","25021","17","2","25014","75"
"25","284001025","8","91002","10","2","25021","18","2","25014","77"
"26","284001026","8","91002","10","2","25021","18","2","25014","79"
"27","284001027","8","91002","10","2","25021","19","2","25014","82"
"28","284001028","8","91002","10","2","25021","19","2","25014","84"
"29","284001029","8","91002","10","2","25021","19","2","25014","86"
"30","284001030","8","91002","30","2","25021","20","2","25014","89"
"31","284001031","8","91002","10","2","25021","20","2","25014","94"
"32","284001032","8","91002","10","2","25021","21","2","25014","96"
"33","284001033","8","91002","10","2","25021","21","2","25014","99"
"34","284001034","8","91002","10","2","25021","22","2","25014","101"
"35","284001035","8","91002","10","2","25021","22","2","25014","103"
"36","284001036","8","91002","10","2","25021","23","2","25014","106"
"37","284001037","8","91002","10","2","25021","23","2","25014","108"
"38","284001038","8","91002","10","2","25021","24","2","25014","111"
"39","284001039","8","91002","10","2","25021","25","2","25014","113"
"40","284001040","8","91002","30","2","25021","25","2","25014","115"
"41","284001041","8","91002","10","2","25021","26","2","25014","121"
"42","284001042","8","91002","10","2","25021","27","2","25014","123"
"43","284001043","8","91002","10","2","25021","28","2","25014","125"
"44","284001044","8","91002","10","2","25021","28","2","25014","128"
"45","284001045","8","91002","10","2","25021","29","2","25014","130"
"46","284001046","8","91002","10","2","25021","30","2","25014","132"
"47","284001047","8","91002","10","2","25021","30","2","25014","135"
"48","284001048","8","91002","10","2","25021","31","2","25014","137"
"49","284001049","8","91002","10","2","25021","31","2","25014","139"
"50","284001050","8","91002","30","2","25021","31","2","25014","142"
