32bc70f537a72b911c632f4a0f29ab39e02b83b77d3e206b191c10024e6ff3a4,821ee82bc45b16c433ce57f59162256bb6da571809b2cc4e997a7b249277fd0f,1d9625a94cc8c3f97f2c0cf1bf0b8785a752c0d53db3ff590e38f82db7800050,2b6b789e0a2903030e6a3ecf0094f56cfbafcf7ced8ff133876ca0dc1eb10b0d,00d473f81dc065659d5fd7afaec03806483c27115df1e7266f24b59552129b6c,c9db1e84d0c852c4dbbaaeecf8dafc68767a8fd20c0fc44ea075bea3f33395ff,9228b42a12deeda67fe360872e65281d1c829db9d7a0693160ea4d9fd0e3c8c0,232d5ddd817aa282686f210308a084a1c825bcbd0ba5ce88700e32e3681820e5,aa98f894fb6058ccb1ff4f82f4343a0cf07f3566b6db4c19738a3f3cb1bf3c5e,a5cbd017dbd7bbb2a9c0979b7de0d1bf0f5bc51a68cf7bbc0f67268575110b9a
"101","111","0","0","0","0","2","25101","3","5000000"
"201","211","0","0","0","0","2","25101","3","5000000"
"301","311","0","0","0","0","2","25101","2","5500000"
"401","411","0","0","0","0","2","25101","2","5500000"
"501","511","0","0","0","0","2","25101","3","6000000"
"601","611","0","0","0","0","2","25101","2","6000000"
"701","711","0","0","0","0","2","25101","2","6500000"
"801","811","0","0","0","0","2","25101","2","6500000"
"901","911","0","0","0","0","2","25101","3","7000000"
"1001","1011","0","0","0","0","2","25101","2","7000000"
"1101","1111","1112","0","0","0","2","25101","2","7500000"
"1201","1211","1212","0","0","0","2","25101","2","7500000"
"1301","1311","0","0","0","0","2","25101","3","8000000"
"1401","1411","0","0","0","0","2","25101","2","8000000"
"1501","1511","0","0","0","0","2","25101","2","8500000"
"1601","1611","0","0","0","0","2","25101","2","8500000"
"1701","1711","0","0","0","0","2","25101","3","9000000"
"1801","1811","1812","0","0","0","2","25101","2","9000000"
"1901","1911","0","0","0","0","2","25101","2","9500000"
"2001","2011","0","0","0","0","2","25101","2","9500000"
"2101","2111","0","0","0","0","2","25101","3","10000000"
"2201","2211","0","0","0","0","2","25101","2","10000000"
"2301","2311","0","0","0","0","2","25101","2","10500000"
"2401","2411","0","0","0","0","2","25101","2","10500000"
"2501","2511","0","0","0","0","2","25101","3","11000000"
"2601","2611","2612","0","0","0","2","25101","2","11000000"
"2701","2711","2712","0","0","0","2","25101","2","11500000"
"2801","2811","2812","0","0","0","2","25101","2","11500000"
"2901","2911","0","0","0","0","2","25101","3","12000000"
"3001","3011","3012","0","0","0","2","25101","2","12000000"
"3101","3111","0","0","0","0","2","25101","2","12500000"
"3201","3211","0","0","0","0","2","25101","2","12500000"
"3301","3311","0","0","0","0","2","25101","3","13000000"
