bb78e467830d53ef5b3c456e2adea48bb0e10e11de3943e9fbdbb51abd6a5881,d90a4daba8110ff477733702f3c13b1d4b5bc9abf8ecdb326bd3c7308e4e39c0,206c37e7165fd9fa08d1159826a7319c7847d2fe8d8d88f1b437c3113e491cb2,678d790b5ed99aa6ae8359fc07de2b7f7c33228b07e964a19638f9f1b609fb92
"2500","1","1","1"
"2000","2","1","2"
"2000","3","1","107"
"2000","4","1","4"
"1000","5","1","3"
"1000","6","1","110"
"1000","7","1","5"
"2000","8","1","6"
"2000","9","1","105"
"2000","10","1","7"
"0","11","3","1000"
"20","12","1","100"
"1000","13","1","108"
"20","14","1","101"
"5","15","1","102"
"1000","16","1","109"
"5","17","1","103"
"500","18","1","1"
"0","19","2","2000"
"500","20","1","1"
"0","21","5","25"
"3000","22","1","2"
"3000","23","1","107"
"3000","24","1","4"
"1500","25","1","3"
"1500","26","1","110"
"1500","27","1","5"
"3000","28","1","6"
"3000","29","1","105"
"3000","30","1","7"
"0","31","6","1"
"30","32","1","100"
"1500","33","1","108"
"30","34","1","101"
"10","35","1","102"
"1500","36","1","109"
"10","37","1","103"
"500","38","1","1"
"0","39","2","3000"
"500","40","1","1"
"0","41","4","50"
