e9b2b104dc124dedcfe4291b1083ea5cccf670cb5294abc9bdf67a9466cfdfed,00a38345165fa04652e53cc16a0209ac38de973e03dc2ed22488ca420782fe49,844cb206c8e6f0e86b99e62538a0588a90dea0d886a3812394335140ab75829f,6ab50524cf4abd36082cd74595c51d58e6dd044933e7b0049a23dc29acbdcbd0,fc742d7e52f6918f3862e353255e2634f69e35e39da3a3b97ab0eddeab1bce22
"803100201","0","3","3001","1"
"803100202","0","3","3001","2"
"803100203","0","3","3001","3"
"803100204","0","3","3002","1"
"803100205","0","3","3002","2"
"803100206","0","3","3002","3"
"803100207","0","3","3003","1"
"803100208","0","3","3003","2"
"803100209","0","3","3003","3"
"803100210","0","3","3004","1"
"803100211","0","3","3004","2"
"803100212","0","3","3004","3"
"803100213","0","3","3005","1"
"803100214","0","3","3005","2"
"803100215","0","3","3005","3"
"803100216","0","3","3006","1"
"803100217","0","3","3006","2"
"803100218","0","3","3006","3"
"803100219","0","3","3007","1"
"803100220","0","3","3007","2"
"803100221","0","3","3007","3"
"805100113","0","4","4001","1"
"805100114","0","4","4001","2"
"805100115","0","4","4001","3"
"805100107","0","4","4002","1"
"805100108","0","4","4002","2"
"805100109","0","4","4002","3"
"805100110","0","4","4003","1"
"805100111","0","4","4003","2"
"805100112","0","4","4003","3"
"805100104","0","4","4004","1"
"805100105","0","4","4004","2"
"805100106","0","4","4004","3"
"805100101","0","4","4005","1"
"805100102","0","4","4005","2"
"805100103","0","4","4005","3"
"805100116","0","4","4006","1"
"805100117","0","4","4006","2"
"805100118","0","4","4006","3"
