c3024e72cf49de396a61f4a4336751fc854dea77d8d2e29c6b6788773c44e884,61ad3ca96f01a4a0932c25f574b4f6e04f3b39e76429b54ea33d75fe8d8f13fb,807850de83f1bc4e18be830c4a7c185278e09f0eff83f57381b22e8f8ce416c6,436aa13d6b82ef5fb19a9d5c9dbe1e39039d967b4cd467aacfe63a58b465fcd6,c0c667867a789a8ee623addf0be2e32a6b676fce9e9521749926a32b8fb2b8cb,644a46d77a6ddba9a28161d8a3c19fbaab05c3a27bd55fdbfa25b3bfa0795e94
"10","2","1","500","1","10"
"20","3","1","500","1","10"
"30","4","1","500","1","10"
"40","5","1","500","1","10"
"50","6","1","500","1","10"
"60","7","1","500","1","10"
"70","8","1","500","1","10"
"80","9","1","500","1","10"
"90","10","1","500","1","10"
"105","11","1","500","1","15"
"120","12","1","500","1","15"
"135","13","1","500","1","15"
"150","14","1","500","1","15"
"165","15","1","500","1","15"
"180","16","1","500","1","15"
"195","17","1","500","1","15"
"210","18","1","500","1","15"
"225","19","1","500","1","15"
"240","20","1","500","1","15"
"265","21","1","500","1","25"
"290","22","1","500","1","25"
"315","23","1","500","1","25"
"340","24","1","500","1","25"
"365","25","1","500","1","25"
"390","26","1","500","1","25"
"415","27","1","500","1","25"
"440","28","1","500","1","25"
"465","29","1","500","1","25"
"490","30","1","500","1","25"
"530","31","1","500","2","40"
"570","32","1","500","2","40"
"610","33","1","500","2","40"
"650","34","1","500","2","40"
"690","35","1","500","2","40"
"730","36","1","500","2","40"
"770","37","1","500","2","40"
"810","38","1","500","2","40"
"850","39","1","500","2","40"
"890","40","1","500","2","40"
"940","41","1","500","2","50"
"990","42","1","500","2","50"
"1040","43","1","500","2","50"
"1090","44","1","500","2","50"
"1140","45","1","500","2","50"
"1190","46","1","500","2","50"
"1240","47","1","500","2","50"
"1290","48","1","500","2","50"
"1340","49","1","500","2","50"
"1390","50","1","500","2","50"
"1450","51","1","500","3","60"
"1510","52","1","500","3","60"
"1570","53","1","500","3","60"
"1630","54","1","500","3","60"
"1690","55","1","500","3","60"
"1750","56","1","500","3","60"
"1810","57","1","500","3","60"
"1870","58","1","500","3","60"
"1930","59","1","500","3","60"
"1990","60","1","500","3","60"
"2065","61","1","600","3","75"
"2140","62","1","600","3","75"
"2215","63","1","600","3","75"
"2290","64","1","600","3","75"
"2365","65","1","600","3","75"
"2440","66","1","600","3","75"
"2515","67","1","600","3","75"
"2590","68","1","600","3","75"
"2665","69","1","600","3","75"
"2740","70","1","600","3","75"
"2840","71","1","600","4","100"
"2940","72","1","600","4","100"
"3040","73","1","600","4","100"
"3140","74","1","600","4","100"
"3240","75","1","600","4","100"
"3340","76","1","600","4","100"
"3440","77","1","600","4","100"
"3540","78","1","600","4","100"
"3640","79","1","600","4","100"
"3740","80","1","600","4","100"
"3865","81","1","600","4","125"
"3990","82","1","600","4","125"
"4115","83","1","600","4","125"
"4240","84","1","600","4","125"
"4365","85","1","600","4","125"
"4490","86","1","600","4","125"
"4615","87","1","600","4","125"
"4740","88","1","600","4","125"
"4865","89","1","600","4","125"
"4990","90","1","600","4","125"
"5140","91","1","600","5","150"
"5290","92","1","600","5","150"
"5440","93","1","600","5","150"
"5590","94","1","600","5","150"
"5740","95","1","600","5","150"
"5890","96","1","600","5","150"
"6040","97","1","600","5","150"
"6190","98","1","600","5","150"
"6340","99","1","600","5","150"
"6490","100","1","600","5","150"
"6665","101","1","600","5","175"
"6840","102","1","600","5","175"
"7015","103","1","600","5","175"
"7190","104","1","600","5","175"
"7365","105","1","600","5","175"
"7540","106","1","600","5","175"
"7715","107","1","600","5","175"
"7890","108","1","600","5","175"
"8065","109","1","600","5","175"
"8240","110","1","600","5","175"
"8440","111","1","600","6","200"
"8640","112","1","600","6","200"
"8840","113","1","600","6","200"
"9040","114","1","600","6","200"
"9240","115","1","600","6","200"
"9440","116","1","600","6","200"
"9640","117","1","600","6","200"
"9840","118","1","600","6","200"
"10040","119","1","600","6","200"
"10240","120","1","600","6","200"
"10465","121","1","600","6","225"
"10690","122","1","600","6","225"
"10915","123","1","600","6","225"
"11140","124","1","600","6","225"
"11365","125","1","600","6","225"
"11590","126","1","600","6","225"
"11815","127","1","600","6","225"
"12040","128","1","600","6","225"
"12265","129","1","600","6","225"
"12490","130","1","600","6","225"
"12740","131","1","600","7","250"
"12990","132","1","600","7","250"
"13240","133","1","600","7","250"
"13490","134","1","600","7","250"
"13740","135","1","600","7","250"
"13990","136","1","600","7","250"
"14240","137","1","600","7","250"
"14490","138","1","600","7","250"
"14740","139","1","600","7","250"
"14990","140","1","600","7","250"
"15240","141","1","600","8","250"
"15490","142","1","600","8","250"
"15740","143","1","600","8","250"
"15990","144","1","600","8","250"
"16240","145","1","600","8","250"
"16490","146","1","600","8","250"
"16740","147","1","600","8","250"
"16990","148","1","600","8","250"
"17240","149","1","600","8","250"
"17490","150","1","600","8","250"
"17740","151","1","600","9","250"
"17990","152","1","600","9","250"
"18240","153","1","600","9","250"
"18490","154","1","600","9","250"
"18740","155","1","600","9","250"
"18990","156","1","600","9","250"
"19240","157","1","600","9","250"
"19490","158","1","600","9","250"
"19740","159","1","600","9","250"
"19990","160","1","600","9","250"
"20240","161","1","600","10","250"
"20490","162","1","600","10","250"
"20740","163","1","600","10","250"
"20990","164","1","600","10","250"
"21240","165","1","600","10","250"
"21490","166","1","600","10","250"
"21740","167","1","600","10","250"
"21990","168","1","600","10","250"
"22240","169","1","600","10","250"
"22490","170","1","600","10","250"
"22740","171","1","600","11","250"
"22990","172","1","600","11","250"
"23240","173","1","600","11","250"
"23490","174","1","600","11","250"
"23740","175","1","600","11","250"
"23990","176","1","600","11","250"
"24240","177","1","600","11","250"
"24490","178","1","600","11","250"
"24740","179","1","600","11","250"
"24990","180","1","600","11","250"
"25240","181","1","600","12","250"
"25490","182","1","600","12","250"
"25740","183","1","600","12","250"
"25990","184","1","600","12","250"
"26240","185","1","600","12","250"
"26490","186","1","600","12","250"
