7d4be39a43c64cd0b318145d6e58ecf3f0fd2c15823c91644722d93c08ea7fa4,8ad1f0504f8c64900663016145f9090b7c4f82566759150b40121490387bf144,9c6a3c20053d21b81807526222563b30d847bd69eb7d32033e9c3bc0858dc222,202ed8e47a4d142f9258fe3468d3bd429da4789badca20e2638cab8818082560,6803abe71870f8e3faea42e01f4dbd46a9f218e7babfdc3631ddcc012f05903e,1b4c5664bda7d6298da7ecf4ea1b45db916ed11e0931f48d11cd40f07a26e014,3e26b9dc8513e0372af55aeeb1243aee716357003a4fc785c692be94066c7b47,b419245fdb7b25efdb7a254310c326ba2f21003c546f2190f4a9a87957295619,2175e2574dc74da0b321b698b2c4f627c2f94c13c2b09746fcf542e9a9bf43c9,30e65fe261b50bf10fbef98175cdf9b5455f557220b36ec14e6145be139f1afc,ebd0ca61095503e878bab712a79e55cdbe2938689d57a8eb9ffaf8f13047c857,55c34870e09ff5c3296e74299649822180d86afd9a8271a3792194531300c007
"若さと微熱","91002","100201","10074","0","1007401","20","8","ユイのカルテ　その１","2021/08/31 12:00:00","0","20041106"
"この胸の高鳴りを","91002","100201","10074","1007401","1007402","20","8","ユイのカルテ　その２","2021/08/31 12:00:00","0","20041112"
"狂おしき病の名は","91002","100201","10074","1007402","1007403","30","8","ユイのカルテ　その３","2021/09/02 5:00:00","0","20041115"
"予期せぬ来訪者","91002","111001","10074","0","1007404","20","8","ユニのカルテ　その１","2021/08/31 12:00:00","0","20041106"
"お薬の時間","91002","111001","10074","1007404","1007405","20","8","ユニのカルテ　その２","2021/08/31 12:00:00","0","20041112"
"親愛なるあなたへ","91002","111001","10074","1007405","1007406","30","8","ユニのカルテ　その３","2021/09/03 5:00:00","0","20041115"
"奇妙な外来患者","91002","102501","10074","0","1007407","20","8","スズメのカルテ　その１","2021/08/31 12:00:00","0","20041108"
"恐るべき症例","91002","102501","10074","1007407","1007408","20","8","スズメのカルテ　その２","2021/08/31 12:00:00","0","20041114"
"現代医学の限界","91002","102501","10074","1007408","1007409","30","8","スズメのカルテ　その３","2021/09/04 5:00:00","0","20041115"
"夜を統べる者の受難","91002","104401","10074","0","1007410","20","8","イリヤのカルテ　その１","2021/08/31 12:00:00","0","20041108"
"美しきプロデュース","91002","104401","10074","1007410","1007411","20","8","イリヤのカルテ　その２","2021/08/31 12:00:00","0","20041114"
"麗しのレッスン","91002","104401","10074","1007411","1007412","30","8","イリヤのカルテ　その３","2021/09/05 5:00:00","0","20041115"
"見えない敵","91002","100901","10074","0","1007413","20","8","アンナのカルテ　その１","2021/08/31 12:00:00","0","20041110"
"封じられた魔法","91002","100901","10074","1007413","1007414","20","8","アンナのカルテ　その２","2021/08/31 12:00:00","2004101","0"
"隻眼の悪魔の特別診療","91002","100901","10074","1007414","1007415","30","8","アンナのカルテ　その３","2021/09/06 5:00:00","2004101","0"
"スカルサプライズ","91002","103101","10074","0","1007416","20","8","シノブのカルテ　その１","2021/08/31 12:00:00","0","20041110"
"迷える少女に救いの手を","91002","103101","10074","1007416","1007417","30","8","シノブのカルテ　その２","2021/09/01 5:00:00","2004101","0"
