67d6302bd51fe11cc0843b07010da284ba485881c95a13abb7436833d3442c88,7155f4493fc526bc9485f995154bc8d9d8f356a4c57126f382a7836a07391aac,f8036a3b29c32f5d4e5f4be77620a7e280f12edee2cbac47bc5e97d65742ff80,0e30c6ba4c23b0880eeffd6d9c89f7a2652db13ba3f5929a79b67d4db947dcf7,beae52db5dcc24a9b95046b23bf38660329d162e3ec7dbe520927f874b5ec02f,bdef7ac45016352bca718d44755d80a9150fc6a994c3bed1cdf0bc21e4baf211,1592279472b850c6e46fb43fbb501fce6b44c93b11da726268436dc733ccb2ea,e9ec4f095cbbf2bf329fd10fadd29b0d8cfac097c689a567d5a12d1e636507d6,da43df06a7edac3651929a277feb40d1e154416598086d56ca798e77829f4dbb,91dee4ef9b93d3454b27541e9c52f32614ff0d3daa637fbc0d7afd4c3eaf3ede,d8c65f0f6b8429ef154152a6183fb97b8f190ec677097f6311368acc0aba6ca4,8d8950c1f6d2201d3736d12aec8734fa73f53f83cb3567f1bd3556276175a51e,dbd8f666f33c4b73dd4460da3dcb05672e40bb5729bb053a9e27b9f529dcfbef
"攻撃力を15％アップさせ、攻撃速度を10％\nアップさせる。","攻撃力と攻撃速度を小アップ","0","130011","10000101","2210101","0","0","0","ヤマト","2","0","100001"
"最大HPを15％アップさせ、攻撃速度を10％\nアップさせる。","最大HPと攻撃速度を小アップ","0","130111","10000201","2210201","0","0","0","ワカナ","2","0","100002"
"バトル開始から３秒間、敵の移動速度と攻撃\n速度を15%ダウンさせる。","敵の移動速度と攻撃速度を小ダウン","0","130211","0","2210301","0","0","0","フブキ","2","0","100003"
"最大HPを25％アップさせる。","最大HPを中アップ","1","105811","10000401","0","0","0","0","ペコリーヌ","2","0","100004"
"バトル開始から３秒間、敵の移動速度を25％\nダウンさせる。","敵の移動速度を中ダウン","2","106011","0","2210501","0","0","0","キャル","2","0","100005"
"コスト上限を50％アップさせる。","コスト上限を大アップ","3","105911","10000601","0","0","0","0","コッコロ","2","0","100006"
"移動速度を25％アップさせる。","移動速度を中アップ","4","106411","0","2210701","0","0","0","シェフィ","3","0","100007"
"攻撃力を15％アップさせ、移動速度を10％\nアップさせる。","攻撃力と移動速度を小アップ","5","131311","10000801","2210801","0","0","0","リリ","2","0","100008"
"最大HPを15％アップさせ、移動速度を10％\nアップさせる。","最大HPと移動速度を小アップ","6","131411","10000901","2210901","0","0","0","クリア","2","0","100009"
"コスト上限を25％アップさせ、移動速度を\n10％アップさせる。","コスト上限と移動速度を小アップ","7","131511","10001001","2211001","0","0","0","プレシア","2","0","100010"
"攻撃力を10％アップさせ、バトル開始から\n３秒間、攻撃速度を15％アップさせる。","攻撃力と攻撃速度を小アップ","8","126411","10001101","2211101","0","0","0","クローチェ","2","0","100011"
"バトル開始から３秒間、攻撃力を25％アップ\nさせる。","攻撃力を中アップ","9","126511","0","2211201","0","0","0","ライラエル","3","0","100012"
"バトル開始から３秒間、攻撃速度を10％アッ\nプさせ、その後、攻撃力を25％アップさせる。","攻撃速度と攻撃力をアップ","10","127711","0","2211301","0","0","0","リンド","2","0","100013"
"バトル開始から３秒間、自分の攻撃速度を\n10％ダウンさせ、その後、敵の攻撃力を25％\nダウンさせる。","自分の攻撃速度と敵の攻撃力をダウン","11","127811","0","2211401","0","0","0","ヴルム","2","0","100014"
"コスト上限を25％アップさせ、HPを15％\nアップさせる。","コスト上限とHPを小アップ","12","130911","10001501","0","0","10001502","0","クルル","3","0","100015"
"敵の攻撃力と攻撃速度を10％ダウンさせる。","相手の攻撃力と攻撃速度を小ダウン","13","129611","0","2211601","0","0","0","アネモネ","2","0","100016"
"バトル開始から1.5秒間、敵の移動速度を\n50％ダウンさせる。","相手の移動速度を大ダウン","14","129711","0","2211701","0","0","0","ネフィ＝ネラ","3","0","100017"
"残りHPが50％以下になった時に発動する。\n３秒間斬撃を飛ばして、大ダメージを与える。","敵に斬撃を飛ばして攻撃する","0","130011","0","3110101","0","0","1","ヤマト","1","0","101001"
"残りHPが70％以下になった時に発動する。\nスパイク・ブラザーズが出現し、敵に衝突\nすると小ダメージを与え、吹き飛ばす。","スパイク・ブラザーズが敵を弾き飛ばす","0","130111","0","3110201","0","0","1","ワカナ","1","0","101002"
"バトル開始から３秒後に発動する。\n敵の移動と攻撃を１秒間封じる。","敵の移動と攻撃を１秒間封じる","0","130211","0","2110301","0","0","1","フブキ","1","0","101003"
"最大HPを15％アップさせる。","最大HPをアップ","0","105811","20101001","0","0","0","1","ペコリーヌ","2","0","201010"
"バトル開始から３秒間、敵の移動速度を15％\nダウンさせる。","敵の移動速度をダウン","0","106011","0","2220201","0","0","1","キャル","2","0","201020"
"コスト上限を50％アップさせる。","コスト上限をアップ","0","105911","20103001","0","0","0","1","コッコロ","2","0","201030"
"移動速度を15％アップさせる。","移動速度をアップ","0","106411","0","2220401","0","0","1","シェフィ","3","0","201040"
"攻撃力を25％アップさせ、移動速度を10％\nアップさせる。","攻撃力と移動速度をアップ","0","131311","20105001","2220501","0","0","1","リリ","2","0","201050"
"最大HPを25％アップさせ、移動速度を10％\nアップさせる。","最大HPと移動速度をアップ","0","131411","20106001","2220601","0","0","1","クリア","2","0","201060"
"コスト上限を25％アップさせ、移動速度を\n10％アップさせる。","コスト上限と移動速度をアップ","0","131511","20107001","2220701","0","0","1","プレシア","2","0","201070"
"攻撃力を25％アップさせ、バトル開始から\n３秒間、攻撃速度を15％アップさせる。","攻撃力と攻撃速度をアップ","0","126411","20108001","2220801","0","0","1","クローチェ","2","0","201080"
"バトル開始から３秒間、攻撃力を25％アップ\nさせる。","攻撃力をアップ","0","126511","0","2220901","0","0","1","ライラエル","3","0","201090"
"バトル開始から３秒間、攻撃速度を10％アッ\nプさせ、その後、攻撃力を15％アップさせる。","攻撃速度と攻撃力をアップ","0","127711","0","2221001","0","0","1","リンド","2","0","201100"
"バトル開始から３秒間、自分の攻撃速度を10\n％ダウンさせ、その後、敵の攻撃力を15％ダ\nウンさせる。","自分の攻撃速度と敵の攻撃力をダウン","0","127811","0","2221101","0","0","1","ヴルム","2","0","201110"
"コスト上限を25％アップさせ、HPを50％\nアップさせる。","コスト上限とHPをアップ","0","130911","20112001","0","0","20112002","1","クルル","3","0","201120"
"敵の攻撃力と攻撃速度を10％ダウンさせる。","相手の攻撃力と攻撃速度をダウン","0","129611","0","2221301","0","0","1","アネモネ","2","0","201130"
"バトル開始から1.5秒間、敵の移動速度を\n25％ダウンさせる。","相手の移動速度をダウン","0","129711","0","2221401","0","0","1","ネフィ＝ネラ","3","0","201140"
"最大HPを30％アップさせる。","最大HPをアップ","0","105811","20115001","0","0","0","1","ペコリーヌ","2","0","201150"
"バトル開始から３秒間、敵の移動速度を20％\nダウンさせる。","敵の移動速度をダウン","0","106011","0","2221601","0","0","1","キャル","2","0","201160"
"コスト上限を75％アップさせる。","コスト上限をアップ","0","105911","20117001","0","0","0","1","コッコロ","2","0","201170"
"移動速度を20％アップさせる。","移動速度をアップ","0","106411","0","2221801","0","0","1","シェフィ","3","0","201180"
"攻撃力を50％アップさせ、移動速度を15％\nアップさせる。","攻撃力と移動速度をアップ","0","131311","20119001","2221901","0","0","1","リリ","2","0","201190"
"最大HPを50％アップさせ、移動速度を15％\nアップさせる。","最大HPと移動速度をアップ","0","131411","20120001","2222001","0","0","1","クリア","2","0","201200"
"コスト上限を30％アップさせ、移動速度を\n15％アップさせる。","コスト上限と移動速度をアップ","0","131511","20121001","2222101","0","0","1","プレシア","2","0","201210"
"攻撃力を50％アップさせ、バトル開始から\n３秒間、攻撃速度を20％アップさせる。","攻撃力と攻撃速度をアップ","0","126411","20122001","2222201","0","0","1","クローチェ","2","0","201220"
"バトル開始から３秒間、攻撃力を30％アップ\nさせる。","攻撃力をアップ","0","126511","0","2222301","0","0","1","ライラエル","3","0","201230"
"バトル開始から３秒間、攻撃速度を15％アッ\nプさせ、その後、攻撃力を20％アップさせる。","攻撃速度と攻撃力をアップ","0","127711","0","2222401","0","0","1","リンド","2","0","201240"
"バトル開始から３秒間、自分の攻撃速度を10\n％ダウンさせ、その後、敵の攻撃力を20％ダ\nウンさせる。","自分の攻撃速度と敵の攻撃力をダウン","0","127811","0","2222501","0","0","1","ヴルム","2","0","201250"
"コスト上限を30％アップさせ、HPを50％\nアップさせる。","コスト上限とHPをアップ","0","130911","20126001","0","0","20126002","1","クルル","3","0","201260"
"敵の攻撃力と攻撃速度を15％ダウンさせる。","相手の攻撃力と攻撃速度をダウン","0","129611","0","2222701","0","0","1","アネモネ","2","0","201270"
"バトル開始から1.5秒間、敵の移動速度を\n35％ダウンさせる。","相手の移動速度をダウン","0","129711","0","2222801","0","0","1","ネフィ＝ネラ","3","0","201280"
"攻撃力を50％アップさせ、移動速度を20％\nアップさせる。","攻撃力と移動速度をアップ","0","131311","20129001","2222901","0","0","1","リリ","2","0","201290"
"バトル開始から３秒間、攻撃速度を20％アッ\nプさせ、その後、攻撃力を50％アップさせる。","攻撃速度と攻撃力をアップ","0","127711","0","2223001","0","0","1","リンド","2","0","201300"
"最大HPを50％アップさせる。","最大HPをアップ","0","105811","20131001","0","0","0","1","ペコリーヌ","2","0","201310"
"バトル開始から３秒間、敵の移動速度を25％\nダウンさせる。","敵の移動速度をダウン","0","106011","0","2223201","0","0","1","キャル","2","0","201320"
"コスト上限を100％アップさせる。","コスト上限をアップ","0","105911","20133001","0","0","0","1","コッコロ","2","0","201330"
"移動速度を25％アップさせる。","移動速度をアップ","0","106411","0","2223401","0","0","1","シェフィ","3","0","201340"
"攻撃力を50％アップさせ、移動速度を20％\nアップさせる。","攻撃力と移動速度をアップ","0","131311","20135001","2223501","0","0","1","リリ","2","0","201350"
"最大HPを50％アップさせ、移動速度を20％\nアップさせる。","最大HPと移動速度をアップ","0","131411","20136001","2223601","0","0","1","クリア","2","0","201360"
"コスト上限を50％アップさせ、移動速度を\n20％アップさせる。","コスト上限と移動速度をアップ","0","131511","20137001","2223701","0","0","1","プレシア","2","0","201370"
"攻撃力を50％アップさせ、バトル開始から\n３秒間、攻撃速度を25％アップさせる。","攻撃力と攻撃速度をアップ","0","126411","20138001","2223801","0","0","1","クローチェ","2","0","201380"
"バトル開始から３秒間、攻撃力を35％アップ\nさせる。","攻撃力をアップ","0","126511","0","2223901","0","0","1","ライラエル","3","0","201390"
"バトル開始から３秒間、攻撃速度を20％アッ\nプさせ、その後、攻撃力を25％アップさせる。","攻撃速度と攻撃力をアップ","0","127711","0","2224001","0","0","1","リンド","2","0","201400"
"バトル開始から３秒間、自分の攻撃速度を10\n％ダウンさせ、その後、敵の攻撃力を25％ダ\nウンさせる。","自分の攻撃速度と敵の攻撃力をダウン","0","127811","0","2224101","0","0","1","ヴルム","2","0","201410"
"コスト上限を50％アップさせ、HPを50％\nアップさせる。","コスト上限とHPをアップ","0","130911","20142001","0","0","20142002","1","クルル","3","0","201420"
"敵の攻撃力と攻撃速度を20％ダウンさせる。","相手の攻撃力と攻撃速度をダウン","0","129611","0","2224301","0","0","1","アネモネ","2","0","201430"
"バトル開始から1.5秒間、敵の移動速度を\n75％ダウンさせる。","相手の移動速度をダウン","0","129711","0","2224401","0","0","1","ネフィ＝ネラ","3","0","201440"
"最大HPを100％アップさせる。","最大HPをアップ","0","105811","20145001","0","0","0","1","ペコリーヌ","2","0","201450"
"コスト上限を100％アップさせる。","コスト上限をアップ","0","105911","20146001","0","0","0","1","コッコロ","2","0","201460"
"攻撃力を75％アップさせ、移動速度を30％\nアップさせる。","攻撃力と移動速度をアップ","0","131311","20147001","2224701","0","0","1","リリ","2","0","201470"
"バトル開始から３秒間、攻撃力を75％アップ\nさせる。","攻撃力をアップ","0","126511","0","2224801","0","0","1","ライラエル","3","0","201480"
"バトル開始から1.5秒間、敵の移動速度を\n90％ダウンさせる。","相手の移動速度をダウン","0","129711","0","2224901","0","0","1","ネフィ＝ネラ","3","0","201490"
"最大HPを200％アップさせる。","最大HPをアップ","0","105811","20150001","0","0","0","1","ペコリーヌ","2","0","201500"
