a06edac2615108894f5117c41ba44a9f1090c0d0959eec2d6c41b6a739280184,2e5424f9c91a94b8a09b08a9d58ed1c5db5704679dfdac2a05038f6c65aa90b2,16b2ab5d31a0689507df55873563eca67ec16521f72fac025b4bc889c2f03748,bcaeb18f418a5bc472016222c65ea54f0ba0d8486f82001d70dc3d0240d795c5,6515b37748b1674ae54c0e2d9c3823232c3672a837e440fbd56aaa843c636d51,680dc5db969ff1961674317231596ad2fd54d71ad4528c90d1ff61fe98dab8e4,9d9dead414d2fbf7be2f19d8b62b0cd47b883def1ef8c796c3be3fbe298b3a17,2a3ccff24c822a011a7be5137a3b856db022702b026fd783d77375126585cbb6,80a154bb222efb4d3ca4f8fd930e843bf5f4d9bcb93d7e2e0096b5d66b1ee806,44507bd86f8233f0b35f404084856fd0cebce4676893ae94365b858028cc02ec
"53003","2","","15","22","2","3","-1","8","10001"
"53003","1","","1","22","1","3","14","5","10002"
"52019","0","ワカナの施し","0","23","0","3","0","2","10003"
"53003","2","","15","22","2","4","-1","8","10004"
"53003","1","","1","22","1","4","14","5","10005"
"52019","0","ワカナの施し","0","23","0","4","0","2","10006"
"53003","2","","15","22","2","5","-1","8","10007"
"53003","1","","1","22","1","5","14","5","10008"
"52019","0","ワカナの施し","0","23","0","5","0","2","10009"
"53003","2","","15","22","2","6","-1","8","10010"
"53003","1","","1","22","1","6","14","5","10011"
"52019","0","ワカナの施し","0","23","0","6","0","2","10012"
"53003","2","","15","22","2","7","-1","8","10013"
"53003","1","","1","22","1","7","14","5","10014"
"52019","0","ワカナの施し","0","23","0","7","0","2","10015"
"53003","2","","15","22","2","8","-1","8","10016"
"53003","1","","1","22","1","8","14","5","10017"
"52019","0","ワカナの施し","0","23","0","8","0","2","10018"
