97139c05f059a4b7ec4eda788006e22f958fc92ccbb6f3d695bad1fc6842c60d,d0a8f45d8663eb123821fd285cb88d22d361b7c411f115dc0a1f781ceddfba1e,684c8986f2229a1dcfc7f2dfd7fae7a39c505cb894152182c73f15b805965529,2f7bfa6976fedc68b57ed06070683f6f77d2ecdec978ca7101c49223360f6075,2c723ae570af34f7c18ab17c57eb76086d5e53bb210135fa30acc27d7c6f0e8b,4a0f5b43cbdee2769363aae73a51582f4253fc963eced06ec1dad3eb1dbdbbe3,915da714feac8d821062c3a80658aa35f475a2fc97cc7616285a9b6d6e561b48,50fceb3788b4193ba87dd38ae095d8d469d35b7b514f4c140e43003b0e360b4c,e727f107a615d2517ce4c4f0b9ddb71a61a5aaaf3299bcfb53458fd3f683edc1,cc494037f4f4e631c272b7d6fc8f0e55ed3dcc6b5d2f7f3c483ea1a8017db0b1,5b5e9612560954be4525987fd41b9c044e083ec10a60c0464370713cfa394e76,b2736e46349ef0aa2c9f0a282c895244fcf92fd11446159a8f67c73f567a5292,ab6bacabb2cb044fcb6640eaa28df3924b6700d992e3a6bca86ca95bb61d03dd,98e7856cea35f46ac924e754955e04e123ee63f7ac12f6c07953121f1c366632,d6786f7bcf8adb5e2f871e34ee6c4443ea4ec74f811287dffcbea3d4dba22a40
"2001","1","0","2","7","20011","0","20012","0","0","40001","0","0","1","1"
"2002","1","0","2","7","20021","0","20022","0","0","40001","0","0","1","1"
"2003","1","0","2","7","20031","0","20032","0","0","40001","0","0","1","1"
"2004","1","0","2","7","20041","0","20042","0","0","40001","0","0","1","1"
"2005","1","0","2","7","20051","0","20052","0","0","40001","0","0","1","1"
"2006","1","0","2","7","20061","0","20062","0","0","40001","0","0","1","1"
"2007","1","0","2","7","20071","0","20072","0","0","40001","0","0","1","1"
"2008","1","0","2","7","20081","0","20082","0","0","40001","0","0","1","1"
"2009","1","0","2","7","20091","0","20092","0","0","40001","0","0","1","1"
"2010","1","0","2","7","20101","0","20102","0","0","40001","0","0","1","1"
"2011","1","0","2","7","20111","0","20112","0","0","40001","0","0","1","1"
"2012","1","0","2","7","20121","0","20122","0","0","40001","0","0","1","1"
"2013","1","0","2","7","20131","0","20132","0","0","40001","0","0","1","1"
"2014","1","0","2","7","20141","0","20142","0","0","40001","0","0","1","1"
"2015","1","0","2","7","20151","0","20152","0","0","40001","0","0","1","1"
"2016","1","0","2","7","20161","0","20162","0","0","40001","0","0","1","1"
"2017","1","0","2","7","20171","0","20172","0","0","40001","0","0","1","1"
"2018","1","0","2","7","20181","0","20182","0","0","40001","0","0","1","1"
"2019","1","0","2","7","20191","0","20192","0","0","40001","0","0","1","1"
"2020","1","0","2","7","20201","0","20202","0","0","40001","0","0","1","1"
"2021","1","0","2","7","20211","0","20212","0","0","40001","0","0","1","1"
"2022","1","0","2","7","20221","0","20222","0","0","40001","0","0","1","1"
"2023","1","0","2","7","20231","0","20232","0","0","40001","0","0","1","1"
"2024","1","0","2","7","20241","0","20242","0","0","40001","0","0","1","1"
"2025","1","0","2","7","20251","0","20252","0","0","40001","0","0","1","1"
"2026","1","0","2","7","20261","0","20262","0","0","40001","0","0","1","1"
"2027","1","0","2","7","20271","0","20272","0","0","40001","0","0","1","1"
"2028","1","0","2","7","20281","0","20282","0","0","40001","0","0","1","1"
"3001","1","0","1","7","30011","0","30012","40","0","40001","0","0","1","1"
"3002","1","0","1","7","30021","0","30022","40","0","40001","0","0","1","5"
"3003","1","0","1","7","30031","0","30032","40","0","40001","0","0","1","6"
"3004","2","0","1","0","30041","0","30042","-58","0","40001","0","0","1","6"
"3005","1","0","1","-20","30051","0","30052","-42","0","40001","0","0","1","1"
"3006","1","0","1","-20","30061","0","30062","-42","0","40001","0","0","1","5"
"3007","1","0","1","40","30071","0","30072","0","0","40001","0","0","1","1"
"3008","1","0","1","40","30081","0","30082","0","0","40001","0","0","1","5"
"3009","1","0","1","40","30091","0","30092","0","0","40001","0","0","1","6"
"4001","1","0","1","0","40011","0","40012","0","0","40001","0","0","2","1"
"4002","1","0","1","0","40021","0","40022","0","0","40001","0","0","2","5"
"4005","1","0","1","0","40051","0","40052","0","0","40001","0","0","2","1"
"4006","1","0","1","0","40061","0","40062","0","0","40001","0","0","2","5"
"4007","2","0","1","0","40071","0","40072","0","0","40001","0","0","2","6"
"4009","2","0","1","0","40091","0","40092","0","0","40004","0","0","2","6"
"4010","1","0","1","0","40101","0","40102","0","0","40004","0","0","2","1"
"4011","1","0","1","0","40111","0","40112","0","0","40004","0","0","2","5"
"4012","1","0","1","0","40121","0","40122","0","0","40001","0","0","2","6"
"4013","1","0","1","0","40131","0","40132","0","0","40004","0","0","2","1"
"4014","1","0","1","0","40141","0","40142","0","0","40004","0","0","2","5"
"4015","1","0","1","0","40151","0","40152","0","0","40001","0","0","2","6"
"4016","1","0","1","0","40161","0","40162","0","0","40004","0","0","2","1"
"4017","1","0","1","0","40171","0","40172","0","0","40004","0","0","2","5"
"4018","1","0","1","0","40181","0","40182","0","0","40001","0","0","2","6"
