ae33ec63944ab649868f7f315127bedfafb52879fe2963f8b0697518b7f6c415,d24624e8b953e028593b562d9064a3e080077ad01aad4c6781e57237bc1ad093,72144f5b4d886d1645e61ce4ff89393dbf511aa63ff3851dd25d8d9354e15c8c,c478b83649baa34501a2f61d5ad92999c296669a4d7c82dbbc9a172ce50864bb,3005883638fc32540b5a7ede649e568e5ac701504de2968faf3e081ad1d476c6
"14","4100101","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。","風属性ボーナス特大アップ","10010101"
"38","4100101","すべてのモンスターが一度の行動で受けるダメージの値が「2000000」以上の場合、ダメージの値に応じてダメージ量を減少させる。","ダメージ減衰","10010102"
"boss_def_lower_limit","4100101","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","10010103"
"boss_magic_def_lower_limit","4100101","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","10010104"
"15","4100102","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","光属性ボーナス特大アップ","10010201"
"38","4100102","すべてのモンスターが一度の行動で受けるダメージの値が「2000000」以上の場合、ダメージの値に応じてダメージ量を減少させる。","ダメージ減衰","10010202"
"boss_def_lower_limit","4100102","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","10010203"
"boss_magic_def_lower_limit","4100102","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","10010204"
"16","4100103","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","闇属性ボーナス特大アップ","10010301"
"18","4100103","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","10010302"
"boss_def_lower_limit","4100103","バトル開始時、すべてのモンスターの物理防御力を特大アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","10010303"
"boss_magic_def_lower_limit","4100103","バトル開始時、すべてのモンスターの魔法防御力を特大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","10010304"
"boss_tp_down_cut","4100103","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット","10010305"
