76fcb877f7e4cbd068a3bdc8ed28942098fcff2745f4bb52b30df2cc38fd1bcd,292404a1ed74dd8013af6de2b467312cdfa7bdbc44b8d634f27865fe04f540c7,5ac215acf241079207f37956512461b66c790e846c3ad3cd48e760febcc0729d,6c2716378f20780916fd606e537b02a0284f1a8acb0b03cca1f0af63610a4b4a,d05ee88139f43f93582e65c3486fc4f78253a59d4d336d9ef98315b4a847d32d,41d993325b43a1e4fe1425a3bd49ca240190f762b95488c95276f3c799ff5429,c5fc5c3f2a1c08d9f6f149089f6fef27ed2d4fb355834c2659397c3ade82870b,6fbf1ad5be00e6bc34b60ead04b5dd26e955f2dbbb1049b1c7db8cee3c1b0247,c04d30e4d33b46f49a4d257ce9a8bf02a292a23b94f4a2f3593658c6cab853b9,077c123b2803da935088f07ef987c213a328315d62bfe7124fcaef7a17a94274,382f1dbab741bb36893703917206bf7e493740446e188d7e8d4cfa3efb2cd017
"0","1","-250","5","1","talk_sad","30","12","52","12001","2.2"
"0","1","0","6","1","","1","12","1","12002","0"
"0","0","0","5","0","black","50","12","29","12003","1"
"0","1","0","6","0","","1","12","1","12004","0"
"","","","91","0","","","12","","12005",""
"0","1","1","6","1","","1","12","1","12006","0.2"
"0","1","1","6","0","","1","12","1","12007","0.2"
"","-20","2","2","1","","0.3","12","-250","12008",""
"","0","2","2","0","","0.3","12","0","12009",""
"","0","","93","0.6","","","12","","12010",""
"","vo_asb_0121","","21","vo_asb","","0","12","0","12011",""
"0","思えば手土産すらも、\n持参できず仕舞いでした……","1","11","1","0","1","12","10","12012","0"
"","","","91","0","","0","12","0","12013",""
"","guts2_talk_shy","","3","1","","","12","1","12014","0.2"
"","vo_asb_0122","","21","vo_asb","","0","12","0","12015",""
"0","次に伺う時は必ず……！","1","11","1","0","1","12","10","12016","0"
"","","","91","0","","0","12","0","12017",""
"","sad_talk_surprise","","3","1","","","12","1","12018","0.2"
"","vo_asb_0123","","21","vo_asb","","0","12","0","12019",""
"0","……でも、なにがよいのでしょう。\n的外れなものを選んで、かえって\nお気を遣わせてもいけませんし……","1","11","1","0","1","12","10","12020","0"
"","","","91","0","","0","12","0","12021",""
"","surprise_talk_dere","","3","1","","","12","1","12022","0.3"
"","vo_asb_0124","","21","vo_asb","","0","12","0","12023",""
"0","やはり、兄様ゆかりの場所ですから……\n兄様とご相談して、一緒に選ばせて\nいただくのが一番、でしょうか……","1","11","1","0","1","12","10","12024","0"
"","","","91","0","","0","12","0","12025",""
"0","sad_talk_riri_in","1","3","1","","sad_idle_red_riri","12","0","12026","0.4"
"","vo_asb_0125","","21","vo_asb","","0","12","0","12027",""
"0","……一緒に……手土産を……\n……ぽっ。","1","11","1","0","1","12","10","12028","0"
"","","","91","0","","0","12","0","12029",""
"","","","101","12031","","","12","","12030",""
"0","1","0","6","1","","1","12","1","12031","0.3"
"0","1","0","6","0","","1","12","1","12032","0.3"
"","-120","1","2","1","","0.3","12","-250","12033",""
"","-100","1","2","0","","0.3","12","0","12034",""
"","0","","22","0","","","12","","12035",""
"","0","","93","0.4","","","12","","12036",""
"0","1","-230","5","1","riri_idle_look_shy","20","13","17","13001","2.2"
"0","2","-255","5","2","clear_idle_look_shy","-140","13","19","13002","2.2"
"1","3","-245","5","3","idle_look_precia","270","13","18","13003","2.2"
"0","1","0","6","1","","1","13","1","13004","0"
"0","1","0","6","2","","1","13","1","13005","0"
"0","1","0","6","3","","1","13","1","13006","0"
"","100","1","31","1","","0","13","0","13007","0"
"","0","","35","100","","","13","","13008",""
"0","0","0","5","0","black","50","13","16","13009","1"
"0","1","0","6","0","","1","13","1","13010","0"
"","","","91","0","","","13","","13011",""
"","0","","93","0.1","","","13","","13012",""
"0","1","1","6","1","","1","13","1","13013","0.2"
"0","1","1","6","2","","1","13","1","13014","0.2"
"0","1","1","6","3","","1","13","1","13015","0.2"
"0","1","1","6","0","","1","13","1","13016","0.2"
"","-30","2","2","1","","0.3","13","-230","13017",""
"","-190","2","2","2","","0.3","13","-255","13018",""
"","220","2","2","3","","0.3","13","-245","13019",""
"","0","2","2","0","","0.3","13","0","13020",""
"","1","","32","100","","","13","","13021",""
"","0","","93","0.6","","","13","","13022",""
"","sad_talk_look_shy_riri","","3","1","","","13","1","13023","0.2"
"","vo_asb_1521","","21","vo_asb","","0","13","0","13024",""
"0","実はわたくしたち……\nこの、学びのスクラップブックを\n兄様にご覧いただくのが、\n少し、恥ずかしかったのです。","1","11","1","0","1","13","10","13025","0"
"","","","91","0","","0","13","0","13026",""
"","sad_idle_normal_look_shy_riri","","3","1","","","13","1","13027","0.2"
"","clear_talk_look_shy","","3","2","","","13","1","13028","0.2"
"","vo_asb_1522","","21","vo_asb","","0","13","0","13029",""
"0","だって、楽しい思い出と同じくらい、\nヘマしたり、力及ばずなこともあって。\nそれを改めてお兄さんに見てもらうのは\n勇気がいるっていうか……","1","11","2","0","1","13","10","13030","0"
"","","","91","0","","0","13","0","13031",""
"","clear_idle_look_shy","","3","2","","","13","1","13032","0.3"
"","sad_talk_look_precia","","3","3","","","13","1","13033","0.2"
"","vo_asb_1523","","21","vo_asb","","0","13","0","13034",""
"0","せきらら\nぼうけんき。","1","11","3","0","1","13","10","13035","0"
"","","","91","0","","0","13","0","13036",""
"","idle_look_precia","","3","3","","","13","1","13037","0.2"
"","talk_look_shy_riri","","3","1","","","13","1","13038","0.3"
"","vo_asb_1524","","21","vo_asb","","0","13","0","13039",""
"0","でも……これも学びです。\n兄様。ぜひご覧になった感想を、\nお聞かせ願えませんでしょうか？","1","11","1","0","1","13","10","13040","0"
"","","","91","0","","0","13","0","13041",""
"","wish_talk_look_shy_riri","","3","1","","","13","1","13042","0.2"
"","vo_asb_1525","","21","vo_asb","","0","13","0","13043",""
"0","どんなに厳しい叱咤もご指導も、\n謹んでお受けいたしますので──\nって、…………え？","1","11","1","0","1","13","10","13044","0"
"","","","91","0","","0","13","0","13045",""
"","idle_look_shy","","3","2","","","13","1","13046","0.2"
"","joy_idle_look_shy_precia","","3","3","","","13","1","13047","0.3"
"","wish_talk_Ex4","","3","1","","","13","1","13048","0.2"
"","vo_asb_1526","","21","vo_asb","","0","13","0","13049",""
"0","…………\nま、まさか……\nそのようにお褒めいただけるなんて……","1","11","1","0","1","13","10","13050","0"
"","","","91","0","","0","13","0","13051",""
"","idle_look_shy_riri","","3","1","","","13","1","13052","0.2"
"","surprise_idle_lookR_precia","","3","3","","","13","1","13053","0.4"
"","vo_asb_1527","","21","vo_asb","","0","13","0","13054",""
"0","お兄……","1","11","3","0","1","13","10","13055","0"
"","","","91","0","","0","13","0","13056",""
"","joy_idle_look_shy_precia2","","3","3","","","13","1","13057","0.4"
"","clear_talk2_look","","3","2","","","13","1","13058","0.2"
"","vo_asb_1528","","21","vo_asb","","0","13","0","13059",""
"0","お兄さんは、\n結果云々ではなく、\nわたしたちががんばったこと、\nそれ自体を褒めてくれるんですね……","1","11","2","0","1","13","10","13060","0"
"","","","91","0","","0","13","0","13061",""
"","wish_talk_Ex3","","3","1","","","13","1","13062","0.2"
"","joy_idle_look_shy_precia","","3","3","","","13","1","13063","0.3"
"0","talk2ToWish_look","1","3","2","","clear_wish_talk_joy_look","13","0","13064","0.2"
"","vo_asb_1529","","21","vo_asb","","0","13","0","13065",""
"0","……ありがとうございます！","1","11","1","0","1","13","10","13066","0"
"","","","91","0","","0","13","0","13067",""
"","idle_look_shy_riri","","3","1","","","13","1","13068","0.2"
"","idle_look_shy","","3","2","","","13","1","13069","0.2"
"0","doya_in_precia","1","3","3","","doya_talk_precia","13","0","13070","0.2"
"","vo_asb_1530","","21","vo_asb","","0","13","0","13071",""
"0","むねはり。\nぼうけんき。","1","11","3","0","1","13","10","13072","0"
"","","","91","0","","0","13","0","13073",""
"","idle_look_normal_precia","","3","3","","","13","1","13074","0.4"
"","riri_talk_look_shy","","3","1","","","13","1","13075","0.2"
"","vo_asb_1531","","21","vo_asb","","0","13","0","13076",""
"0","ご覧の通り何事も拙く、\n未熟なわたくしたちですが……","1","11","1","0","1","13","10","13077","0"
"","","","91","0","","0","13","0","13078",""
"","riri_idle_look_normal_shy","","3","1","","","13","1","13079","0.2"
"","clear_talk3_look","","3","2","","","13","1","13080","0.2"
"","vo_asb_1532","","21","vo_asb","","0","13","0","13081",""
"0","こうしてお兄さんが\n温かく見守ってくれるおかげで、\n立派な冒険者になるという夢を、\n追い続けることができています。","1","11","2","0","1","13","10","13082","0"
"","","","91","0","","0","13","0","13083",""
"","clear_wish_talk_joy_look","","3","2","","","13","1","13084","0.2"
"","vo_asb_1533","","21","vo_asb","","0","13","0","13085",""
"0","お兄さん。\nこれからも、【アルターメイデン】の\n側にいてくださいね。","1","11","2","0","1","13","10","13086","0"
"","","","91","0","","0","13","0","13087",""
"","clear_wish_idle_look","","3","2","","","13","1","13088","0.2"
"0.2","agree","1","3","3","","joy_idle_look_shy_precia2","13","0","13089","0.1"
"","vo_asb_1534","","21","vo_asb","","0","13","0","13090",""
"0","よろしく。","1","11","3","0","1","13","10","13091","0"
"","","","91","0","","0","13","0","13092",""
