292c250c27d16af73d19625a29fe152e2a32e1298ef10c3f41bd66076dd5e859,7bcc137aff2af24feb546acb44c8602288659c18479e56dc1a42567cfcc25349,a7cd6f1fa72c3bc0a1d9559b22fe7b0ca26d9c14bc679c9c0332edfce45cef8d,b9da6d1ea66e7daa46b6a93eed51a6f9018eb55c0fa1cad2eb2b94e9db295785,41c04f189814e72a7479ab9a834db0a326ba18a785c711d146bca39efde7e090,98d5c3d6f83bd3fe997eb345dc1b50e57da6ad4097ed9df3a668da326d4cebc3,798162ce8135e064aebc89d99d09d1808cfb373a9b94ec3ab046ba46d7e122eb,2e2f45a8561f3b00734e501c7adf324547c806398ac41222f7de4d1de3de38a6,6f9ce6af3222083e92ad2f8f30d42c177c12a0716d76d299714734ef57451dc7,1a69cdb3f5644ef3665888774139e9f526fdad39548a5fd9530839f18ce73788,9b3428bb82366811112095bd8d57c9844205fc5be3a329750ef1a2f3cbe1cc58,277476c22503b92535b66a4cded1ade0e63470d9b06ba87430963a176dc346b8,0b3fea466243d706ce0d7a356c040303b28fdf25ef516b8828e0daea5b7de34e,27cd662d8bd34bdc68850986a2aa5c89b12323110edd2ca88104c4e317056ada,826cf621a3e4bc3c54ae3f5d50ae5727e7744cc260fcfd9d5f453255b43e6127,9fc5f662c9ce32b66c3ce811a707badfc65127f129d9ee49a5999fa5e9f4636d,a4b27f5b523a297564d91413297c05c0352b0ebf9f2a3ac5d1415419d4f7b86c,3246b47e87eeb99c406a6498cea108a630d8d18b5fb7ab50c8906077fc322d3a
"300000","8","3","100","2","8","94002","3","1001","30","4","1","90005","12","20004","150003","2","91002"
"400000","8","3","150","4","60","94002","3","1001","30","4","2","90005","12","140001","150004","2","91002"
"500000","8","3","150","2","10","94002","3","1001","30","4","3","90005","12","20004","150005","2","91002"
"750000","8","3","200","4","90","94002","3","1001","30","4","4","90005","12","140001","150006","2","91002"
"1000000","8","3","200","2","1","94002","3","1001","30","4","5","90005","12","21951","150007","2","91002"
"300000","8","3","100","2","8","94002","3","1002","30","4","1","90005","12","20004","150003","2","91002"
"400000","8","3","150","4","60","94002","3","1002","30","4","2","90005","12","140001","150004","2","91002"
"500000","8","3","150","2","10","94002","3","1002","30","4","3","90005","12","20004","150005","2","91002"
"750000","8","3","200","4","90","94002","3","1002","30","4","4","90005","12","140001","150006","2","91002"
"1000000","8","3","200","2","1","94002","3","1002","30","4","5","90005","12","21951","150007","2","91002"
"300000","8","100","50","2","8","94002","3","1003","100","4","1","150004","12","20004","150003","4","91002"
"400000","8","5","100","4","60","94002","3","1003","50","4","2","90005","12","140001","150005","2","91002"
"0","8","500000","100","2","10","0","3","1003","50","4","3","94002","0","20004","150006","12","91002"
"750000","8","10","150","4","90","94002","3","1003","50","4","4","90005","12","140001","150007","2","91002"
"0","8","1000000","150","2","1","0","3","1003","50","4","5","94002","0","21951","150008","12","91002"
"300000","8","100","50","2","8","94002","3","1004","100","4","1","150004","12","20004","150003","4","91002"
"400000","8","5","100","4","60","94002","3","1004","50","4","2","90005","12","140001","150005","2","91002"
"0","8","500000","100","2","10","0","3","1004","50","4","3","94002","0","20004","150006","12","91002"
"750000","8","10","150","4","90","94002","3","1004","50","4","4","90005","12","140001","150007","2","91002"
"0","8","1000000","150","2","1","0","3","1004","50","4","5","94002","0","21951","150008","12","91002"
"300000","8","100","50","2","8","94002","3","1005","100","4","1","150004","12","20004","150003","4","91002"
"400000","8","5","100","4","60","94002","3","1005","50","4","2","90005","12","140001","150005","2","91002"
"0","8","500000","100","2","10","0","3","1005","50","4","3","94002","0","20004","150006","12","91002"
"750000","8","10","150","4","90","94002","3","1005","50","4","4","90005","12","140001","150007","2","91002"
"0","8","1000000","150","2","1","0","3","1005","50","4","5","94002","0","21951","150008","12","91002"
"300000","8","100","50","2","8","94002","3","1006","100","4","1","150005","12","20004","150004","4","91002"
"400000","8","5","100","4","60","94002","3","1006","50","4","2","90005","12","140001","150006","2","91002"
"0","8","500000","100","2","10","0","3","1006","50","4","3","94002","0","20004","150007","12","91002"
"750000","8","10","150","4","90","94002","3","1006","50","4","4","90005","12","140001","150008","2","91002"
"0","8","1000000","150","2","1","0","3","1006","50","4","5","94002","0","21951","150009","12","91002"
