e2f0236858a279cda14f5ce9d3870a482156c583164e0d8c9ded49a01a353622,caaa3174d710b5faa4265c03c393a80a594bd420e4436306e89ac3a62f083ffa,d4c45b9d12fb8593d9974dfbb6017b451868d6c41e691ea77a7b71ad384764a3,f23b4090423f6002e322fde6a3a6ae57044c56bea4299c719da741412ca904b3,0001335ba79408b9cacfe4befe2d6e031428073ad80b45098d14af143a1f4807
"100","8","1","91002","30109001"
"10","2","2","20002","30109001"
"100","8","3","91002","30109002"
"40000","12","4","94002","30109002"
"300","8","5","91002","30109003"
"500","8","6","91002","30109004"
"500","8","7","91002","30109005"
"1000000","12","8","94002","30109005"
"500","8","9","91002","30109006"
"500000","12","10","94002","30109006"
"600","8","11","91002","30110001"
"200000","12","12","94002","30110006"
