10d82356f71031cfc0d0f987bd7a44f393f755aaf7c63703bd858b0a6659c210,fb13f4a0d94fa20994e403a09c8d067b733d0f663c53557d3f13c11c21dd2392,a891e18c34ce23243bf1983a13bd5935a15530d0ec6385c98dd08ec0c1423c37,0379743861c061aa388e12e7b77e4342334fc55b6803f485ff82fd1a39a25405,4c96ba0a0d25ebe0f3e3d2b209d82501ab9922327fc8cfebc209442a5615901c,4ff652190b2ebab187e17f4dde4ab70ee8708541c8ed9ea96e68e8fb8509f86f,4ffc02be8061a59a4e2a089b6dfe8d8d503025f0babd9cebc6bbe47d1453e525,095f1a04ee90ef46e780d737eaf6a6b0a81817194d136bcb6d96b9cdffd5a501,65e368de49a2f8fac344d5edd2b4c3d5c39127ce8b451ef1cd33fea6a735fe32,cb596487b9ac20ccf5f89d3606ac35047ca727e8a32049bcc3116a4235f5ef66,409c84f49dc66aef9b1a88da41a0226e47512977241562b1265357d8fab932ff,8175a56f3e46fbe86f8031b11d47c6c16dffd29e14096d9aa552ec0f01c65b58,dd6c2e898f9e19d936bb350bb4ba7b10b21592c9d3655d242a0826ac9d51b5c2,9334272b38f28c2b9d5e9f0a7fc652866e7cfaee824f52b22512e71e6abf2f59,8a2a78365fdd09bc22e25e42fa8b6be052ccaa02b534f003b9ac98931f86b144
"1004110","99001001","601","660014101","9001","0","0","2015/04/01 15:00:00","1","8006","アクダイカンを1体倒そう（NORMAL限定）","1","20014","2030/04/01 14:59:59","99001001"
"1004111","99001002","601","660014201","9001","0","0","2015/04/01 15:00:00","1","8007","アクダイカンを1体倒そう（HARD限定）","1","20014","2030/04/01 14:59:59","99001002"
"1004112","99001003","601","660014301","9001","0","0","2015/04/01 15:00:00","1","8010","アクダイカンを1体倒そう（VERY HARD限定）","1","20014","2030/04/01 14:59:59","99001003"
"1004113","99001004","601","610041401","9001","0","0","2015/04/01 15:00:00","1","6011","アクダイカンを1体倒そう（SPECIAL限定）","1","10041","2030/04/01 14:59:59","99001004"
"1005310","99001005","601","610153101","9001","0","0","2015/04/01 15:00:00","1","6006","ペテルギウスを1体倒そう（NORMAL限定）","1","10153","2030/04/01 14:59:59","99001005"
"1005311","99001006","601","610153201","9001","0","0","2015/04/01 15:00:00","1","6007","ペテルギウスを1体倒そう（HARD限定）","1","10153","2030/04/01 14:59:59","99001006"
"1005312","99001007","601","610153301","9001","0","0","2015/04/01 15:00:00","1","6010","ペテルギウスを1体倒そう（VERY HARD限定）","1","10153","2030/04/01 14:59:59","99001007"
"1005313","99001008","601","610153401","9001","0","0","2015/04/01 15:00:00","1","6011","ペテルギウスを1体倒そう（SPECIAL限定）","1","10153","2030/04/01 14:59:59","99001008"
"1004310","99001009","601","660015101","9001","0","0","2015/04/01 15:00:00","1","8006","雨神様を1体倒そう（NORMAL限定）","1","20015","2030/04/01 14:59:59","99001009"
"1004311","99001010","601","660015201","9001","0","0","2015/04/01 15:00:00","1","8007","雨神様を1体倒そう（HARD限定）","1","20015","2030/04/01 14:59:59","99001010"
"1004312","99001011","601","660015301","9001","0","0","2015/04/01 15:00:00","1","8010","雨神様を1体倒そう（VERY HARD限定）","1","20015","2030/04/01 14:59:59","99001011"
"1004313","99001012","601","610043401","9001","0","0","2015/04/01 15:00:00","1","6011","雨神様を1体倒そう（SPECIAL限定）","1","10043","2030/04/01 14:59:59","99001012"
"1004510","99001017","601","660016101","9001","0","0","2015/04/01 15:00:00","1","8006","マジムンを1体倒そう（NORMAL限定）","1","20016","2030/04/01 14:59:59","99001017"
"1004511","99001018","601","660016201","9001","0","0","2015/04/01 15:00:00","1","8007","マジムンを1体倒そう（HARD限定）","1","20016","2030/04/01 14:59:59","99001018"
"1004512","99001019","601","660016301","9001","0","0","2015/04/01 15:00:00","1","8010","マジムンを1体倒そう（VERY HARD限定）","1","20016","2030/04/01 14:59:59","99001019"
