fd1b26f5a6470a3dba121ac1a3fbc8ad925ab698a0b918379774ea21229a9f8e,8d3705117debe4461b70467d15ad72bf0c8ee17983a2c74e866c4ef22a087b94,c5bf8f5d5ad08fc0020f1f7f71ccc797ddd6f168b5123e7967605655f809755b,491e89a1d344bb49cd270f0b4c8dea20f387d484d795245cf5c4036706c3c915,f3306fdba3f453ba2e896bb8316c4651245dc9f9e71ab6beb737b1d2e5503d2c,b4c78a1c7ba240d6509baede47b9b34b39502f6f3733a403da3b1723c253bbbf,53bd03d2cf8a0cacc5dd23d63ff7a0bf780fc9ee450cf771709fece2370a711d,afe2af88dc27da05cac1f72b754bde33a0ad4960883070821d02e1113e2e23c5,213d8e0dabf1353d4e9c0bd9d95ea8b5558a71fd35d18f3bdb3ca8485631d345,8df24c389135da60425a5ac5f262a060f0410d97f1af5a4b3e37a7075ca181a5
"1","10590","575","1","1003","32","1","1001","1100001","1002"
"1","10590","575","1","1006","32","1","1004","1100002","1005"
"1","10590","575","1","1009","32","2","1007","1100003","1008"
"1","11820","500","1","1012","33","1","1010","1100004","1011"
"1","11820","500","1","1015","33","1","1013","1100005","1014"
"1","11820","500","1","1018","33","2","1016","1100006","1017"
"1","11820","500","1","1021","33","4","1019","1100007","1020"
"1","13050","375","1","1024","35","1","1022","1100008","1023"
"1","13050","375","1","1027","35","1","1025","1100009","1026"
"1","13050","375","1","1030","35","6","1028","1100010","1029"
"1","10590","575","2","2003","34","1","2001","1200001","2002"
"1","10590","575","2","2006","34","1","2004","1200002","2005"
"1","10590","575","2","2009","34","1","2007","1200003","2008"
"1","10590","575","2","2012","34","1","2010","1200004","2011"
"1","10590","575","2","2015","34","2","2013","1200005","2014"
"1","10590","575","2","2018","34","4","2016","1200006","2017"
"1","10590","575","2","2021","34","6","2019","1200007","2020"
"1","11820","500","2","2024","35","1","2022","1200008","2023"
"1","11820","500","2","2027","35","1","2025","1200009","2026"
"1","11820","500","2","2030","35","1","2028","1200010","2029"
"1","11820","500","2","2033","35","1","2031","1200011","2032"
"1","11820","500","2","2036","35","4","2034","1200012","2035"
"1","11820","500","2","2039","35","6","2037","1200013","2038"
"1","13050","375","2","2042","38","1","2040","1200014","2041"
"1","13050","375","2","2045","38","1","2043","1200015","2044"
"1","13050","375","2","2048","38","1","2046","1200016","2047"
"1","13050","375","2","2051","38","1","2049","1200017","2050"
"1","13050","375","2","2054","38","2","2052","1200018","2053"
"1","13050","375","2","2057","38","4","2055","1200019","2056"
"1","13050","375","2","2060","38","6","2058","1200020","2059"
"1","10590","575","3","3003","37","1","3001","1300001","3002"
"1","10590","575","3","3006","37","1","3004","1300002","3005"
"1","10590","575","3","3009","37","1","3007","1300003","3008"
"1","10590","575","3","3012","37","1","3010","1300004","3011"
"1","10590","575","3","3015","37","1","3013","1300005","3014"
"1","10590","575","3","3018","37","1","3016","1300006","3017"
"1","10590","575","3","3021","37","2","3019","1300007","3020"
"1","10590","575","3","3024","37","2","3022","1300008","3023"
"1","10590","575","3","3027","37","4","3025","1300009","3026"
"1","10590","575","3","3030","37","6","3028","1300010","3029"
"1","11820","500","3","3033","38","1","3031","1300011","3032"
"1","11820","500","3","3036","38","1","3034","1300012","3035"
"1","11820","500","3","3039","38","1","3037","1300013","3038"
"1","11820","500","3","3042","38","1","3040","1300014","3041"
"1","11820","500","3","3045","38","1","3043","1300015","3044"
"1","11820","500","3","3048","38","1","3046","1300016","3047"
"1","11820","500","3","3051","38","2","3049","1300017","3050"
"1","11820","500","3","3054","38","4","3052","1300018","3053"
"1","11820","500","3","3057","38","4","3055","1300019","3056"
"1","11820","500","3","3060","38","6","3058","1300020","3059"
"1","13050","375","3","3063","40","1","3061","1300021","3062"
"1","13050","375","3","3066","40","1","3064","1300022","3065"
"1","13050","375","3","3069","40","1","3067","1300023","3068"
"1","13050","375","3","3072","40","1","3070","1300024","3071"
"1","13050","375","3","3075","40","1","3073","1300025","3074"
"1","13050","375","3","3078","40","1","3076","1300026","3077"
"1","13050","375","3","3081","40","2","3079","1300027","3080"
"1","13050","375","3","3084","40","4","3082","1300028","3083"
"1","13050","375","3","3087","40","6","3085","1300029","3086"
"1","13050","375","3","3090","40","6","3088","1300030","3089"
"2","9360","700","1","4003","29","3","4001","2100001","4002"
"2","9360","700","1","4006","29","5","4004","2100002","4005"
"2","9360","700","1","4009","29","7","4007","2100003","4008"
"2","9360","700","1","4012","29","3","4010","2100004","4011"
"2","9360","700","1","4015","29","5","4013","2100005","4014"
"2","9360","700","1","4018","29","7","4016","2100006","4017"
"2","10590","575","1","4021","30","3","4019","2100007","4020"
"2","10590","575","1","4024","30","5","4022","2100008","4023"
"2","10590","575","1","4027","30","7","4025","2100009","4026"
"2","10590","575","1","4030","30","3","4028","2100010","4029"
"2","9360","700","2","5003","33","3","5001","2200001","5002"
"2","9360","700","2","5006","33","5","5004","2200002","5005"
"2","9360","700","2","5009","33","7","5007","2200003","5008"
"2","9360","700","2","5012","33","3","5010","2200004","5011"
"2","9360","700","2","5015","33","5","5013","2200005","5014"
"2","9360","700","2","5018","33","7","5016","2200006","5017"
"2","9360","700","2","5021","33","3","5019","2200007","5020"
"2","9360","700","2","5024","33","5","5022","2200008","5023"
"2","9360","700","2","5027","33","7","5025","2200009","5026"
"2","9360","700","2","5030","33","3","5028","2200010","5029"
"2","9360","700","2","5033","33","5","5031","2200011","5032"
"2","9360","700","2","5036","33","7","5034","2200012","5035"
"2","10590","575","2","5039","34","3","5037","2200013","5038"
"2","10590","575","2","5042","34","5","5040","2200014","5041"
"2","10590","575","2","5045","34","7","5043","2200015","5044"
"2","10590","575","2","5048","34","3","5046","2200016","5047"
"2","10590","575","2","5051","34","5","5049","2200017","5050"
"2","10590","575","2","5054","34","7","5052","2200018","5053"
"2","10590","575","2","5057","34","5","5055","2200019","5056"
"2","10590","575","2","5060","34","7","5058","2200020","5059"
"2","9360","700","3","6003","33","3","6001","2300001","6002"
"2","9360","700","3","6006","33","5","6004","2300002","6005"
"2","9360","700","3","6009","33","7","6007","2300003","6008"
"2","9360","700","3","6012","33","3","6010","2300004","6011"
"2","9360","700","3","6015","33","5","6013","2300005","6014"
"2","9360","700","3","6018","33","7","6016","2300006","6017"
"2","9360","700","3","6021","33","3","6019","2300007","6020"
"2","9360","700","3","6024","33","5","6022","2300008","6023"
"2","9360","700","3","6027","33","7","6025","2300009","6026"
"2","9360","700","3","6030","33","3","6028","2300010","6029"
"2","9360","700","3","6033","33","5","6031","2300011","6032"
"2","9360","700","3","6036","33","7","6034","2300012","6035"
"2","9360","700","3","6039","33","3","6037","2300013","6038"
"2","9360","700","3","6042","33","5","6040","2300014","6041"
"2","9360","700","3","6045","33","7","6043","2300015","6044"
"2","9360","700","3","6048","33","3","6046","2300016","6047"
"2","9360","700","3","6051","33","5","6049","2300017","6050"
"2","9360","700","3","6054","33","7","6052","2300018","6053"
"2","10590","575","3","6057","34","3","6055","2300019","6056"
"2","10590","575","3","6060","34","5","6058","2300020","6059"
"2","10590","575","3","6063","34","7","6061","2300021","6062"
"2","10590","575","3","6066","34","3","6064","2300022","6065"
"2","10590","575","3","6069","34","5","6067","2300023","6068"
"2","10590","575","3","6072","34","7","6070","2300024","6071"
"2","10590","575","3","6075","34","3","6073","2300025","6074"
"2","10590","575","3","6078","34","5","6076","2300026","6077"
"2","10590","575","3","6081","34","7","6079","2300027","6080"
"2","10590","575","3","6084","34","3","6082","2300028","6083"
"2","10590","575","3","6087","34","5","6085","2300029","6086"
"2","10590","575","3","6090","34","7","6088","2300030","6089"
"3","14280","340","1","7003","39","1","7001","3100001","7002"
"3","14280","340","1","7006","39","1","7004","3100002","7005"
"3","14280","340","1","7009","39","1","7007","3100003","7008"
"3","14280","340","1","7012","39","1","7010","3100004","7011"
"3","14280","340","1","7015","39","1","7013","3100005","7014"
"3","14280","340","1","7018","39","1","7016","3100006","7017"
"3","13050","375","1","7021","36","1","7019","3100007","7020"
"3","13050","375","1","7024","36","1","7022","3100008","7023"
"3","13050","375","1","7027","36","1","7025","3100009","7026"
"3","13050","375","1","7030","36","1","7028","3100010","7029"
"3","14280","340","2","8003","41","1","8001","3200001","8002"
"3","14280","340","2","8006","41","1","8004","3200002","8005"
"3","14280","340","2","8009","41","1","8007","3200003","8008"
"3","14280","340","2","8012","41","1","8010","3200004","8011"
"3","14280","340","2","8015","41","1","8013","3200005","8014"
"3","14280","340","2","8018","41","1","8016","3200006","8017"
"3","14280","340","2","8021","41","1","8019","3200007","8020"
"3","14280","340","2","8024","41","1","8022","3200008","8023"
"3","14280","340","2","8027","41","1","8025","3200009","8026"
"3","14280","340","2","8030","41","1","8028","3200010","8029"
"3","14280","340","2","8033","41","1","8031","3200011","8032"
"3","14280","340","2","8036","41","1","8034","3200012","8035"
"3","13050","375","2","8039","38","1","8037","3200013","8038"
"3","13050","375","2","8042","38","1","8040","3200014","8041"
"3","13050","375","2","8045","38","1","8043","3200015","8044"
"3","13050","375","2","8048","38","1","8046","3200016","8047"
"3","13050","375","2","8051","38","1","8049","3200017","8050"
"3","13050","375","2","8054","38","1","8052","3200018","8053"
"3","13050","375","2","8057","38","1","8055","3200019","8056"
"3","13050","375","2","8060","38","1","8058","3200020","8059"
"3","14280","340","3","9003","40","1","9001","3300001","9002"
"3","14280","340","3","9006","40","1","9004","3300002","9005"
"3","14280","340","3","9009","40","1","9007","3300003","9008"
"3","14280","340","3","9012","40","1","9010","3300004","9011"
"3","14280","340","3","9015","40","1","9013","3300005","9014"
"3","14280","340","3","9018","40","1","9016","3300006","9017"
"3","14280","340","3","9021","40","1","9019","3300007","9020"
"3","14280","340","3","9024","40","1","9022","3300008","9023"
"3","14280","340","3","9027","40","1","9025","3300009","9026"
"3","14280","340","3","9030","40","1","9028","3300010","9029"
"3","14280","340","3","9033","40","1","9031","3300011","9032"
"3","14280","340","3","9036","40","1","9034","3300012","9035"
"3","14280","340","3","9039","40","1","9037","3300013","9038"
"3","14280","340","3","9042","40","1","9040","3300014","9041"
"3","14280","340","3","9045","40","1","9043","3300015","9044"
"3","14280","340","3","9048","40","1","9046","3300016","9047"
"3","14280","340","3","9051","40","1","9049","3300017","9050"
"3","14280","340","3","9054","40","1","9052","3300018","9053"
"3","13050","375","3","9057","39","1","9055","3300019","9056"
"3","13050","375","3","9060","39","1","9058","3300020","9059"
"3","13050","375","3","9063","39","1","9061","3300021","9062"
"3","13050","375","3","9066","39","1","9064","3300022","9065"
"3","13050","375","3","9069","39","1","9067","3300023","9068"
"3","13050","375","3","9072","39","1","9070","3300024","9071"
"3","13050","375","3","9075","39","1","9073","3300025","9074"
"3","13050","375","3","9078","39","1","9076","3300026","9077"
"3","13050","375","3","9081","39","1","9079","3300027","9080"
"3","13050","375","3","9084","39","1","9082","3300028","9083"
"3","13050","375","3","9087","39","1","9085","3300029","9086"
"3","13050","375","3","9090","39","1","9088","3300030","9089"
