a8efcde790530969e676961377750e6c3e1cc47587ebf930b9a204831faeb9a9,e7f6970bd6b7e7dce9c26c97da90c1f76fc2b90edd1b436464c7fe14898c102f,9dd7cf6d7fcbbbdafd296c12aeedef8b2b15a03e67310d9c1669270503e926a7,f87a88eca7dd1ea0eca8d7bcfa9b686dbb9fd8c1f46ec00a43e517daa4c2eb31,0660e84e145496268baf22e5f5c662421ee263424f7745ce50d05abb99547afb,795c74c7edb5609b48ef8c7052eea2527ebad3c66881e47334f4ed3b2f78e956,2c4f4db857c94baa93a7d5c1f8498db80ce048ce9e8ecf457045ae8eef41f097,70ef4ccfae8613c0b15c988d321a425dcbb478704d16ce759043b75d3ab1a423,e5d225fe99923850a8fb3cd54a78d3d5e0a789fa0aaeaac54da33ac9f1555e1d,710afb69b19eb597804da8d1e2ca1893e18e0f6d0a373fc79d9c08eb5ff11814
"3000","1","2","vo_minigame_1013_icon_1_002_001","調子が上がって\nきたなっ","訓練はまだ\nここからですわ","vo_minigame_1013_icon_2_002_001","2","1000","2"
"3000","2","2","vo_minigame_1013_icon_1_003_001","ほらほら、\nまだいけるだろ？","クスクス、悪くない\n流れですわね","vo_minigame_1013_icon_2_003_001","2","5000","2"
"3000","3","3","vo_minigame_1013_icon_1_004_001","へへっ、おまえら\nやるじゃねえか！","すばらしい\n記録ですわ","vo_minigame_1013_icon_2_004_001","2","10000","2"
"3000","4","3","vo_minigame_1013_icon_1_005_001","あたしたちはまだ\n止まらねえぜ！","乗りに乗って\nいますわね","vo_minigame_1013_icon_2_005_001","3","10000","2"
"3000","5","3","vo_minigame_1013_icon_1_005_002","見てろよ！\nマコト班の快進撃だ！","まだまだ行きます\nついてきなさい","vo_minigame_1013_icon_2_005_002","3","10000","2"
"3000","6","3","vo_minigame_1013_icon_1_005_003","うおぉぉっ！\n絶好調だぜ！","エリコ班の\n本領発揮ですわ！","vo_minigame_1013_icon_2_005_003","3","10000","2"
"3000","7","3","vo_minigame_1013_icon_1_006_001","どこまで行けるか\n楽しみだなっ！","ここからは\n前人未到の領域です！","vo_minigame_1013_icon_2_006_001","4","0","2"
"1000","8","4","vo_minigame_1013_icon_1_007_001","まだ諦めんなよっ","厄介でしたわ…","vo_minigame_1013_icon_2_007_001","5","1","3"
"1000","9","4","vo_minigame_1013_icon_1_007_002","冷やっとしたぜ…！","油断大敵です","vo_minigame_1013_icon_2_007_002","5","1","3"
"1000","10","4","vo_minigame_1013_icon_1_007_003","弱音を吐くなっ","忌々しいっ…","vo_minigame_1013_icon_2_007_003","5","1","3"
"1500","11","3","vo_minigame_1013_icon_1_008_001","マコト班集合！","大所帯ですわね","vo_minigame_1013_icon_2_008_001","6","99","4"
"1500","12","3","vo_minigame_1013_icon_1_008_002","連携してくぞ！","エリコ班へようこそ","vo_minigame_1013_icon_2_008_002","6","99","4"
"3000","13","6","vo_minigame_1013_icon_1_020_001","みんなに力を！","ナナカちゃんに\nお任せあれ","vo_minigame_1013_icon_2_020_001","8","0","1"
"3000","14","7","vo_minigame_1013_icon_1_022_001","任せてくれたまえ","はっはっは！\n任せろ！","vo_minigame_1013_icon_2_022_001","9","0","1"
"3000","15","8","vo_minigame_1013_icon_1_023_001","ほな、いきまひょか","どんどんいくわよ","vo_minigame_1013_icon_2_023_001","10","0","1"
