adcdc4f43d9ef467aab9b0dcca837e240c67c79da8f1735797f44cc3a74dea67,95a9ec5e8b05409e1a2fa9158ac23e1fa9e2d9baf5094605c66c9ef5be725946,9b23c926137eb4ecd821974d7fd7cb9a422d8526ec1d2c5e43777bd393534a91,6e6aa79150b4fdb8559dd9c7f1ee4bfdfe3889ea5281c213f7b45337318ac5b9,15139456e25cc29c3d7a8b2247aa40657bad60a6cedf768b51874d8b92884088,f4a505dcb975a3213adaf1d5a09ada19ca5f6a55673673ac13c73976b63c4f1b,e8d7f8671b2affab9d8b71da8c43b062ab267e5025c55765413427167f52bb09,63142122a218d42b7166df3d129c29b407ee6dc31adb075b6d4485e8757067b4,797aba360020ec378180de90465cc9ec28d9cbbd89a90129eaa21adc8bf8b354,192107f5437bc2f00f364e3bc4abbbb20cccc05eab3d389561dae056104e272e,d8bce8354e24ba5572b702953a722c61ca436d2e07b8d17805f5969cd6e814f4
"0","1回バトルしよう","7000","2021/08/24 11:59:59","2021/08/17 12:00:00","10000101","1","0","10","1000","10000101"
"0","5回バトルしよう","7000","2021/08/24 11:59:59","2021/08/17 12:00:00","10000102","5","0","10","1000","10000102"
"0","10回バトルしよう","7000","2021/08/24 11:59:59","2021/08/17 12:00:00","10000103","10","0","10","1000","10000103"
"0","15回バトルしよう","7000","2021/08/24 11:59:59","2021/08/17 12:00:00","10000104","15","0","10","1000","10000104"
"0","20回バトルしよう","7000","2021/08/24 11:59:59","2021/08/17 12:00:00","10000105","20","0","10","1000","10000105"
"0","25回バトルしよう","7000","2021/08/24 11:59:59","2021/08/17 12:00:00","10000106","25","0","10","1000","10000106"
"0","30回バトルしよう","7000","2021/08/24 11:59:59","2021/08/17 12:00:00","10000107","30","0","10","1000","10000107"
"0","35回バトルしよう","7000","2021/08/24 11:59:59","2021/08/17 12:00:00","10000108","35","0","10","1000","10000108"
"0","40回バトルしよう","7000","2021/08/24 11:59:59","2021/08/17 12:00:00","10000109","40","0","10","1000","10000109"
"0","ミソラに累積300万ダメージ与えよう","7001","2021/08/24 11:59:59","2021/08/17 12:00:00","10050501","3000000","1005","50","1005","10050501"
"0","ミソラに累積900万ダメージ与えよう","7001","2021/08/24 11:59:59","2021/08/17 12:00:00","10050502","9000000","1005","50","1005","10050502"
"0","ミソラに累積1500万ダメージ与えよう","7001","2021/08/24 11:59:59","2021/08/17 12:00:00","10050503","15000000","1005","50","1005","10050503"
"1000000","ミソラに1度のバトルで100万ダメージ与えよう","7002","2021/08/24 11:59:59","2021/08/17 12:00:00","10050511","1","1005","51","1005","10050511"
"3000000","ミソラに1度のバトルで300万ダメージ与えよう","7002","2021/08/24 11:59:59","2021/08/17 12:00:00","10050512","1","1005","51","1005","10050512"
"0","ランファに累積500万ダメージ与えよう","7001","2021/08/24 11:59:59","2021/08/17 12:00:00","10060601","5000000","1006","60","1006","10060601"
"0","ランファに累積1500万ダメージ与えよう","7001","2021/08/24 11:59:59","2021/08/17 12:00:00","10060602","15000000","1006","60","1006","10060602"
"0","ランファに累積2400万ダメージ与えよう","7001","2021/08/24 11:59:59","2021/08/17 12:00:00","10060603","24000000","1006","60","1006","10060603"
"2000000","ランファに1度のバトルで200万ダメージ与えよう","7002","2021/08/24 11:59:59","2021/08/17 12:00:00","10060611","1","1006","61","1006","10060611"
"5000000","ランファに1度のバトルで500万ダメージ与えよう","7002","2021/08/24 11:59:59","2021/08/17 12:00:00","10060612","1","1006","61","1006","10060612"
"0","アゾールドに累積300万ダメージ与えよう","7001","2021/08/24 11:59:59","2021/08/17 12:00:00","10070701","3000000","1007","70","1007","10070701"
"0","アゾールドに累積900万ダメージ与えよう","7001","2021/08/24 11:59:59","2021/08/17 12:00:00","10070702","9000000","1007","70","1007","10070702"
"0","アゾールドに累積1500万ダメージ与えよう","7001","2021/08/24 11:59:59","2021/08/17 12:00:00","10070703","15000000","1007","70","1007","10070703"
"1000000","アゾールドに1度のバトルで100万ダメージ与えよう","7002","2021/08/24 11:59:59","2021/08/17 12:00:00","10070711","1","1007","71","1007","10070711"
"3000000","アゾールドに1度のバトルで300万ダメージ与えよう","7002","2021/08/24 11:59:59","2021/08/17 12:00:00","10070712","1","1007","71","1007","10070712"
"0","カリザに累積500万ダメージ与えよう","7001","2021/08/24 11:59:59","2021/08/17 12:00:00","10080801","5000000","1008","80","1008","10080801"
"0","カリザに累積1500万ダメージ与えよう","7001","2021/08/24 11:59:59","2021/08/17 12:00:00","10080802","15000000","1008","80","1008","10080802"
"0","カリザに累積2400万ダメージ与えよう","7001","2021/08/24 11:59:59","2021/08/17 12:00:00","10080803","24000000","1008","80","1008","10080803"
"2000000","カリザに1度のバトルで200万ダメージ与えよう","7002","2021/08/24 11:59:59","2021/08/17 12:00:00","10080811","1","1008","81","1008","10080811"
"5000000","カリザに1度のバトルで500万ダメージ与えよう","7002","2021/08/24 11:59:59","2021/08/17 12:00:00","10080812","1","1008","81","1008","10080812"
