a85e22398f885247383894838a655523a0678ff8a9f2d1ec235d4f1170320db3,f027ee356734ece6fa84a3c8e9230e609d73f880f1c4423f9db3aba3e47ea13c,eaeca4e8103d55be598c7a25c10b81e74631db02e8ae729517de1d17cffbac19,12634533d8cc7ea1d68ceda193464cbea7424db9748f3af135895679c744a6d3,41c1cf68e6cb53f6bbfd1efd623ac0cbc87a7cff956fba2be09be2e4be90233f,4c546f8326e0351f7114b658dd9c399fd4fff01479b5b6fa4ba427e2a4f7be4c,e67e1a80b779771ee803ea33aeae8dcc5a2aae974af51b24b8298b10669681c0,ca1f295b67974aa843e352d02732606ffb3513a626f75722c745d2ea2700fd78,6a81a72eacaeb3e5329e1a6b325de9249cb8ecded4c5144b191b98e388d4c6c7,9f08676beb138c785c6a918ceefcfee66946f5bfe206b7945050e9679080e829,9740f829d37d712f1ce24ef8097e4613879cc2bd12122d7de734a14a11f65ed9
"１戦目","103624","bgm_MC294","1","1001","90","1001","bgm_MC294","78100111","78100111","100111"
"２戦目","103624","bgm_MC294","1","1001","90","1001","bgm_MC294","78100112","78100112","100112"
"３戦目","103624","bgm_MC294","1","1001","90","1001","bgm_MC294","78100113","78100113","100113"
"４戦目","103624","bgm_MC294","1","1001","90","1001","bgm_MC294","78100114","78100114","100114"
"５戦目","103624","bgm_MC295B","2","1001","90","1001","bgm_MC295B","78100115","78100115","100115"
"１戦目","103624","bgm_MC294","1","1001","90","1001","bgm_MC294","78100121","78100121","100121"
"２戦目","103624","bgm_MC294","1","1001","90","1001","bgm_MC294","78100122","78100122","100122"
"３戦目","103624","bgm_MC294","1","1001","90","1001","bgm_MC294","78100123","78100123","100123"
"４戦目","103624","bgm_MC294","1","1001","90","1001","bgm_MC294","78100124","78100124","100124"
"５戦目","103624","bgm_MC295B","2","1001","90","1001","bgm_MC295B","78100125","78100125","100125"
"１戦目","103624","bgm_MC294","1","1001","90","1001","bgm_MC294","78100131","78100131","100131"
"２戦目","103624","bgm_MC294","1","1001","90","1001","bgm_MC294","78100132","78100132","100132"
"３戦目","103624","bgm_MC294","1","1001","90","1001","bgm_MC294","78100133","78100133","100133"
"４戦目","103624","bgm_MC294","1","1001","90","1001","bgm_MC294","78100134","78100134","100134"
"５戦目","103624","bgm_MC295B","2","1001","90","1001","bgm_MC295B","78100135","78100135","100135"
"１戦目","103624","bgm_MC294","1","1002","90","1002","bgm_MC294","78100211","78100211","100211"
"２戦目","103624","bgm_MC294","1","1002","90","1002","bgm_MC294","78100212","78100212","100212"
"３戦目","103624","bgm_MC294","1","1002","90","1002","bgm_MC294","78100213","78100213","100213"
"４戦目","103624","bgm_MC294","1","1002","90","1002","bgm_MC294","78100214","78100214","100214"
"５戦目","103624","bgm_MC295B","2","1002","90","1002","bgm_MC295B","78100215","78100215","100215"
"１戦目","103624","bgm_MC294","1","1002","90","1002","bgm_MC294","78100221","78100221","100221"
"２戦目","103624","bgm_MC294","1","1002","90","1002","bgm_MC294","78100222","78100222","100222"
"３戦目","103624","bgm_MC294","1","1002","90","1002","bgm_MC294","78100223","78100223","100223"
"４戦目","103624","bgm_MC294","1","1002","90","1002","bgm_MC294","78100224","78100224","100224"
"５戦目","103624","bgm_MC295B","2","1002","90","1002","bgm_MC295B","78100225","78100225","100225"
"１戦目","103624","bgm_MC294","1","1002","90","1002","bgm_MC294","78100231","78100231","100231"
"２戦目","103624","bgm_MC294","1","1002","90","1002","bgm_MC294","78100232","78100232","100232"
"３戦目","103624","bgm_MC294","1","1002","90","1002","bgm_MC294","78100233","78100233","100233"
"４戦目","103624","bgm_MC294","1","1002","90","1002","bgm_MC294","78100234","78100234","100234"
"５戦目","103624","bgm_MC295B","2","1002","90","1002","bgm_MC295B","78100235","78100235","100235"
"１戦目","103624","bgm_MC294","1","1003","90","1003","bgm_MC294","78100311","78100311","100311"
"２戦目","103624","bgm_MC294","1","1003","90","1003","bgm_MC294","78100312","78100312","100312"
"３戦目","103624","bgm_MC294","1","1003","90","1003","bgm_MC294","78100313","78100313","100313"
"４戦目","103624","bgm_MC294","1","1003","90","1003","bgm_MC294","78100314","78100314","100314"
"５戦目","103624","bgm_MC295B","2","1003","90","1003","bgm_MC295B","78100315","78100315","100315"
"１戦目","103624","bgm_MC294","1","1003","90","1003","bgm_MC294","78100321","78100321","100321"
"２戦目","103624","bgm_MC294","1","1003","90","1003","bgm_MC294","78100322","78100322","100322"
"３戦目","103624","bgm_MC294","1","1003","90","1003","bgm_MC294","78100323","78100323","100323"
"４戦目","103624","bgm_MC294","1","1003","90","1003","bgm_MC294","78100324","78100324","100324"
"５戦目","103624","bgm_MC295B","2","1003","90","1003","bgm_MC295B","78100325","78100325","100325"
"１戦目","103624","bgm_MC294","1","1003","90","1003","bgm_MC294","78100331","78100331","100331"
"２戦目","103624","bgm_MC294","1","1003","90","1003","bgm_MC294","78100332","78100332","100332"
"３戦目","103624","bgm_MC294","1","1003","90","1003","bgm_MC294","78100333","78100333","100333"
"４戦目","103624","bgm_MC294","1","1003","90","1003","bgm_MC294","78100334","78100334","100334"
"５戦目","103624","bgm_MC295B","2","1003","90","1003","bgm_MC295B","78100335","78100335","100335"
"１戦目","103624","bgm_MC294","1","1004","90","1004","bgm_MC294","78100411","78100411","100411"
"２戦目","103624","bgm_MC294","1","1004","90","1004","bgm_MC294","78100412","78100412","100412"
"３戦目","103624","bgm_MC294","1","1004","90","1004","bgm_MC294","78100413","78100413","100413"
"４戦目","103624","bgm_MC294","1","1004","90","1004","bgm_MC294","78100414","78100414","100414"
"５戦目","103624","bgm_MC295B","2","1004","90","1004","bgm_MC295B","78100415","78100415","100415"
"１戦目","103624","bgm_MC294","1","1004","90","1004","bgm_MC294","78100421","78100421","100421"
"２戦目","103624","bgm_MC294","1","1004","90","1004","bgm_MC294","78100422","78100422","100422"
"３戦目","103624","bgm_MC294","1","1004","90","1004","bgm_MC294","78100423","78100423","100423"
"４戦目","103624","bgm_MC294","1","1004","90","1004","bgm_MC294","78100424","78100424","100424"
"５戦目","103624","bgm_MC295B","2","1004","90","1004","bgm_MC295B","78100425","78100425","100425"
"１戦目","103624","bgm_MC294","1","1004","90","1004","bgm_MC294","78100431","78100431","100431"
"２戦目","103624","bgm_MC294","1","1004","90","1004","bgm_MC294","78100432","78100432","100432"
"３戦目","103624","bgm_MC294","1","1004","90","1004","bgm_MC294","78100433","78100433","100433"
"４戦目","103624","bgm_MC294","1","1004","90","1004","bgm_MC294","78100434","78100434","100434"
"５戦目","103624","bgm_MC295B","2","1004","90","1004","bgm_MC295B","78100435","78100435","100435"
"１戦目","103624","bgm_MC294","1","1004","90","1004","bgm_MC294","78100441","78100441","100441"
"２戦目","103624","bgm_MC294","1","1004","90","1004","bgm_MC294","78100442","78100442","100442"
"３戦目","103624","bgm_MC294","1","1004","90","1004","bgm_MC294","78100443","78100443","100443"
"４戦目","103624","bgm_MC294","1","1004","90","1004","bgm_MC294","78100444","78100444","100444"
"５戦目","103624","bgm_MC295B","2","1004","90","1004","bgm_MC295B","78100445","78100445","100445"
"１戦目","103624","bgm_MC294","1","1004","90","1005","bgm_MC294","78100511","78100511","100511"
"２戦目","103624","bgm_MC294","1","1004","90","1005","bgm_MC294","78100512","78100512","100512"
"３戦目","103624","bgm_MC294","1","1004","90","1005","bgm_MC294","78100513","78100513","100513"
"４戦目","103624","bgm_MC294","1","1004","90","1005","bgm_MC294","78100514","78100514","100514"
"５戦目","103624","bgm_MC295B","2","1004","90","1005","bgm_MC295B","78100515","78100515","100515"
"１戦目","103624","bgm_MC294","1","1004","90","1005","bgm_MC294","78100521","78100521","100521"
"２戦目","103624","bgm_MC294","1","1004","90","1005","bgm_MC294","78100522","78100522","100522"
"３戦目","103624","bgm_MC294","1","1004","90","1005","bgm_MC294","78100523","78100523","100523"
"４戦目","103624","bgm_MC294","1","1004","90","1005","bgm_MC294","78100524","78100524","100524"
"５戦目","103624","bgm_MC295B","2","1004","90","1005","bgm_MC295B","78100525","78100525","100525"
"１戦目","103624","bgm_MC294","1","1004","90","1005","bgm_MC294","78100531","78100531","100531"
"２戦目","103624","bgm_MC294","1","1004","90","1005","bgm_MC294","78100532","78100532","100532"
"３戦目","103624","bgm_MC294","1","1004","90","1005","bgm_MC294","78100533","78100533","100533"
"４戦目","103624","bgm_MC294","1","1004","90","1005","bgm_MC294","78100534","78100534","100534"
"５戦目","103624","bgm_MC295B","2","1004","90","1005","bgm_MC295B","78100535","78100535","100535"
"１戦目","103624","bgm_MC294","1","1004","90","1005","bgm_MC294","78100541","78100541","100541"
"２戦目","103624","bgm_MC294","1","1004","90","1005","bgm_MC294","78100542","78100542","100542"
"３戦目","103624","bgm_MC294","1","1004","90","1005","bgm_MC294","78100543","78100543","100543"
"４戦目","103624","bgm_MC294","1","1004","90","1005","bgm_MC294","78100544","78100544","100544"
"５戦目","103624","bgm_MC295B","2","1004","90","1005","bgm_MC295B","78100545","78100545","100545"
