f8298919febc2193b2de13839e4be693ed4cc38781d97c01c03b2893a8382c32,354e9210783308ba2a200d51963658a9ccbc93de9d5227a7e50de44d3c4a360f,984933a10f55c3088c78d44a75f0adb0f18f8295410947e0d1be148dfe595bc8,58fbfebb9f6d79b95cb49ca9ba70bb80d1ba8767dc18c2733ca4c3e91b2bde1c,85e2bf4ffe886d28de28038b3afc49a0ae8a6c735b55afbc2fdd83d0d66dc5c8,064bc640814e6dfebee5f1d32aec9dbaaa5f5574da2784502ae78664465057c0,1d61e2ab56cc1a7254d67164cce57e0052ebd476fbb5938c6067df1b67d6677e,1b1aee6751bd2f2401bfd73d6f49962e07834c153b7d7a03dcf991d09bbfc415,96aa507418610de2ebe2e41bfdd52cd7b86256e8495ab7c50a23ad99727e34b7,a88f4c8fee1cd1eff8e01b4b1b325c121c3773c535a5199d0f17a34309347c41,206dfe1ff254fc430fd87d42f1c8fe0c83a67931a553b6df62c6273e51e2fa91
"1.3","1001","1","100","0","0","1","0","130011","bsm_idle_yamato","1"
"0.2","1002","130011","0","bsm_drama_arm_crossed_loop","1","3","0","bsm_drama_arm_crossed","","1"
"","1003","vo_minigame_1014","0","0","","21","","vo_minigame_1014_top_1000","","1"
"0","1004","130011","5","1","0","11","0","弱肉強食、上等だよ\n正面から勝てない時は\n裏をかくことも考えな","1","1"
"","1005","0","","","","91","","","","1"
"0.3","1006","130011","1","","","3","","bsm_idle_yamato","","1"
"1.3","2001","1","100","0","0","1","0","130011","bsm_idle_yamato","2"
"0.2","2002","130011","1","","","3","","bsm_drama_thinking","","2"
"","2003","vo_minigame_1014","0","0","","21","","vo_minigame_1014_top_1001","","2"
"0","2004","130011","6","1","0","11","0","いつかはワカナにも\n教えてやるか\n敵に勝って味わう\nヤシオーリの味をね","1","2"
"","2005","0","","","","91","","","","2"
"0.3","2006","130011","1","","","3","","bsm_idle_yamato","","2"
"1.3","3001","1","100","0","0","1","0","130011","bsm_idle_yamato","3"
"0.2","3002","130011","0","bsm_drama_doya_loop","1","3","0","bsm_drama_doya","","3"
"","3003","vo_minigame_1014","0","0","","21","","vo_minigame_1014_top_1002","","3"
"0","3004","130011","7","1","0","11","0","メカニックとしちゃ、\nフブキの腕は神業さ…\n妹でよかったよ、\nホントにさ","1","3"
"","3005","0","","","","91","","","","3"
"0.3","3006","130011","1","","","3","","bsm_idle_yamato","","3"
"1.3","4001","1","100","0","0","1","0","130111","bsm_idle_wakana","4"
"0.2","4002","130111","0","bsm_drama_guts_loop","1","3","0","bsm_drama_guts","","4"
"","4003","vo_minigame_1014","0","0","","21","","vo_minigame_1014_top_2000","","4"
"0","4004","130111","8","1","0","11","0","参加者のみなさんには\nごめんなさいですが…\nローン返済のためにも\n勝たせてもらいます！","1","4"
"","4005","0","","","","91","","","","4"
"0.3","4006","130111","1","","","3","","bsm_idle_wakana","","4"
"1.3","5001","1","100","0","0","1","0","130111","bsm_idle_wakana","5"
"0.2","5002","130111","1","","","3","","bsm_drama_wish","","5"
"","5003","vo_minigame_1014","0","0","","21","","vo_minigame_1014_top_2001","","5"
"0","5004","130111","8","1","0","11","0","こう言ったら\nなんですけど…\n姉さんが楽しそうで、\nわたしもうれしいです","1","5"
"","5005","0","","","","91","","","","5"
"0.3","5006","130111","1","","","3","","bsm_idle_wakana","","5"
"1.3","6001","1","100","0","0","1","0","130111","bsm_idle_wakana","6"
"0.2","6002","130111","1","","","3","","bsm_drama_pazzled","","6"
"","6003","vo_minigame_1014","0","0","","21","","vo_minigame_1014_top_2002","","6"
"0","6004","130111","7","1","0","11","0","フブキちゃんに\n野菜を食べてもらう\nにはどうしたら…\nも、もっと強引に…？","1","6"
"","6005","0","","","","91","","","","6"
"0.3","6006","130111","1","","","3","","bsm_idle_wakana","","6"
"1.3","7001","1","100","0","0","1","0","130211","bsm_idle_fubuki","7"
"0.2","7002","130211","1","","","3","","bsm_drama_smile","","7"
"","7003","vo_minigame_1014","0","0","","21","","vo_minigame_1014_top_3000","","7"
"0","7004","130211","5","1","0","11","0","対戦相手のお仕事は～\nぼくたちに賞金を\n運んでくるコト♪\nよろしくね～♡","1","7"
"","7005","0","","","","91","","","","7"
"0.2","7006","130211","1","","","3","","bsm_idle_fubuki","","7"
"1.3","8001","1","100","0","0","1","0","130211","bsm_idle_fubuki","8"
"0.2","8002","130211","0","bsm_drama_doya_loop","1","3","","bsm_drama_doya","","8"
"","8003","vo_minigame_1014","0","0","","21","","vo_minigame_1014_top_3001","","8"
"0","8004","130211","7","1","0","11","0","もうヤマ姉優勝で\n決まってっしー♪\n賞金全部もらっといて\nよくねー？","1","8"
"","8005","0","","","","91","","","","8"
"0.2","8006","130211","1","","","3","","bsm_idle_fubuki","","8"
"1.3","9001","1","100","0","0","1","0","130211","bsm_idle_fubuki","9"
"0.2","9002","130211","0","bsm_drama_laugh_loop","1","3","0","bsm_drama_laugh","","9"
"","9003","vo_minigame_1014","0","0","","21","","vo_minigame_1014_top_3002","","9"
"0","9004","130211","7","1","0","11","0","お兄さんを弾にして\n撃つ武器とか、ど～？\nきゃはは、よわそ～♡","1","9"
"","9005","0","","","","91","","","","9"
"0.2","9006","130211","1","","","3","","bsm_idle_fubuki","","9"
