19b7596f01396c836d22afee4082e57a1b7bc2f89baaf34278020d8a5abe54c7,3b890d9892771c74b36c122f48f857a4edd4d0b39c5e0d966e190c4ebbd77eae,550346b8f12773440e3785371533ef2f215837fde94702e3960fe2b2b18d0c4f,fe934c3a2cce2c3d769e0c8f44f2bb4015e77d5339bcc828b0550df270415a28,1fe23f44bfb8383f0263eca62be1d9d33a07ca4571ac501fe54c91ac7f670d8b
"1","70","81000104","bgm_M125","0"
"2","110","81000104","bgm_M125","0"
"3","130","81000104","bgm_M125","0"
"4","150","81000104","bgm_M125","0"
"5","170","81000104","bgm_M125","0"
"6","190","81000104","bgm_M125","0"
"7","210","81000104","bgm_M125","0"
"8","230","81000104","bgm_M125","0"
"9","250","81000104","bgm_M125","0"
"10","270","81000104","bgm_M125","0"
"11","290","81000104","bgm_M125","0"
"12","310","81000104","bgm_M125","0"
"13","330","81000104","bgm_M125","0"
"14","350","81000104","bgm_M125","73140350"
"15","360","81000104","bgm_M125","73150360"
"16","370","81000104","bgm_M125","73160370"
"17","380","81000104","bgm_M125","73170380"
"18","390","81000104","bgm_M125","73180390"
"19","400","81000104","bgm_M125","73190400"
"20","410","81000104","bgm_M125","73200410"
"21","420","81000104","bgm_M125","73210420"
"22","430","81000104","bgm_M125","73220430"
"23","440","81000104","bgm_M125","73230440"
"24","450","81000104","bgm_M125","73240450"
"25","460","81000104","bgm_M125","73250460"
"26","470","81000104","bgm_M125","73260470"
"27","480","81000104","bgm_M125","73270480"
"28","490","81000104","bgm_M125","73280490"
"29","500","81000104","bgm_M125","73290500"
"30","510","81000104","bgm_M125","73300510"
"31","520","81000104","bgm_M125","73310520"
"32","530","81000104","bgm_M125","73320530"
"33","540","81000104","bgm_M125","73330540"
"34","550","81000104","bgm_M125","73340550"
"35","560","81000104","bgm_M125","73350560"
"36","570","81000104","bgm_M125","73360570"
"37","580","81000104","bgm_M125","73370580"
"38","590","81000104","bgm_M125","73380590"
"39","600","81000104","bgm_M125","73390600"
"40","610","81000104","bgm_M125","73400610"
"41","620","81000104","bgm_M125","73410620"
"42","630","81000104","bgm_M125","73420630"
"43","640","81000104","bgm_M125","73430640"
"44","650","81000104","bgm_M125","73440650"
"45","660","81000104","bgm_M125","73450660"
"46","670","81000104","bgm_M125","73460670"
"47","680","81000104","bgm_M125","73470680"
"48","690","81000104","bgm_M125","73480690"
"49","700","81000104","bgm_M125","73490700"
"50","710","81000104","bgm_M125","73500710"
"51","720","81000104","bgm_M125","73510720"
"52","730","81000104","bgm_M125","73520730"
"53","740","81000104","bgm_M125","73530740"
