af31e810afa482ef2c77b34a41201ab89b990e006bbb4ad00e3060c3f3b18d47,2cad5b6588db24b2423b640cdbab95ae91416000f9b221b89b4bc7800d6e1c74,0da5df0dc60acde2bf030a4fd7329cefa1cdba3884db3ce24a22fe1b129bccdf,7272567f1afb489666986aed7b7025587f06f024cdcfaf53c50a05c724f2cadd,1ee756f2c19855ca3378b13090406f9329bbb899361b78208fa8f08ae58137df,8c9491a36e8bdafc96e43e43be965c7914c2709cef4eafc96fdffe43165bc5ec
"1","0","0","20025","1101","1"
"1","0","0","20025","1102","1"
"1","1","5042002","20025","1103","0"
"1","0","0","20025","1104","1"
"1","1","5042003","20025","1105","0"
"1","0","0","20025","1106","1"
"1","2","5042005","20025","1107","0"
"2","1","5042007","20025","1201","0"
"2","2","5042007","20025","1202","0"
"2","0","0","20025","1203","1"
"2","0","0","20025","1204","1"
"1","0","0","20025","1301","0"
