257cbc6bba6433c1e05830e9723d6d4d7c450a495c37d428a1e0020541548c15,34238fa357ccd7b8eade7f9d16b44acdcdb70fe216536999cf731ad45667d087,86a0d8468e9900117227607bbf1a43488faf4b40e3ed16be24993381575a31ab,cf3428404e090d4a2134cf8f9a2dd70ea91aa1f89ad3d33e8083b124ff21326d,44975990b7778691436d27aa4e144db5d46672cce8c5c08bac6a51371c0aa41f,d018c7ef5a4e70b1ad00626932f620f0ae0f4ccf0a04c9ba663bc5c2e2232d47,3c19c76f7398da606a918cf6e98e4d3d1cc6dd902a428ebe2553f621c3b802ed,e8c26372a7aa2dcd0fa5eb004e07e52a2244063cef33a6a19bd96b3b5d86b501,0db7f5949a6900b890851e7a3cf642cd9aa98cba6f1dd50b0139439865f71b34
"100","93001","-1","6","2030/12/31 23:59:59","18001001","2018/01/01 5:00:00","1","1"
"100","93001","-1","6","2030/12/31 23:59:59","18001002","2018/01/01 5:00:00","2","1"
"30","0","-1","5","2020/11/16 4:59:59","11001001","2018/01/01 5:00:00","3","1"
"30000","94002","-1","12","2020/11/16 4:59:59","11001001","2018/01/01 5:00:00","4","1"
"10","91002","-1","8","2020/11/16 4:59:59","11001001","2018/01/01 5:00:00","5","1"
"40","0","-1","5","2020/11/16 4:59:59","11003001","2018/01/01 5:00:00","6","1"
"2","20002","-1","2","2020/11/16 4:59:59","11003001","2018/01/01 5:00:00","7","1"
"10","91002","-1","8","2020/11/16 4:59:59","11003001","2018/01/01 5:00:00","8","1"
"20","0","-1","5","2020/11/16 4:59:59","13002001","2018/01/01 5:00:00","9","1"
"20","0","-1","5","2020/11/16 4:59:59","18004001","2018/01/01 5:00:00","10","1"
"25","0","-1","5","2020/11/16 4:59:59","16006001","2018/01/01 5:00:00","11","1"
"25","0","-1","5","2020/11/16 4:59:59","16007001","2018/01/01 5:00:00","12","1"
"3","22001","-1","2","2020/11/16 4:59:59","16007001","2018/01/01 5:00:00","13","1"
"30","0","-1","5","2020/11/16 4:59:59","11004001","2018/01/01 5:00:00","14","1"
"2","20002","-1","2","2020/11/16 4:59:59","11004001","2018/01/01 5:00:00","15","1"
"500","90007","-1","2","2020/11/16 4:59:59","11004001","2018/01/01 5:00:00","16","1"
"40","0","-1","5","2020/11/16 4:59:59","11005001","2018/01/01 5:00:00","17","1"
"30000","94002","-1","12","2020/11/16 4:59:59","11005001","2018/01/01 5:00:00","18","1"
"500","90007","-1","2","2020/11/16 4:59:59","11005001","2018/01/01 5:00:00","19","1"
"30","0","-1","5","2030/12/31 23:59:59","11006001","2018/01/01 5:00:00","20","1"
"2","20003","-1","2","2030/12/31 23:59:59","11006001","2018/01/01 5:00:00","21","1"
"30","0","-1","5","2022/12/16 4:59:59","15004001","2018/01/01 5:00:00","22","1"
"100","90007","-1","2","2022/12/16 4:59:59","15004001","2018/01/01 5:00:00","23","1"
"40","0","-1","5","2020/11/16 4:59:59","14001001","2018/01/01 5:00:00","24","1"
"80000","94002","-1","12","2020/11/16 4:59:59","14001001","2018/01/01 5:00:00","25","1"
"2","20003","-1","2","2020/11/16 4:59:59","14001001","2018/01/01 5:00:00","26","1"
"50","0","-1","5","2020/11/16 4:59:59","14003001","2018/01/01 5:00:00","27","1"
"140000","94002","-1","12","2020/11/16 4:59:59","14003001","2018/01/01 5:00:00","28","1"
"4","22002","-1","2","2020/11/16 4:59:59","14003001","2018/01/01 5:00:00","29","1"
"30","91002","-1","8","2030/12/31 23:59:59","21001001","2018/01/01 5:00:00","30","1"
"2000","94002","-1","12","2030/12/31 23:59:59","21001001","2018/01/01 5:00:00","31","1"
"30","91002","-1","8","2030/12/31 23:59:59","21001002","2018/01/01 5:00:00","33","1"
"2","22001","-1","2","2030/12/31 23:59:59","21001002","2018/01/01 5:00:00","34","1"
"30","91002","-1","8","2030/12/31 23:59:59","21001003","2018/01/01 5:00:00","36","1"
"1","22002","-1","2","2030/12/31 23:59:59","21001003","2018/01/01 5:00:00","37","1"
