9f2c581990d59bf54634c37efaa4c74aa1911149d2778c319f6338807aef1cd7,219342901ffdde79c5d8e3e48f806f07db47b37ff63726df79bedcfae22f9fc0,e8ac20b49324943da8cc2b65c5e7dc6eae4baab511b256a9025b2700059aa510,24ab343a9e7b94fa860799a1cfd8694e74a802d3a96385ffb54506094c87aeac,66e79c19b7f5c0856a29d464fdcc227e5ee7ff9c9aab2f215fa665faccfe981c,40362c45ba33712ef2f598ed74aac6c4cb1601e59aaa0058d55e7a7cbcec9e32,38a487e9fe3198cf98bc3233e2f006bd999055cdaa5bce1b58907e286b2df5da,6f0bb4bf1e8f4c51cc3421da96cb4be198fcaf7002cd7c946e90bfe6f034fa59,a5ebc582a6ca20bf59351789f2bc4969b1537aee944e700fc16e0165920770c3
"21600","1","2","2","1","","","1","23001"
"19800","1","3","2","2","","","1","23001"
"18000","1","3","2","3","","","1","23001"
"16200","1","3","2","4","","","1","23001"
"14400","1","4","2","5","","","1","23001"
"12960","1","4","2","6","","","1","23001"
"11520","1","5","2","7","","","1","23001"
"10080","1","6","2","8","","","1","23001"
"8640","1","7","2","9","","","1","23001"
"7200","1","8","2","10","","","1","23001"
"5760","1","10","2","11","","","1","23001"
"5040","1","12","2","12","","","1","23001"
"4320","1","14","2","13","","","1","23001"
"7200","1","16","2","14","","","2","23001"
"5400","1","18","2","15","","","2","23001"
"5040","1","18","2","16","","","2","23001"
"4800","1","18","2","17","","","2","23001"
"4500","1","20","2","18","","","2","23001"
"4320","1","20","2","19","","","2","23001"
"6000","1","24","2","20","","","3","23001"
"5700","1","48","2","21","","","3","23001"
"5400","1","48","2","22","","","3","23001"
"5220","1","51","2","23","","","3","23001"
"4980","1","54","2","24","","","3","23001"
"4800","1","54","2","25","","","3","23001"
"4500","1","60","2","26","","","3","23001"
"4320","1","60","2","27","","","3","23001"
"4200","1","63","2","28","","","3","23001"
"5400","1","64","2","29","","","4","23001"
"5220","1","68","2","30","","","4","23001"
"5040","1","72","2","31","","","4","23001"
"4920","1","72","2","32","","","4","23001"
"21600","2","80","6","1","","","20","93001"
"21600","2","96","6","2","","","24","93001"
"21600","2","112","6","3","","","28","93001"
"21600","2","120","6","4","","","30","93001"
"21600","2","128","6","5","","","32","93001"
"21600","2","136","6","6","","","34","93001"
"21600","2","144","6","7","","","36","93001"
"21600","2","152","6","8","","","38","93001"
"21600","2","160","6","9","","","40","93001"
"21600","2","168","6","10","","","42","93001"
"21600","2","176","6","11","","","44","93001"
"21600","2","184","6","12","","","46","93001"
"21600","2","192","6","13","","","48","93001"
"21600","2","200","6","14","","","50","93001"
"21600","2","208","6","15","","","52","93001"
"21600","2","216","6","16","","","54","93001"
"21600","2","224","6","17","","","56","93001"
"21600","2","232","6","18","","","58","93001"
"21600","2","240","6","19","","","60","93001"
"21600","2","248","6","20","","","62","93001"
"21600","2","256","6","21","","","64","93001"
"21600","2","264","6","22","","","66","93001"
"21600","2","272","6","23","","","68","93001"
"21600","2","280","6","24","","","70","93001"
"21600","2","288","6","25","","","72","93001"
"21600","2","296","6","26","","","74","93001"
"21600","2","304","6","27","","","76","93001"
"21600","2","312","6","28","","","78","93001"
"21600","2","320","6","29","","","80","93001"
"21600","2","328","6","30","","","82","93001"
