a31aaaed36477e24390f09483ff442520c40fba1a63bb72e03f9f99de1567501,e85ee405e60d983983f489b860f7aa602cfa4ca61e519895341a900c74b78a20,2f89073b4a9eb25e24691e7321a79c4abda0497ccd223dfa0ba72df0b3943107,aa82004355c440a1aeba596d757d5550c4762ecd8c2877268ff390ec573cf12b,bb0b97f7b3a9486a4f8d950d1a5f464eb8438cb3a45516c113cf950b0596ec9a,bedda206e32dfb2ff787e1d08371ef7a5fc31eb910e723fe13a5916354c699c0
"2999180","0","1","100111","0","3000"
"2999101","0","1","100112","0","10000"
"2999167","0","1","100121","0","10000"
"2999168","0","1","100122","0","10000"
"2999172","0","1","100131","0","5000"
"2999182","0","1","100211","0","10000"
"2999102","0","1","100221","0","100000"
"2999103","0","1","100231","0","40000"
"2999102","0","1","100232","0","100000"
"2999185","0","1","100311","0","2000"
"2999186","0","1","100312","0","4000"
"2999187","0","1","100321","0","2000"
"2999188","0","1","100322","0","5000"
"2999189","0","1","100331","0","5000"
"2999104","0","1","100411","0","3000"
"2999177","0","1","100412","0","120"
"2999105","0","1","100421","0","5000"
"2999178","0","1","100422","0","140"
"2999106","0","1","100431","0","7000"
"2999179","0","1","100432","0","170"
"2999190","0","1","100511","0","3300"
"2999107","0","1","100521","0","3000"
"2999108","0","1","100522","0","10000"
"2999112","0","1","100531","0","10000"
"2999113","0","1","100532","0","10000"
"14","0","14","110011","0","5"
"2999117","0","1","110021","0","10000"
"2999120","0","1","110031","0","10000"
"16","0","14","110041","0","2"
"2999101","0","1","110051","0","1000"
"105","0","14","120011","0","2000"
"2999121","0","1","120021","0","5000"
"2999124","0","1","120031","0","5000"
"2999127","0","1","120041","0","1000"
"2999128","0","1","120051","0","1000"
"2999129","0","1","130011","0","1000"
"100","0","14","130021","0","1000"
"101","0","14","130022","0","1000"
"107","0","14","130031","0","3000"
"6","0","14","130041","0","1000"
"7","0","14","130042","0","1000"
"9","0","14","130051","0","10"
"108","0","14","140011","0","3000"
"2999132","0","1","140021","0","5000"
"2999133","0","1","140031","0","5000"
"2","0","14","140041","0","2000"
"4","0","14","140042","0","2000"
"3","0","14","140051","0","1000"
"5","0","14","140052","0","1000"
"110","0","14","150011","0","1000"
"1","0","14","150021","0","1000"
"2999134","0","1","150031","0","50000"
"2999149","0","1","150041","0","50000"
"2999164","0","1","150051","0","5000"
"14","0","14","210011","0","10"
"2999118","0","1","210021","0","20000"
"2999120","0","1","210031","0","20000"
"16","0","14","210041","0","4"
"2999101","0","1","210051","0","2000"
"105","0","14","220011","0","4000"
"2999122","0","1","220021","0","10000"
"2999125","0","1","220031","0","10000"
"2999127","0","1","220041","0","2000"
"2999128","0","1","220051","0","2000"
"2999129","0","1","230011","0","2000"
"100","0","14","230021","0","2000"
"101","0","14","230022","0","2000"
"107","0","14","230031","0","6000"
"6","0","14","230041","0","2000"
"7","0","14","230042","0","2000"
"9","0","14","230051","0","20"
"108","0","14","240011","0","6000"
"2999132","0","1","240021","0","10000"
"2999133","0","1","240031","0","10000"
"2","0","14","240041","0","4000"
"4","0","14","240042","0","4000"
"3","0","14","240051","0","2000"
"5","0","14","240052","0","2000"
"110","0","14","250011","0","2000"
"1","0","14","250021","0","2000"
"2999139","0","1","250031","0","100000"
"2999154","0","1","250041","0","100000"
"2999165","0","1","250051","0","10000"
"104","0","14","300011","0","10000"
"14","0","14","310011","0","15"
"2999119","0","1","310021","0","30000"
"2999120","0","1","310031","0","30000"
"16","0","14","310041","0","6"
"2999101","0","1","310051","0","3000"
"14","0","14","310061","0","100"
"105","0","14","320011","0","6000"
"2999123","0","1","320021","0","15000"
"2999126","0","1","320031","0","15000"
"2999127","0","1","320041","0","3000"
"2999128","0","1","320051","0","3000"
"2999192","0","1","320061","0","2500"
"2999129","0","1","330011","0","3000"
"100","0","14","330021","0","3000"
"101","0","14","330022","0","3000"
"107","0","14","330031","0","9000"
"6","0","14","330041","0","3000"
"7","0","14","330042","0","3000"
"9","0","14","330051","0","30"
"107","0","14","330061","0","50000"
"9","0","14","330062","0","50"
"108","0","14","340011","0","9000"
"2999132","0","1","340021","0","15000"
"2999133","0","1","340031","0","15000"
"2","0","14","340041","0","6000"
"4","0","14","340042","0","6000"
"3","0","14","340051","0","3000"
"5","0","14","340052","0","3000"
"2999191","0","1","340061","0","5000"
"110","0","14","350011","0","3000"
"1","0","14","350021","0","3000"
"2999144","0","1","350031","0","150000"
"2999159","0","1","350041","0","150000"
"2999166","0","1","350051","0","15000"
"1","0","14","350061","0","10000"
"1","0","14","400011","0","1500"
"102","0","14","400012","0","1500"
"103","0","14","400013","0","1500"
"104","0","14","400021","0","5000"
"10","0","8","400031","0","0"
"100","0","14","400041","0","5000"
"101","0","14","400042","0","5000"
"6","0","14","400043","0","-2500"
"7","0","14","400044","0","-2500"
"40005","0","2","400051","0","1"
"2","0","14","400061","0","1500"
"4","0","14","400062","0","1500"
"108","0","14","400063","0","1500"
"2999193","0","1","400071","0","50000"
"2999194","0","1","400081","0","50000"
"3000","0","4","400091","0","0"
"-10","0","6","400092","0","0"
"109","0","14","400101","0","2000"
"40011","0","2","400111","0","1"
"2999205","0","1","400121","0","50000"
"2999204","0","1","400131","0","10000"
"2999207","0","1","400141","0","5000"
"2","25","14","500011","1","400"
