11a5100e7f3a8aa4624b7e5034231739bde26b62c8f514f5e01656be40e687b8,3b3c60106eb26392510b0dfed92e8f98c17101b9a1166a3a54809c97d2673773,7be32183fe71bae63fbd32cc7efa520f9dfe5b4dc2a7c54984d65d68e17227d0,604f320c2667cd20873d931292dd91dd0c67d32898fbea4e65d30fad25251d89,bd64c162174933538d14ed92b9630b42bf25dd25021c70c23b626232ed2f71bd,0a17aaeb7993623bdac187e2c2e798778973cfc497b8a2d725664718a07157a4,3c7532bde30e5912ff19f1c983a4b5dcb84b3711e932f7eba59dd57f45d1fcc3,0d57c9bd6e8d4098ee95c8a7c68e8d290a4a19c50ce781fdcfa16d143f33d5c9,5147fc49121c4c29bf2f9e884fc750bb2eec61ce6be14dedf9cfc7dd1da88586,f82b973ddf2e47ace784ca3924f636e90ef2dfb8539e24ec03cb49dae1efdb4f,576841795be1f04c682bbf89746a813da22b8a351e5e2274c34078f64b0529f1,52c6276defbc677c42bc9cbe0bb25d5ecdc78ddbad86a37e3bfa360c69058d63,c2c3bc20da5f20243fc72840ffb74022cfbdd22b2207aaea42ee10f4a6d5f1d0,12a28b0f1e9377544ad4a72a98e85aa1955e7376ede859a96d7bf6fc03c0ad0f,50da5a4970c5d33ab55742830f03c2c25656de928b310d1daf71eca621ac7f4c,ec0e8f43438826a0f5b130684588d0e9560530281e4174916161510a3a541128,2be9016a3c8701a7968bf558044249178fd9f06f7d4f6c972476553a5888749e,3e912d9145a8301a449ef15305c84426714ff6e73cc6c9143f15428649630fd0
"1","1","150","2","8","12","150000","0","22003","5","0","0","91002","20003","2","94002","20","5"
"2","6","145","2","8","12","100000","0","22003","2","0","0","91002","20003","2","94002","15","9"
"3","10","140","2","8","12","80000","0","22002","5","0","0","91002","20003","2","94002","11","19"
"4","20","130","2","8","12","80000","0","22002","5","0","0","91002","20003","2","94002","10","29"
"5","30","120","2","8","12","70000","0","22002","4","0","0","91002","20003","2","94002","9","39"
"6","40","110","2","8","12","70000","0","22002","4","0","0","91002","20003","2","94002","8","49"
"7","50","100","2","8","12","60000","0","22002","3","0","0","91002","20003","2","94002","7","99"
"8","100","80","2","8","12","40000","0","22002","2","0","0","91002","20003","2","94002","2","499"
"9","500","50","2","8","12","20000","0","22002","1","0","0","91002","20002","2","94002","7","999"
"10","1000","20","2","8","12","16000","0","22001","3","0","0","91002","20002","2","94002","4","4999"
"11","5000","15","2","8","12","9000","0","22001","2","0","0","91002","20002","2","94002","3","9999"
"12","10000","10","2","8","12","4000","0","22001","1","0","0","91002","20001","2","94002","8","11999"
"13","12000","5","2","8","12","3000","0","22001","1","0","0","91002","20001","2","94002","7","13999"
"14","14000","4","2","8","12","2000","0","22001","1","0","0","91002","20001","2","94002","6","14999"
"15","15000","3","2","8","12","1800","0","22001","1","0","0","91002","20001","2","94002","5","30000"
