c3ebe1c02d1c51605c3c21652a0612a4ec2391cad8f56415b307dcc262da2d85,4befebbae95b7000ef4cee55fcc3844c96729b7e1176e2a3c34be548e94fdce2,dd683421c4a9517ad2336a06fd21a41311748fb4d59bb98eb79ea54418f76e3d,96b8c8ba33800f51bf25d8853b603a93894ce930178528af7cd796f87af3d5bb,8c74326daba4b1aa35c06ef91e3692151f7419e228ae09c81d7c480e36c6ec93,70103d86a8cac972c95243269edb47cdc8d03e6a72bca06cc428071bd37aee03
"1","10101001","58002001","15","1001","1"
"2","10101002","58002002","15","1002","1"
"3","10101003","58002003","15","1003","1"
"4","10201001","56011001","15","1001","1"
"5","10201002","56011002","15","1002","1"
"6","10201003","56011003","15","1003","1"
"7","91002","56011003","8","0","50"
"8","10201004","56011004","15","1001","1"
"9","10201005","56011005","15","1002","1"
"10","10201006","56011006","15","1003","1"
"11","91002","56011006","8","0","50"
"12","10201007","56011007","15","1001","1"
"13","10201008","56011008","15","1002","1"
"14","10201009","56011009","15","1003","1"
"15","91002","56011009","8","0","50"
"16","10201010","56011010","15","1001","1"
"17","10201011","56011011","15","1002","1"
"18","10201012","56011012","15","1003","1"
"19","91002","56011012","8","0","50"
"20","10201013","56011013","15","1001","1"
"21","10201014","56011014","15","1002","1"
"22","10201015","56011015","15","1003","1"
"23","91002","56011015","8","0","50"
"24","10201016","56011016","15","1001","1"
"25","10201017","56011017","15","1002","1"
"26","10201018","56011018","15","1003","1"
"27","91002","56011018","8","0","50"
"28","10201019","56011019","15","1001","1"
"29","10201020","56011020","15","1002","1"
"30","10201021","56011021","15","1003","1"
"31","91002","56011021","8","0","50"
"32","10201022","56011022","15","1001","1"
"33","10201023","56011023","15","1002","1"
"34","10201024","56011024","15","1003","1"
"35","91002","56011024","8","0","50"
"36","10201025","56011025","15","1001","1"
"37","10201026","56011026","15","1002","1"
"38","10201027","56011027","15","1003","1"
"39","91002","56011027","8","0","50"
"40","10201028","56011028","15","1001","1"
"41","10201029","56011029","15","1002","1"
"42","10201030","56011030","15","1003","1"
"43","91002","56011030","8","0","50"
"44","10201031","56011031","15","1001","1"
"45","10201032","56011032","15","1002","1"
"46","10201033","56011033","15","1003","1"
"47","91002","56011033","8","0","50"
"48","10201034","56011034","15","1001","1"
"49","10201035","56011035","15","1002","1"
"50","10201036","56011036","15","1003","1"
"51","91002","56011036","8","0","50"
"52","10201037","56011037","15","1001","1"
"53","10201038","56011038","15","1002","1"
"54","10201039","56011039","15","1003","1"
"55","91002","56011039","8","0","50"
"56","10201040","56011040","15","1001","1"
"57","10201041","56011041","15","1002","1"
"58","10201042","56011042","15","1003","1"
"59","91002","56011042","8","0","50"
"60","10201043","56011043","15","1001","1"
"61","10201044","56011044","15","1002","1"
"62","10201045","56011045","15","1003","1"
"63","91002","56011045","8","0","50"
"64","10201046","56011046","15","1001","1"
"65","10201047","56011047","15","1002","1"
"66","10201048","56011048","15","1003","1"
"67","91002","56011048","8","0","50"
"68","10201049","56011049","15","1001","1"
"69","10201050","56011050","15","1002","1"
"70","10201051","56011051","15","1003","1"
"71","91002","56011051","8","0","50"
"72","10201052","56011052","15","1001","1"
"73","10201053","56011053","15","1002","1"
"74","10201054","56011054","15","1003","1"
"75","91002","56011054","8","0","50"
"76","10201055","56011055","15","1001","1"
"77","10201056","56011056","15","1002","1"
"78","10201057","56011057","15","1003","1"
"79","91002","56011057","8","0","50"
"80","10201058","56011058","15","1001","1"
"81","10201059","56011059","15","1002","1"
"82","10201060","56011060","15","1003","1"
"83","91002","56011060","8","0","50"
"84","10201061","56011061","15","1001","1"
"85","10201062","56011062","15","1002","1"
"86","10201063","56011063","15","1003","1"
"87","91002","56011063","8","0","50"
"88","10201064","56011064","15","1001","1"
"89","10201065","56011065","15","1002","1"
"90","10201066","56011066","15","1003","1"
"91","91002","56011066","8","0","50"
"92","10201067","56011067","15","1001","1"
"93","10201068","56011068","15","1002","1"
"94","10201069","56011069","15","1003","1"
"95","91002","56011069","8","0","50"
"96","10201070","56011070","15","1001","1"
"97","10201071","56011071","15","1002","1"
"98","10201072","56011072","15","1003","1"
"99","91002","56011072","8","0","50"
"100","10201073","56011073","15","1001","1"
"101","10201074","56011074","15","1002","1"
"102","10201075","56011075","15","1003","1"
"103","91002","56011075","8","0","50"
"104","10201076","56011076","15","1001","1"
"105","10201077","56011077","15","1002","1"
"106","10201078","56011078","15","1003","1"
