b03698d1a1f400382a5eefb8641d49b793141946cf636ccb8fbfaa61880352f3,35be6690149292fc699a3003aae83a33d98b1f0bdca145d4e0de56550a30e8ce,c48bfd16dfeef3f15663ce66d2744cbafbecba22770fa98c04b0e9a7923a7398,87dc75120243a6ccf291a9ba101b87603867ce8d78ccddec9450abc87506ab7c,52544f9fef1024afdf6cb7dc1fab43c6e3e3a5f0fa4656195075fa058265dc5f,20eefe7f7e665dae0e6392bec20355a84bfa48f87a19b72468cd222c58a7129e
"#2B5BAA","1","1","1","#3F75C7","#76C5FD"
"#AA552B","3","2","2","#BA5E36","#FEAC7B"
"#64737E","6","3","4","#616593","#B3C0DF"
"#A37B10","10","4","7","#CC8200","#FFD200"
"#7b318a","17","5","11","#95289f","#f374ff"
"#a60134","20","6","18","#CE0030","#ff5c77"
"#2c824e","23","7","21","#31635c","#2db075"
"#b6401f","27","8","24","#cc2200","#ffae00"
"#0082E4","31","9","28","#027FE9","#6EB6C4"
"#ea6363","39","10","32","#f2523d","#ffb193"
"#8c941a","50","11","40","#606820","#c0d400"
