f9cece4d5daabf0f1fbbd7f08360717ad72812a8da3565a7e8cdba204c2f1fc1,e28ca064080af609123422502524638d0b7991a76f6671c0239bef4a36276033,aad74bdb6ea8ab866cf3ea23c146bdae57d8df5aa53a6408cc7736f6864290c3,6d285d127fe33c6d9c2e40365f98810fa6f00ea5370de244680c04c589f8e230
"1004601","1004601","1","5046601"
"1004801","1004801","1","5048007"
"1004802","1004802","2","1004801"
"1005601","1005601","1","5056601"
"1006101","1006101","1","5061601"
"1006102","1006102","3","5061602"
"1006103","1006103","1","5061601"
"1006601","1006601","4","5027704"
"1007001","1007001","5","0"
"1007301","1007301","1","5046601"
"1007501","1007501","1","5048007"
"1007502","1007502","2","1004801"
"1008201","1008201","6","0"
"1008301","1008301","1","5056601"
"1008901","1008901","1","5061601"
"1008902","1008902","3","5061602"
"1008903","1008903","1","5061601"
"1009201","1009201","3","5092601"
"1010001","1010001","3","5100601"
"1010201","1010201","3","5100601"
"1010901","1010901","6","0"
"1011901","1011901","3","5092601"
"1012701","1012701","3","5100601"
"2003201","2003201","1","5056601"
