81535eacda5fa3da75cecfbe20731e4b93e034d9b97c7d70c9f28781abbbd428,a304da476563390b19288109656e635b73f7af41ce6016b516deb71198b4da7a,e53add88e640a4bc60fb46e1bdbed7f9b62541fb0328076d9b315405dafe1c46,fd0c7fd9f346ebe9474c77b28ba16ba9eeb55c9d99d2ba8e389d263851bccd97,a57610435b4e86493a4d1011b74235a5b8d1e888203c9ec3b6506866932311a1
"1","100101","12","94002","5000000"
"2","100102","2","90008","2000"
"3","100103","2","25001","20"
"4","100104","2","90008","2500"
"5","100105","2","25001","30"
"6","100106","8","91002","300"
"7","100107","2","41000","1"
"8","100108","12","94002","5000000"
"9","100109","12","94002","1000000"
"10","100110","12","94002","1000000"
"11","100111","12","94002","1000000"
"12","100112","2","20004","400"
"13","100113","2","20004","300"
"14","100114","2","20004","200"
"15","100115","12","94002","1000000"
"16","100116","12","94002","1000000"
"17","100117","12","94002","1000000"
"18","100118","2","20004","400"
"19","100119","2","20004","300"
"20","100120","2","20004","200"
"21","100121","12","94002","1000000"
"22","100122","12","94002","1000000"
"23","100123","12","94002","1000000"
"24","100124","2","20004","400"
"25","100125","2","20004","300"
"26","100126","2","20004","200"
"27","100201","12","94002","5000000"
"28","100202","2","90008","2000"
"29","100203","2","25001","20"
"30","100204","2","90008","2500"
"31","100205","2","25001","30"
"32","100206","8","91002","300"
"33","100207","2","41000","1"
"34","100208","12","94002","5000000"
"35","100209","12","94002","1000000"
"36","100210","12","94002","1000000"
"37","100211","12","94002","1000000"
"38","100212","2","20004","400"
"39","100213","2","20004","300"
"40","100214","2","20004","200"
"41","100215","12","94002","1000000"
"42","100216","12","94002","1000000"
"43","100217","12","94002","1000000"
"44","100218","2","20004","400"
"45","100219","2","20004","300"
"46","100220","2","20004","200"
"47","100221","12","94002","1000000"
"48","100222","12","94002","1000000"
"49","100223","12","94002","1000000"
"50","100224","2","20004","400"
"51","100225","2","20004","300"
"52","100226","2","20004","200"
"53","100301","12","94002","5000000"
"54","100302","2","90008","2000"
"55","100303","2","25001","20"
"56","100304","2","90008","2500"
"57","100305","2","25001","30"
"58","100306","8","91002","300"
"59","100307","2","41000","1"
"60","100308","12","94002","5000000"
"61","100309","12","94002","1000000"
"62","100310","12","94002","1000000"
"63","100311","12","94002","1000000"
"64","100312","2","20004","400"
"65","100313","2","20004","300"
"66","100314","2","20004","200"
"67","100315","12","94002","1000000"
"68","100316","12","94002","1000000"
"69","100317","12","94002","1000000"
"70","100318","2","20004","400"
"71","100319","2","20004","300"
"72","100320","2","20004","200"
"73","100321","12","94002","1000000"
"74","100322","12","94002","1000000"
"75","100323","12","94002","1000000"
"76","100324","2","20004","400"
"77","100325","2","20004","300"
"78","100326","2","20004","200"
"79","100401","12","94002","5000000"
"80","100402","2","90008","2000"
"81","100403","2","25001","20"
"82","100404","2","90008","2500"
"83","100405","2","25001","30"
"84","100406","8","91002","300"
"85","100407","2","41000","1"
"86","100408","12","94002","5000000"
"87","100409","12","94002","1000000"
"88","100410","12","94002","1000000"
"89","100411","12","94002","1000000"
"90","100412","2","20004","400"
"91","100413","2","20004","300"
"92","100414","2","20004","200"
"93","100415","12","94002","1000000"
"94","100416","12","94002","1000000"
"95","100417","12","94002","1000000"
"96","100418","2","20004","400"
"97","100419","2","20004","300"
"98","100420","2","20004","200"
"99","100421","12","94002","1000000"
"100","100422","12","94002","1000000"
"101","100423","12","94002","1000000"
"102","100424","2","20004","400"
"103","100425","2","20004","300"
"104","100426","2","20004","200"
"105","100501","12","94002","5000000"
"106","100502","2","90008","2000"
"107","100503","2","25001","20"
"108","100504","2","90008","2500"
"109","100505","2","25001","30"
"110","100506","8","91002","300"
"111","100507","2","41000","1"
"112","100508","12","94002","5000000"
"113","100509","12","94002","1000000"
"114","100510","12","94002","1000000"
"115","100511","12","94002","1000000"
"116","100512","2","20004","400"
"117","100513","2","20004","300"
"118","100514","2","20004","200"
"119","100515","12","94002","1000000"
"120","100516","12","94002","1000000"
"121","100517","12","94002","1000000"
"122","100518","2","20004","400"
"123","100519","2","20004","300"
"124","100520","2","20004","200"
"125","100521","12","94002","1000000"
"126","100522","12","94002","1000000"
"127","100523","12","94002","1000000"
"128","100524","2","20004","400"
"129","100525","2","20004","300"
"130","100526","2","20004","200"
"131","100601","12","94002","5000000"
"132","100602","2","90008","2000"
"133","100603","2","25001","20"
"134","100604","2","90008","2500"
"135","100605","2","25001","30"
"136","100606","8","91002","300"
"137","100607","2","41000","1"
"138","100608","12","94002","5000000"
"139","100609","12","94002","1000000"
"140","100610","12","94002","1000000"
"141","100611","12","94002","1000000"
"142","100612","2","20004","400"
"143","100613","2","20004","300"
"144","100614","2","20004","200"
"145","100615","12","94002","1000000"
"146","100616","12","94002","1000000"
"147","100617","12","94002","1000000"
"148","100618","2","20004","400"
"149","100619","2","20004","300"
"150","100620","2","20004","200"
"151","100621","12","94002","1000000"
"152","100622","12","94002","1000000"
"153","100623","12","94002","1000000"
"154","100624","2","20004","400"
"155","100625","2","20004","300"
"156","100626","2","20004","200"
"157","100701","12","94002","5000000"
"158","100702","2","90008","2000"
"159","100703","2","25001","20"
"160","100704","2","90008","2500"
"161","100705","2","25001","30"
"162","100706","8","91002","300"
"163","100707","2","41000","1"
"164","100708","12","94002","5000000"
"165","100709","12","94002","1000000"
"166","100710","12","94002","1000000"
"167","100711","12","94002","1000000"
"168","100712","2","20004","400"
"169","100713","2","20004","300"
"170","100714","2","20004","200"
"171","100715","12","94002","1000000"
"172","100716","12","94002","1000000"
"173","100717","12","94002","1000000"
"174","100718","2","20004","400"
"175","100719","2","20004","300"
"176","100720","2","20004","200"
"177","100721","12","94002","1000000"
"178","100722","12","94002","1000000"
"179","100723","12","94002","1000000"
"180","100724","2","20004","400"
"181","100725","2","20004","300"
"182","100726","2","20004","200"
"183","100801","12","94002","5000000"
"184","100802","2","90008","2000"
"185","100803","2","25001","20"
"186","100804","2","90008","2500"
"187","100805","2","25001","30"
"188","100806","8","91002","300"
"189","100807","2","41000","1"
"190","100808","12","94002","5000000"
"191","100809","12","94002","1000000"
"192","100810","12","94002","1000000"
"193","100811","12","94002","1000000"
"194","100812","2","20004","400"
"195","100813","2","20004","300"
"196","100814","2","20004","200"
"197","100815","12","94002","1000000"
"198","100816","12","94002","1000000"
"199","100817","12","94002","1000000"
"200","100818","2","20004","400"
"201","100819","2","20004","300"
"202","100820","2","20004","200"
"203","100821","12","94002","1000000"
"204","100822","12","94002","1000000"
"205","100823","12","94002","1000000"
"206","100824","2","20004","400"
"207","100825","2","20004","300"
"208","100826","2","20004","200"
"209","100901","12","94002","5000000"
"210","100902","2","90008","2000"
"211","100903","2","25001","20"
"212","100904","2","90008","2500"
"213","100905","2","25001","30"
"214","100906","8","91002","300"
"215","100907","2","41000","1"
"216","100908","12","94002","5000000"
"217","100909","12","94002","1000000"
"218","100910","12","94002","1000000"
"219","100911","12","94002","1000000"
"220","100912","2","20004","400"
"221","100913","2","20004","300"
"222","100914","2","20004","200"
"223","100915","12","94002","1000000"
"224","100916","12","94002","1000000"
"225","100917","12","94002","1000000"
"226","100918","2","20004","400"
"227","100919","2","20004","300"
"228","100920","2","20004","200"
"229","100921","12","94002","1000000"
"230","100922","12","94002","1000000"
"231","100923","12","94002","1000000"
"232","100924","2","20004","400"
"233","100925","2","20004","300"
"234","100926","2","20004","200"
